Time,from_ingress_queue_size,to_ingress_queue_size
2241.25,1,nan
2241.32,0,0
6709.6,1,0
6709.67,0,0
8199.71,1,0
8199.79,0,0
14906.2,1,0
14906.3,0,0
16394.4,1,0
16394.4,0,0
17884.5,1,0
17884.5,0,0
28317.3,1,0
28317.4,0,0
29805.4,1,0
29805.5,0,0
31298.5,1,0
31298.6,0,0
41724.3,1,0
41724.4,0,0
42473.4,1,0
42473.5,0,0
51410.1,1,0
51410.2,0,0
52904.2,1,0
52904.3,0,0
53648.3,1,0
53648.3,0,0
64079.1,1,0
64079.1,0,0
66315.2,1,0
66315.3,0,0
67059.3,1,0
67059.4,0,0
67803.4,1,0
67803.4,0,0
79727.3,1,0
79727.4,0,0
81961.5,1,0
81961.5,0,0
90898.2,1,0
90898.2,0,0
93881.4,1,0
93881.5,0,0
94626.4,1,0
94626.5,0,0
105054,1,0
105054,0,0
108039,1,0
108040,0,0
108783,1,0
108783,0,0
117720,1,0
117720,0,0
118469,1,0
118469,0,0
121450,1,0
121450,0,0
122194,1,0
122194,0,0
129641,1,0
129641,0,0
130391,1,0
130391,0,0
131136,1,0
131136,0,0
134861,1,0
134861,0,0
135605,1,0
135605,0,0
140818,1,0
140818,0,0
141562,1,0
141562,0,0
142309,1,0
142309,0,0
151249,1,0
151249,0,0
151994,1,0
151994,0,0
152738,1,0
152738,0,0
163919,1,0
163919,0,0
165406,1,0
165406,0,0
166149,1,0
166149,0,0
167641,1,0
167641,0,0
178071,1,0
178071,0,0
179561,1,0
179561,0,0
180310,1,0
180310,0,0
181800,1,0
181800,0,0
182544,1,0
182544,0,0
192972,1,0
192972,0,0
193717,1,0
193717,0,0
204152,1,0
204152,0,0
204897,1,0
204897,0,0
206384,1,0
206384,0,0
216069,1,0
216069,0,0
216814,1,0
216814,0,0
218305,1,0
218305,0,0
219795,1,0
219795,0,0
228735,1,0
228735,0,0
229480,1,0
229480,0,0
231717,1,0
231717,0,0
242146,1,0
242146,0,0
242891,1,0
242891,0,0
245128,1,0
245128,0,0
257792,1,0
257792,0,0
260029,1,0
260029,0,0
271948,1,0
271948,0,0
274184,1,0
274185,0,0
283124,1,0
283124,0,0
285363,1,0
285363,0,0
286850,1,0
286851,0,0
296535,1,0
296535,0,0
298026,1,0
298026,0,0
299516,1,0
299516,0,0
301007,1,0
301007,0,0
309201,1,0
309201,0,0
310691,1,0
310691,0,0
312185,1,0
312185,0,0
314419,1,0
314419,0,0
315908,1,0
315908,0,0
327830,1,0
327830,0,0
328575,1,0
328575,0,0
339005,1,0
339006,0,0
339751,1,0
339751,0,0
340496,1,0
340496,0,0
347201,1,0
347201,0,0
348690,1,0
348690,0,0
349436,1,0
349436,0,0
350180,1,0
350180,0,0
355397,1,0
355397,0,0
357632,1,0
357632,0,0
358377,1,0
358377,0,0
359121,1,0
359121,0,0
359866,1,0
359866,0,0
365828,1,0
365828,0,0
368062,1,0
368062,0,0
368810,1,0
368810,0,0
369555,1,0
369555,0,0
370300,1,0
370300,0,0
375513,1,0
375513,0,0
376258,1,0
376258,0,0
