Time,from_ingress_queue_size,to_ingress_queue_size
965.125,1,nan
972.575,0,nan
973.575,0,0
1443.96,1,0
1451.41,0,0
1452.41,0,0
1923.8,1,0
1931.25,0,0
1932.25,0,0
2397.64,1,0
2405.09,0,0
2406.09,0,0
2877.47,1,0
2884.92,0,0
2885.92,0,0
3351.31,1,0
3358.76,0,0
3359.76,0,0
3831.15,1,0
3838.6,0,0
3839.6,0,0
4304.99,1,0
4312.44,0,0
4313.44,0,0
4784.82,1,0
4792.27,0,0
4793.27,0,0
5258.66,1,0
5266.11,0,0
5267.11,0,0
5738.5,1,0
5745.95,0,0
5746.95,0,0
6212.33,1,0
6219.78,0,0
6220.78,0,0
6692.17,1,0
6699.62,0,0
6700.62,0,0
7166.01,1,0
7173.46,0,0
7174.46,0,0
7645.85,1,0
7653.3,0,0
7654.3,0,0
8119.68,1,0
8127.13,0,0
8128.13,0,0
8599.52,1,0
8606.97,0,0
8607.97,0,0
9073.36,1,0
9080.81,0,0
9081.81,0,0
9553.19,1,0
9560.64,0,0
9561.64,0,0
10027,1,0
10034.5,0,0
10035.5,0,0
10506.9,1,0
10514.3,0,0
10515.3,0,0
10980.7,1,0
10988.2,0,0
10989.2,0,0
11460.5,1,0
11468,0,0
11469,0,0
11934.4,1,0
11941.8,0,0
11942.8,0,0
12414.2,1,0
12421.7,0,0
12422.7,0,0
12888.1,1,0
12895.5,0,0
12896.5,0,0
13367.9,1,0
13375.3,0,0
13376.3,0,0
13841.7,1,0
13849.2,0,0
13850.2,0,0
14321.6,1,0
14329,0,0
14330,0,0
14795.4,1,0
14802.9,0,0
14803.9,0,0
15275.2,1,0
15282.7,0,0
15283.7,0,0
15749.1,1,0
15756.5,0,0
15757.5,0,0
16228.9,1,0
16236.4,0,0
16237.4,0,0
16702.8,1,0
16710.2,0,0
16711.2,0,0
17182.6,1,0
17190,0,0
17191,0,0
17656.4,1,0
17663.9,0,0
17664.9,0,0
18136.3,1,0
18143.7,0,0
18144.7,0,0
18610.1,1,0
18617.6,0,0
18618.6,0,0
19089.9,1,0
19097.4,0,0
19098.4,0,0
19563.8,1,0
19571.2,0,0
19572.2,0,0
20043.6,1,0
20051.1,0,0
20052.1,0,0
20517.4,1,0
20524.9,0,0
20525.9,0,0
20997.3,1,0
21004.7,0,0
21005.7,0,0
21471.1,1,0
21478.6,0,0
21479.6,0,0
21951,1,0
21958.4,0,0
21959.4,0,0
22424.8,1,0
22432.2,0,0
22433.2,0,0
22904.6,1,0
22912.1,0,0
22913.1,0,0
23378.5,1,0
23385.9,0,0
23386.9,0,0
23858.3,1,0
23865.8,0,0
23866.8,0,0
24332.1,1,0
24339.6,0,0
24340.6,0,0
24812,1,0
24819.4,0,0
24820.4,0,0
25285.8,1,0
25293.3,0,0
25294.3,0,0
25765.7,1,0
25773.1,0,0
25774.1,0,0
26239.5,1,0
26246.9,0,0
26247.9,0,0
26719.3,1,0
26726.8,0,0
26727.8,0,0
27193.2,1,0
27200.6,0,0
27201.6,0,0
27673,1,0
27680.5,0,0
27681.5,0,0
28146.8,1,0
28154.3,0,0
28155.3,0,0
28626.7,1,0
28634.1,0,0
28635.1,0,0
29100.5,1,0
29108,0,0
29109,0,0
29580.4,1,0
29587.8,0,0
29588.8,0,0
30054.2,1,0
30061.6,0,0
30062.6,0,0
30534,1,0
30541.5,0,0
30542.5,0,0
31010.9,1,0
31018.3,0,0
31019.3,0,0
