Time,from_ingress_queue_size,to_ingress_queue_size
5190.73,256,nan
5191.73,512,nan
5572.2,256,nan
5953.67,0,nan
6572.2,0,0
6953.67,0,0
9764.43,256,0
10145.9,0,0
10147.9,256,0
10529.4,0,0
11145.9,0,0
11529.4,0,0
14338.1,256,0
14719.6,0,0
14723.6,256,0
15105.1,0,0
15719.6,0,0
16105.1,0,0
18911.8,256,0
19104.6,512,0
19293.3,256,0
19299.3,512,0
19492,768,0
19674.8,512,0
20056.2,256,0
20293.3,256,0
20437.7,0,0
20674.8,0,0
21056.2,0,0
21437.7,0,0
23485.5,256,0
23867,0,0
23871,256,0
24250.5,512,0
24252.5,256,0
24633.9,256,0
24867,256,0
25015.4,0,0
25252.5,0,0
25633.9,0,0
26015.4,0,0
28059.2,256,0
28440.7,0,0
28448.7,256,0
28828.1,512,0
28830.1,256,0
29211.6,256,0
29440.7,256,0
29593.1,0,0
29830.1,0,0
30211.6,0,0
30593.1,0,0
32632.9,256,0
32825.6,512,0
33014.4,256,0
33026.4,512,0
33395.8,256,0
33405.8,512,0
33777.3,256,0
33789.3,512,0
33980,768,0
34014.4,768,0
34158.8,512,0
34395.8,512,0
34540.3,256,0
34777.3,256,0
34921.7,0,0
35158.8,0,0
35540.3,0,0
35921.7,0,0
37206.6,256,0
37588.1,0,0
37592.1,256,0
37973.5,256,0
38353,512,0
38355,256,0
38588.1,256,0
38736.5,256,0
38973.5,256,0
39117.9,256,0
39355,256,0
39499.4,0,0
39736.5,0,0
40117.9,0,0
40499.4,0,0
41780.3,256,0
42161.8,0,0
42169.8,256,0
42551.2,256,0
42930.7,512,0
42932.7,256,0
43161.8,256,0
43314.2,256,0
43551.2,256,0
43695.6,256,0
43932.7,256,0
44077.1,0,0
44314.2,0,0
44695.6,0,0
45077.1,0,0
46354,256,0
46735.5,0,0
46747.5,256,0
46938.2,512,0
47128.9,512,0
47508.4,768,0
47510.4,512,0
47735.5,512,0
47891.9,512,0
48128.9,512,0
48273.3,512,0
48510.4,512,0
48654.8,256,0
48891.9,256,0
49036.3,0,0
49273.3,0,0
49654.8,0,0
50036.3,0,0
50927.7,256,0
51309.2,0,0
51323.2,256,0
51704.6,0,0
51706.6,256,0
52088.1,256,0
52309.2,256,0
52467.6,512,0
52469.6,256,0
52704.6,256,0
52851,256,0
53088.1,256,0
53231.5,512,0
53232.5,256,0
53469.6,256,0
53614,0,0
53851,0,0
54232.5,0,0
54614,0,0
55501.4,256,0
55882.8,0,0
55898.8,256,0
56280.3,0,0
56284.3,256,0
56665.8,256,0
56882.8,256,0
57045.3,512,0
57047.3,256,0
57280.3,256,0
57428.7,256,0
57619.5,512,0
57665.8,512,0
57810.2,512,0
58047.3,512,0
58191.7,256,0
58428.7,256,0
58573.1,0,0
58810.2,0,0
59191.7,0,0
59573.1,0,0
60075.1,256,0
60456.5,0,0
60474.5,256,0
60856,0,0
60860,256,0
61052.7,512,0
61241.5,256,0
61243.5,512,0
61456.5,512,0
61623,512,0
61856,512,0
62004.4,256,0
62006.4,512,0
62241.5,512,0
62385.9,256,0
62386.9,512,0
62623,512,0
62767.4,512,0
63004.4,512,0
63148.8,256,0
63385.9,256,0
63530.3,0,0
63767.4,0,0
64148.8,0,0
64530.3,0,0
64648.8,256,0
65030.2,0,0
65048.2,256,0
65429.7,0,0
65435.7,256,0
65817.2,256,0
66030.2,256,0
66198.6,0,0
66200.6,256,0
66429.7,256,0
66580.1,512,0
66582.1,256,0
66817.2,256,0
66962.6,512,0
66963.6,256,0
67198.6,256,0
67343.1,512,0
67345.1,256,0
67582.1,256,0
67724.5,512,0
67726.5,256,0
67963.6,256,0
68108,0,0
68345.1,0,0
68726.5,0,0
69108,0,0
69222.5,256,0
69603.9,0,0
69621.9,256,0
70003.4,0,0
70009.4,256,0
70390.9,0,0
70392.9,256,0
70603.9,256,0
70774.3,0,0
70778.3,256,0
71003.4,256,0
71157.8,512,0
71159.8,256,0
71390.9,256,0
71540.3,512,0
71541.3,256,0
71774.3,256,0
71920.7,512,0
71922.7,256,0
72159.8,256,0
72302.2,512,0
72304.2,256,0
72541.3,256,0
72685.7,0,0
72922.7,0,0
73304.2,0,0
73685.7,0,0
73796.2,256,0
74177.6,0,0
74195.6,256,0
74577.1,0,0
74583.1,256,0
74773.8,512,0
74964.6,256,0
74970.6,512,0
75177.6,512,0
75346,256,0
75356,512,0
75577.1,512,0
75727.5,256,0
75735.5,512,0
75964.6,512,0
76109,256,0
76118,512,0
76346,512,0
76490.4,256,0
76498.4,512,0
76689.2,768,0
76727.5,768,0
76871.9,512,0
76880.9,768,0
77109,768,0
77253.4,512,0
77490.4,512,0
77634.9,256,0
77871.9,256,0
78016.3,0,0
78253.4,0,0
78369.9,256,0
78634.9,256,0
78751.3,0,0
78769.3,256,0
79016.3,256,0
79150.8,0,0
79156.8,256,0
79538.3,0,0
79540.3,256,0
79751.3,256,0
79921.7,256,0
