Time,from_ingress_queue_size,to_ingress_queue_size
0,2048,nan
1525.88,0,0
3055.5,2048,0
3056.5,4096,0
4581.38,2048,2048
4582.38,2048,0
6107.26,0,2048
6108.26,0,0
6113.01,2048,0
6114.01,4096,0
7638.88,2048,2048
7639.88,2048,0
7640.63,4096,0
7641.63,6144,0
9164.76,4096,2048
9165.76,4096,0
9171.25,6144,0
9172.25,8192,0
10690.6,6144,2048
10691.6,6144,0
10698.1,8192,0
10699.1,10240,0
12216.5,8192,2048
12217.5,8192,0
12222,10240,0
12223,12288,0
13742.4,10240,2048
13743.4,10240,0
13749.9,12288,0
13750.9,14336,0
15268.3,12288,2048
15269.3,12288,0
15273.8,14336,0
16794.2,12288,2048
16795.2,12288,0
16801.6,14336,0
18320,12288,2048
18321,12288,0
18328.5,14336,0
19845.9,12288,2048
19846.9,12288,0
19853.4,14336,0
21371.8,12288,2048
21372.8,12288,0
21380.3,14336,0
22897.7,12288,2048
22898.7,12288,0
22905.2,14336,0
24423.6,12288,2048
24424.6,12288,0
24432,14336,0
25949.4,12288,2048
25950.4,12288,0
25956.9,14336,0
27475.3,12288,2048
27476.3,12288,0
27483.8,14336,0
27484.8,16384,0
29001.2,14336,2048
29002.2,14336,0
29008.7,16384,0
30527.1,14336,2048
30528.1,14336,0
30535.6,16384,0
32052.9,14336,2048
32053.9,14336,0
32060.4,16384,0
33578.8,14336,2048
33579.8,14336,0
33587.3,16384,0
35104.7,14336,2048
35105.7,14336,0
35112.2,16384,0
36630.6,14336,2048
36631.6,14336,0
36639.1,16384,0
38156.5,14336,2048
38157.5,14336,0
38164,16384,0
39682.3,14336,2048
39683.3,14336,0
39690.8,16384,0
41208.2,14336,2048
41209.2,14336,0
41215.7,16384,0
41216.7,16384,0
42734.1,14336,2048
42735.1,14336,0
42742.6,16384,0
44260,14336,2048
44261,14336,0
44267.5,16384,0
45785.9,14336,2048
45786.9,14336,0
45794.3,16384,0
47311.7,14336,2048
47312.7,14336,0
47319.2,16384,0
48837.6,14336,2048
48838.6,14336,0
48846.1,16384,0
50363.5,14336,2048
50364.5,14336,0
50371,16384,0
51889.4,14336,2048
51890.4,14336,0
51897.9,16384,0
53415.3,14336,2048
53416.3,14336,0
53422.7,16384,0
54941.1,14336,2048
54942.1,14336,0
54949.6,16384,0
56467,14336,2048
56468,14336,0
56474.5,16384,0
57992.9,14336,2048
57993.9,14336,0
58001.4,16384,0
58002.4,16384,0
59518.8,14336,2048
59519.8,14336,0
59526.3,16384,0
61044.6,14336,2048
61045.6,14336,0
61053.1,16384,0
62570.5,14336,2048
62571.5,14336,0
62578,16384,0
64096.4,14336,2048
64097.4,14336,0
64104.9,16384,0
65622.3,14336,2048
65623.3,14336,0
65629.8,16384,0
67148.2,14336,2048
67149.2,14336,0
67156.7,16384,0
68674,14336,2048
68675,14336,0
68681.5,16384,0
70199.9,14336,2048
70200.9,14336,0
70208.4,16384,0
71725.8,14336,2048
71726.8,14336,0
71733.3,16384,0
72383,16384,0
73251.7,14336,2048
73252.7,14336,0
74777.6,12288,2048
74778.6,12288,0
76303.4,10240,2048
76304.4,10240,0
77829.3,8192,2048
77830.3,8192,0
79355.2,6144,2048
79356.2,6144,0
80881.1,4096,2048
80882.1,4096,0
80888.6,6144,0
82407,4096,2048
82408,4096,0
82415.4,6144,0
83932.8,4096,2048
83933.8,4096,0
83940.3,6144,0
85458.7,4096,2048
85459.7,4096,0
85467.2,6144,0
86984.6,4096,2048
86985.6,4096,0
86992.1,6144,0
87992.9,8192,0
88510.5,6144,2048
88511.5,6144,0
90036.3,4096,2048
90037.3,4096,0
91562.2,2048,2048
91563.2,2048,0
91570.7,4096,0
93088.1,2048,2048
93089.1,2048,0
93095.6,4096,0
94614,2048,2048
94615,2048,0
94622.5,4096,0
96139.9,2048,2048
96140.9,2048,0
96147.4,4096,0
97665.7,2048,2048
97666.7,2048,0
97674.2,4096,0
99191.6,2048,2048
99192.6,2048,0
99199.1,4096,0
99200.1,6144,0
100717,4096,2048
100718,4096,0
100726,6144,0
100856,8192,0
102243,6144,2048
102244,6144,0
103769,4096,2048
103770,4096,0
105295,2048,2048
105296,2048,0
105303,4096,0
106821,2048,2048
106822,2048,0
106830,4096,0
108347,2048,2048
108348,2048,0
108354,4096,0
109873,2048,2048
109874,2048,0
109881,4096,0
109882,6144,0
111399,4096,2048
111400,4096,0
111406,6144,0
112925,4096,2048
112926,4096,0
112933,6144,0
114450,4096,2048
114451,4096,0
114458,6144,0
115976,4096,2048
115977,4096,0
115985,6144,0
115986,8192,0
117502,6144,2048
117503,6144,0
117510,8192,0
119028,6144,2048
119029,6144,0
119037,8192,0
120554,6144,2048
120555,6144,0
120561,8192,0
122080,6144,2048
122081,6144,0
122088,8192,0
123606,6144,2048
123607,6144,0
123613,8192,0
125132,6144,2048
125133,6144,0
125140,8192,0
125141,10240,0
126657,8192,2048
126658,8192,0
126665,10240,0
128183,8192,2048
128184,8192,0
128192,10240,0
129709,8192,2048
129710,8192,0
129717,10240,0
131235,8192,2048
131236,8192,0
131244,10240,0
132761,8192,2048
132762,8192,0
132768,10240,0
134287,8192,2048
134288,8192,0
134295,10240,0
134296,12288,0
135813,10240,2048
135814,10240,0
135820,12288,0
137339,10240,2048
137340,10240,0
137347,12288,0
138864,10240,2048
138865,10240,0
138872,12288,0
140390,10240,2048
140391,10240,0
140399,12288,0
141916,10240,2048
141917,10240,0
141924,12288,0
143442,10240,2048
143443,10240,0
143451,12288,0
144968,10240,2048
144969,10240,0
144975,12288,0
144976,14336,0
