Time,from_ingress_queue_size,to_ingress_queue_size
7631.39,1,nan
7632.14,0,1
7633.14,0,0
13740.4,1,0
13741.1,0,1
13742.1,0,0
16793.2,1,0
16793.9,0,1
16794.9,0,0
24422.6,1,0
24423.3,0,1
24424.3,0,0
27474.3,1,0
27475.1,0,1
27476.1,0,0
30526.1,1,0
30526.8,0,1
30527.8,0,0
36629.6,1,0
36630.3,0,1
36631.3,0,0
39681.3,1,0
39682.1,0,1
39683.1,0,0
42733.1,1,0
42733.8,0,1
42734.8,0,0
45784.9,1,0
45785.6,0,1
45786.6,0,0
51894.9,1,0
51895.6,0,1
51896.6,0,0
58003.9,1,0
58004.6,0,1
58005.6,0,0
64107.4,1,0
64108.1,0,1
64109.1,0,0
70210.9,1,0
70211.6,0,1
70212.6,0,0
73262.7,1,0
73263.4,0,1
73264.4,0,0
80892.1,1,0
80892.8,0,1
80893.8,0,0
83943.8,1,0
83944.6,0,1
83945.6,0,0
91573.2,1,0
91573.9,0,1
91574.9,0,0
94625,1,0
94625.7,0,1
94626.7,0,0
97677.7,1,0
97678.5,0,1
97679.5,0,0
105307,1,0
105308,0,1
105309,0,0
108359,1,0
108360,0,1
108361,0,0
111411,1,0
111411,0,1
111412,0,0
120566,1,0
120567,0,1
120568,0,0
123618,1,0
123618,0,1
123619,0,0
126669,1,0
126670,0,1
126671,0,0
132773,1,0
132774,0,1
132775,0,0
135825,1,0
135825,0,1
135826,0,0
138876,1,0
138877,0,1
138878,0,0
141928,1,0
141929,0,1
141930,0,0
146506,1,0
146507,0,1
146508,0,0
149558,1,0
149558,0,1
149559,0,0
154135,1,0
154136,0,1
154137,0,0
157187,1,0
157188,0,1
157189,0,0
160239,1,0
160240,0,1
160241,0,0
166342,1,0
166343,0,1
166344,0,0
169394,1,0
169395,0,1
169396,0,0
172446,1,0
172447,0,1
172448,0,0
178549,1,0
178550,0,1
178551,0,0
181601,1,0
181602,0,1
181603,0,0
189230,1,0
189231,0,1
189232,0,0
192282,1,0
192283,0,1
192284,0,0
201437,1,0
201438,0,1
201439,0,0
204489,1,0
204490,0,1
204491,0,0
207541,1,0
207542,0,1
207543,0,0
216696,1,0
216697,0,1
216698,0,0
219748,1,0
219749,0,1
219750,0,0
228903,1,0
228904,0,1
228905,0,0
231955,1,0
231956,0,1
231957,0,0
241110,1,0
241111,0,1
241112,0,0
244162,1,0
244163,0,1
244164,0,0
247214,1,0
247215,0,1
247216,0,0
254843,1,0
254844,0,1
254845,0,0
257895,1,0
257896,0,1
257897,0,0
267050,1,0
267051,0,1
267052,0,0
270102,1,0
270103,0,1
270104,0,0
277731,1,0
277732,0,1
277733,0,0
280783,1,0
280784,0,1
280785,0,0
289938,1,0
289939,0,1
289940,0,0
292990,1,0
292991,0,1
292992,0,0
296042,1,0
296043,0,1
296044,0,0
303671,1,0
303672,0,1
303673,0,0
306723,1,0
306724,0,1
306725,0,0
309775,1,0
309776,0,1
309777,0,0
317404,1,0
317405,0,1
317406,0,0
320456,1,0
320457,0,1
320458,0,0
323508,1,0
323509,0,1
323510,0,0
329611,1,0
329612,0,1
329613,0,0
332663,1,0
332664,0,1
332665,0,0
335715,1,0
335716,0,1
335717,0,0
338767,1,0
338767,0,1
338768,0,0
343344,1,0
343345,0,1
343346,0,0
346396,1,0
346397,0,1
346398,0,0
350974,1,0
350974,0,1
350975,0,0
355551,1,0
355552,0,1
355553,0,0
358603,1,0
358604,0,1
358605,0,0
363181,1,0
363181,0,1
363182,0,0
367758,1,0
367759,0,1
367760,0,0
370810,1,0
370811,0,1
370812,0,0
376914,1,0
376914,0,1
376915,0,0
379965,1,0
379966,0,1
379967,0,0
387595,1,0
387595,0,1
387596,0,0
392172,1,0
392173,0,1
392174,0,0
398276,1,0
398277,0,1
398278,0,0
401328,1,0
401328,0,1
401329,0,0
405905,1,0
405906,0,1
405907,0,0
413535,1,0
413535,0,1
413536,0,0
418112,1,0
418113,0,1
418114,0,0
427268,1,0
427268,0,1
427269,0,0
431845,1,0
431846,0,1
431847,0,0
444052,1,0
444053,0,1
444054,0,0
457785,1,0
457786,0,1
457787,0,0
473044,1,0
473045,0,1
473046,0,0
486777,1,0
486778,0,1
486779,0,0
500510,1,0
500510,0,1
500511,0,0
515769,1,0
515769,0,1
515770,0,0
526450,1,0
526450,0,1
526451,0,0
529501,1,0
529502,0,1
529503,0,0
537131,1,0
537132,0,1
537133,0,0
541708,1,0
541709,0,1
541710,0,0
547812,1,0
547813,0,1
547814,0,0
552390,1,0
552390,0,1
552391,0,0
555441,1,0
555442,0,1
555443,0,0
564597,1,0
564597,0,1
564598,0,0
567648,1,0
567649,0,1
567650,0,0
570700,1,0
570701,0,1
570702,0,0
578330,1,0
578330,0,1
578331,0,0
581381,1,0
581382,0,1
581383,0,0
584433,1,0
584434,0,1
584435,0,0
592062,1,0
592063,0,1
592064,0,0
595114,1,0
595115,0,1
595116,0,0
604270,1,0
604270,0,1
604271,0,0
610373,1,0
610374,0,1
610375,0,0
616477,1,0
616477,0,1
616478,0,0
622580,1,0
622581,0,1
622582,0,0
625632,1,0
625633,0,1
625634,0,0
634787,1,0
634788,0,1
634789,0,0
637839,1,0
637840,0,1
637841,0,0
648520,1,0
648521,0,1
648522,0,0
651572,1,0
651573,0,1
651574,0,0
660727,1,0
660728,0,1
660729,0,0
669882,1,0
669883,0,1
669884,0,0
680563,1,0
680564,0,1
680565,0,0
683615,1,0
683616,0,1
683617,0,0
694296,1,0
694297,0,1
694298,0,0
706503,1,0
706504,0,1
706505,0,0
721762,1,0
721763,0,1
721764,0,0
724814,1,0
724815,0,1
724816,0,0
735495,1,0
735496,0,1
735497,0,0
747702,1,0
747703,0,1
747704,0,0
752280,1,0
752281,0,1
752282,0,0
761435,1,0
761436,0,1
761437,0,0
766013,1,0
766013,0,1
766014,0,0
778220,1,0
778220,0,1
778221,0,0
781271,1,0
781272,0,1
781273,0,0
790427,1,0
790427,0,1
790428,0,0
793479,1,0
793479,0,1
793480,0,0
802634,1,0
802635,0,1
802636,0,0
805686,1,0
805686,0,1
805687,0,0
808737,1,0
808738,0,1
808739,0,0
817893,1,0
817893,0,1
817894,0,0
820944,1,0
820945,0,1
820946,0,0
827048,1,0
827049,0,1
827050,0,0
830100,1,0
830100,0,1
830101,0,0
836203,1,0
836204,0,1
836205,0,0
839255,1,0
839256,0,1
839257,0,0
842307,1,0
842307,0,1
842308,0,0
849936,1,0
849937,0,1
849938,0,0
852988,1,0
852989,0,1
852990,0,0
856040,1,0
856040,0,1
856041,0,0
863669,1,0
863670,0,1
863671,0,0
866721,1,0
866721,0,1
866722,0,0
869772,1,0
869773,0,1
869774,0,0
877402,1,0
877403,0,1
877404,0,0
880454,1,0
880454,0,1
880455,0,0
883505,1,0
883506,0,1
883507,0,0
891135,1,0
891135,0,1
891136,0,0
894187,1,0
894187,0,1
894188,0,0
897238,1,0
897239,0,1
897240,0,0
906394,1,0
906394,0,1
906395,0,0
910971,1,0
910972,0,1
910973,0,0
917080,1,0
917081,0,1
917082,0,0
923189,1,0
923190,0,1
923191,0,0
929293,1,0
929293,0,1
929294,0,0
933871,1,0
933872,0,1
933873,0,0
941501,1,0
941501,0,1
941502,0,0
946078,1,0
946079,0,1
946080,0,0
953708,1,0
953709,0,1
953710,0,0
959811,1,0
959812,0,1
959813,0,0
967441,1,0
967441,0,1
967442,0,0
975070,1,0
975071,0,1
975072,0,0
981174,1,0
981174,0,1
981175,0,0
993381,1,0
993381,0,1
993382,0,0
1.00711e+06,1,0
1.00711e+06,0,1
1.00712e+06,0,0
1.01779e+06,1,0
1.0178e+06,0,1
1.0178e+06,0,0
1.02085e+06,1,0
1.02085e+06,0,1
1.02085e+06,0,0
1.03153e+06,1,0
1.03153e+06,0,1
1.03153e+06,0,0
1.03458e+06,1,0
1.03458e+06,0,1
1.03458e+06,0,0
1.04679e+06,1,0
1.04679e+06,0,1
1.04679e+06,0,0
1.04984e+06,1,0
1.04984e+06,0,1
1.04984e+06,0,0
1.06205e+06,1,0
1.06205e+06,0,1
1.06205e+06,0,0
1.0651e+06,1,0
1.0651e+06,0,1
1.0651e+06,0,0
1.07273e+06,1,0
1.07273e+06,0,1
1.07273e+06,0,0
1.07578e+06,1,0
1.07578e+06,0,1
1.07578e+06,0,0
1.07883e+06,1,0
1.07883e+06,0,1
1.07883e+06,0,0
1.08799e+06,1,0
1.08799e+06,0,1
1.08799e+06,0,0
1.09104e+06,1,0
1.09104e+06,0,1
1.09104e+06,0,0
1.09714e+06,1,0
1.09714e+06,0,1
1.09714e+06,0,0
1.10019e+06,1,0
1.10019e+06,0,1
1.10019e+06,0,0
1.10782e+06,1,0
1.10782e+06,0,1
1.10782e+06,0,0
1.11087e+06,1,0
1.11087e+06,0,1
1.11088e+06,0,0
1.11393e+06,1,0
1.11393e+06,0,1
1.11393e+06,0,0
1.12155e+06,1,0
1.12156e+06,0,1
1.12156e+06,0,0
1.12461e+06,1,0
1.12461e+06,0,1
1.12461e+06,0,0
1.13224e+06,1,0
1.13224e+06,0,1
1.13224e+06,0,0
1.13529e+06,1,0
1.13529e+06,0,1
1.13529e+06,0,0
1.14444e+06,1,0
1.14444e+06,0,1
1.14444e+06,0,0
1.14749e+06,1,0
1.1475e+06,0,1
1.1475e+06,0,0
1.15055e+06,1,0
1.15055e+06,0,1
1.15055e+06,0,0
1.17344e+06,1,0
1.17344e+06,0,1
1.17344e+06,0,0
