Time,from_ingress_queue_size,to_ingress_queue_size
1,256,nan
191.735,0,nan
1191.73,0,0
4385.96,256,0
4576.69,0,0
5576.69,0,0
8770.92,256,0
8961.65,0,0
9961.65,0,0
13155.9,256,0
13156.9,512,0
13346.6,256,0
13537.3,0,0
14346.6,0,0
14537.3,0,256
14538.3,0,0
17540.8,256,0
17731.6,0,0
17733.6,256,0
17924.3,0,0
18731.6,0,0
18924.3,0,256
18925.3,0,0
21925.8,256,0
22116.5,0,0
22120.5,256,0
22311.3,0,0
23116.5,0,0
23311.3,0,256
23312.3,0,0
26310.8,256,0
26311.8,512,0
26501.5,256,0
26507.5,512,0
26692.2,256,0
26883,0,0
27501.5,0,0
27692.2,0,256
27693.2,0,0
27883,0,256
27884,0,0
30695.7,256,0
30886.5,0,0
30888.5,256,0
31079.2,256,0
31269.9,0,0
31886.5,0,0
32079.2,0,256
32080.2,0,0
32269.9,0,256
32270.9,0,0
35080.7,256,0
35271.4,0,0
35275.4,256,0
35466.1,256,0
35467.1,512,0
35656.9,256,0
35847.6,0,0
36271.4,0,0
36466.1,0,256
36467.1,0,0
36656.9,0,256
36657.9,0,0
36847.6,0,256
36848.6,0,0
39465.6,256,0
39656.4,0,0
39662.4,256,0
39853.1,256,0
40043.8,256,0
40234.6,0,0
40656.4,0,0
40853.1,0,256
40854.1,0,0
41043.8,0,256
41044.8,0,0
41234.6,0,256
41235.6,0,0
43850.6,256,0
44041.3,0,0
44049.3,256,0
44240.1,256,0
44430.8,256,0
44621.5,0,0
45041.3,0,0
45240.1,0,256
45241.1,0,0
45430.8,0,256
45431.8,0,0
45621.5,0,256
45622.5,0,0
48235.6,256,0
48236.6,512,0
48426.3,256,0
48436.3,512,0
48617,256,0
48627,512,0
48807.8,256,0
48817.8,512,0
48998.5,256,0
49189.2,0,0
49426.3,0,0
49617,0,256
49618,0,0
49807.8,0,256
49808.8,0,0
49998.5,0,256
49999.5,0,0
50189.2,0,256
50190.2,0,0
52620.5,256,0
52811.3,0,0
52813.3,256,0
53004,256,0
53194.7,256,0
53385.5,256,0
53576.2,0,0
53811.3,0,0
54004,0,256
54005,0,0
54194.7,0,256
54195.7,0,0
54385.5,0,256
54386.5,0,0
54576.2,0,256
54577.2,0,0
57005.5,256,0
57196.2,0,0
57200.2,256,0
57390.9,256,0
57391.9,512,0
57581.7,512,0
57772.4,512,0
57963.2,256,0
58153.9,0,0
58196.2,0,0
58390.9,0,256
58391.9,0,0
58581.7,0,256
58582.7,0,0
58772.4,0,256
58773.4,0,0
58963.2,0,256
58964.2,0,0
59153.9,0,256
59154.9,0,0
61390.4,256,0
61581.2,0,0
61587.2,256,0
61777.9,256,0
61968.6,256,0
62159.4,256,0
62350.1,256,0
62540.8,0,0
62581.2,0,0
62777.9,0,256
62778.9,0,0
62968.6,0,256
62969.6,0,0
63159.4,0,256
63160.4,0,0
63350.1,0,256
63351.1,0,0
63540.8,0,256
63541.8,0,0
65775.4,256,0
