Time,from_ingress_queue_size,to_ingress_queue_size
2240.25,1,nan
2240.32,0,0
6705.6,1,0
6705.67,0,0
8198.71,1,0
8198.79,0,0
15650.3,1,0
15650.4,0,0
16395.4,1,0
16395.4,0,0
17883.5,1,0
17883.5,0,0
29057.3,1,0
29057.4,0,0
29802.4,1,0
29802.5,0,0
31297.5,1,0
31297.6,0,0
43958.5,1,0
43958.6,0,0
45452.6,1,0
45452.7,0,0
58118.6,1,0
58118.7,0,0
58859.7,1,0
58859.7,0,0
70039.5,1,0
70039.6,0,0
71528.6,1,0
71528.7,0,0
83450.6,1,0
83450.7,0,0
84939.7,1,0
84939.8,0,0
86429.8,1,0
86429.9,0,0
100587,1,0
100587,0,0
102073,1,0
102073,0,0
102818,1,0
102818,0,0
104313,1,0
104313,0,0
117724,1,0
117724,0,0
119214,1,0
119214,0,0
131875,1,0
131875,0,0
144541,1,0
144541,0,0
160188,1,0
160188,0,0
160933,1,0
160933,0,0
174344,1,0
174344,0,0
175837,1,0
175837,0,0
185524,1,0
185524,0,0
187010,1,0
187010,0,0
187755,1,0
187755,0,0
197444,1,0
197445,0,0
199681,1,0
199681,0,0
200426,1,0
200426,0,0
201169,1,0
201169,0,0
212347,1,0
212347,0,0
215327,1,0
215327,0,0
216067,1,0
216067,0,0
216812,1,0
216812,0,0
218305,1,0
218305,0,0
224264,1,0
224264,0,0
226498,1,0
226498,0,0
227991,1,0
227991,0,0
228738,1,0
228738,0,0
230226,1,0
230226,0,0
230970,1,0
230970,0,0
238423,1,0
238423,0,0
241399,1,0
241399,0,0
242889,1,0
242889,0,0
243634,1,0
243634,0,0
245127,1,0
245127,0,0
256300,1,0
256300,0,0
257045,1,0
257045,0,0
257790,1,0
257790,0,0
259285,1,0
259285,0,0
268966,1,0
268966,0,0
271206,1,0
271206,0,0
272694,1,0
272694,0,0
281632,1,0
281632,0,0
283125,1,0
283125,0,0
284615,1,0
284615,0,0
292063,1,0
292063,0,0
292808,1,0
292808,0,0
294301,1,0
294301,0,0
295791,1,0
295791,0,0
304734,1,0
304734,0,0
306224,1,0
306224,0,0
306969,1,0
306969,0,0
308459,1,0
308459,0,0
309947,1,0
309947,0,0
319631,1,0
319631,0,0
320380,1,0
320380,0,0
321123,1,0
321123,0,0
330065,1,0
330065,0,0
330810,1,0
330810,0,0
331554,1,0
331554,0,0
339752,1,0
339752,0,0
340497,1,0
340497,0,0
341240,1,0
341240,0,0
341985,1,0
341985,0,0
349433,1,0
349433,0,0
350178,1,0
350178,0,0
350925,1,0
350925,0,0
351670,1,0
351671,0,0
353161,1,0
353161,0,0
358374,1,0
358374,0,0
359119,1,0
359119,0,0
359864,1,0
359864,0,0
360611,1,0
360611,0,0
361356,1,0
361356,0,0
362846,1,0
362846,0,0
368064,1,0
368064,0,0
369552,1,0
369552,0,0
370299,1,0
370299,0,0
371042,1,0
371042,0,0
371789,1,0
371789,0,0
372534,1,0
372534,0,0
374024,1,0
374024,0,0
377750,1,0
377750,0,0
378495,1,0
378495,0,0
