Time,from_ingress_queue_size,to_ingress_queue_size
0,256,nan
1907.35,0,nan
1908.35,0,256
1909.35,0,0
3837.6,256,0
3838.6,512,0
5744.95,256,0
5745.95,256,0
7652.3,0,0
7653.3,0,0
7673.2,256,0
7674.2,512,0
9580.55,512,0
9581.55,768,0
11487.9,512,0
11488.9,512,0
11508.8,768,0
11509.8,1024,0
13395.2,768,0
13396.2,768,0
13417.1,1024,0
13418.1,1280,0
15302.6,1024,0
15303.6,1024,0
15324.5,1280,0
15325.5,1536,0
17209.9,1280,0
17210.9,1280,0
17231.8,1536,0
17232.8,1792,0
19117.3,1536,0
19118.3,1536,0
19139.2,1792,0
21024.6,1536,0
21025.6,1536,0
21046.5,1792,0
22932,1536,0
22933,1536,0
22953.9,1792,0
24839.3,1536,0
24840.3,1536,0
24861.2,1792,0
26746.7,1536,0
26747.7,1536,0
26768.6,1792,0
28654,1536,0
28655,1536,0
28675.9,1792,0
30561.4,1536,0
30562.4,1536,0
30583.3,1792,0
32468.7,1536,0
32469.7,1536,0
32490.6,1792,0
34376.1,1536,0
34377.1,1536,0
34398,1792,0
34399,2048,0
36283.4,1792,0
36284.4,1792,0
36305.3,2048,0
38190.8,1792,0
38191.8,1792,0
38212.7,2048,0
40098.1,1792,0
40099.1,1792,0
40120,2048,0
42005.5,1792,0
42006.5,1792,0
42027.4,2048,0
43912.8,1792,0
43913.8,1792,0
43934.7,2048,0
45820.2,1792,0
45821.2,1792,0
45842.1,2048,0
47727.5,1792,0
47728.5,1792,0
47749.4,2048,0
49634.9,1792,0
49635.9,1792,0
49656.8,2048,0
51542.2,1792,0
51543.2,1792,0
51564.1,2048,0
51565.1,2304,0
53449.6,2048,0
53450.6,2048,0
53471.5,2304,0
55356.9,2048,0
55357.9,2048,0
55378.8,2304,0
57264.3,2048,0
57265.3,2048,0
57286.2,2304,0
59171.6,2048,0
59172.6,2048,0
59193.5,2304,0
61079,2048,0
61080,2048,0
61100.9,2304,0
62986.3,2048,0
62987.3,2048,0
63008.2,2304,0
64893.7,2048,0
64894.7,2048,0
64915.6,2304,0
66801,2048,0
66802,2048,0
66822.9,2304,0
68708.4,2048,0
68709.4,2048,0
68730.3,2304,0
70615.7,2048,0
70616.7,2048,0
70637.6,2304,0
72523.1,2048,0
72524.1,2048,0
72545,2304,0
72546,2560,0
74430.4,2304,0
74431.4,2304,0
74452.3,2560,0
76337.7,2304,0
76338.7,2304,0
76359.6,2560,0
78245.1,2304,0
78246.1,2304,0
78267,2560,0
80152.4,2304,0
80153.4,2304,0
80174.3,2560,0
82059.8,2304,0
82060.8,2304,0
82081.7,2560,0
83967.1,2304,0
83968.1,2304,0
83989,2560,0
85874.5,2304,0
85875.5,2304,0
85896.4,2560,0
87781.8,2304,0
87782.8,2304,0
87803.7,2560,0
89689.2,2304,0
89690.2,2304,0
89711.1,2560,0
91596.5,2304,0
91597.5,2304,0
91618.4,2560,0
93503.9,2304,0
93504.9,2304,0
93525.8,2560,0
93526.8,2816,0
95411.2,2560,0
95412.2,2560,0
95433.1,2816,0
97318.6,2560,0
97319.6,2560,0
97340.5,2816,0
99225.9,2560,0
99226.9,2560,0
99247.8,2816,0
101133,2560,0
101134,2560,0
101155,2816,0
103041,2560,0
103042,2560,0
103063,2816,0
104948,2560,0
104949,2560,0
