Time,from_ingress_queue_size,to_ingress_queue_size
4473.42,1,nan
4473.5,0,0
10432.9,1,0
10433,0,0
12667.1,1,0
12667.1,0,0
21608.8,1,0
21608.8,0,0
23097.9,1,0
23097.9,0,0
25338,1,0
25338.1,0,0
26828.2,1,0
26828.2,0,0
35763.9,1,0
35763.9,0,0
37259,1,0
37259.1,0,0
38749.1,1,0
38749.2,0,0
40239.2,1,0
40239.3,0,0
48429.8,1,0
48429.9,0,0
59605.7,1,0
59605.8,0,0
61099.8,1,0
61099.9,0,0
73762.8,1,0
73762.9,0,0
75255.9,1,0
75256,0,0
84938.7,1,0
84938.8,0,0
85683.8,1,0
85683.8,0,0
87176.9,1,0
87176.9,0,0
96114.6,1,0
96114.6,0,0
96859.6,1,0
96859.7,0,0
97607.7,1,0
97607.8,0,0
99097.8,1,0
99097.9,0,0
110271,1,0
110271,0,0
111016,1,0
111016,0,0
111764,1,0
111764,0,0
113254,1,0
113254,0,0
114744,1,0
114744,0,0
125918,1,0
125918,0,0
126662,1,0
126662,0,0
127410,1,0
127410,0,0
128900,1,0
128900,0,0
131136,1,0
131136,0,0
131881,1,0
131881,0,0
140074,1,0
140074,0,0
140819,1,0
140819,0,0
141566,1,0
141566,0,0
151249,1,0
151249,0,0
151995,1,0
151995,0,0
152742,1,0
152742,0,0
153487,1,0
153487,0,0
165405,1,0
165405,0,0
166150,1,0
166150,0,0
166896,1,0
166896,0,0
167644,1,0
167644,0,0
168389,1,0
168389,0,0
180306,1,0
180306,0,0
181051,1,0
181051,0,0
182544,1,0
182544,0,0
193718,1,0
193718,0,0
194462,1,0
194462,0,0
195955,1,0
195955,0,0
197445,1,0
197446,0,0
206384,1,0
206384,0,0
207128,1,0
207128,0,0
207873,1,0
207873,0,0
209366,1,0
209366,0,0
210857,1,0
210857,0,0
220539,1,0
220539,0,0
222032,1,0
222032,0,0
222778,1,0
222779,0,0
232464,1,0
232464,0,0
233953,1,0
233953,0,0
234694,1,0
234694,0,0
236188,1,0
236189,0,0
243636,1,0
243636,0,0
245130,1,0
245130,0,0
246619,1,0
246619,0,0
254067,1,0
254067,0,0
254811,1,0
254811,0,0
256305,1,0
256305,0,0
265988,1,0
265988,0,0
266732,1,0
266732,0,0
268226,1,0
268226,0,0
269716,1,0
269716,0,0
281634,1,0
281634,0,0
282378,1,0
282378,0,0
283872,1,0
283872,0,0
285362,1,0
285362,0,0
286108,1,0
286108,0,0
297284,1,0
297284,0,0
298029,1,0
298029,0,0
299518,1,0
299518,0,0
300263,1,0
300264,0,0
301009,1,0
301009,0,0
309200,1,0
309200,0,0
309945,1,0
309945,0,0
311439,1,0
311439,0,0
312929,1,0
312930,0,0
313676,1,0
313676,0,0
314420,1,0
314420,0,0
323356,1,0
323356,0,0
324101,1,0
324101,0,0
324846,1,0
324846,0,0
325595,1,0
325596,0,0
326341,1,0
326341,0,0
327087,1,0
327087,0,0
327832,1,0
327832,0,0
336767,1,0
336767,0,0
338262,1,0
338263,0,0
339007,1,0
339008,0,0
