Time,from_ingress_queue_size,to_ingress_queue_size
7632.39,1,nan
7633.14,0,0
12213.5,1,0
12214.3,0,1
12214.5,0,0
13740.4,1,0
13741.1,0,1
13742.1,0,0
18318,1,0
18318.8,0,0
21371.8,1,0
21372.5,0,1
21372.8,1,1
21373.3,1,0
21373.5,0,1
21375.3,0,0
22894.7,1,0
22895.4,0,1
22896.4,0,0
22898.4,1,0
22899.2,0,1
22900.2,0,0
27476.1,1,0
27476.8,0,0
27477.5,1,0
27478.3,0,1
27478.8,0,0
32051.7,1,0
32052.4,0,0
32052.7,1,0
32053.4,0,1
32054.4,0,0
36631.3,1,0
36632.1,0,0
36633.1,1,0
36633.8,0,1
36634.8,0,0
36635.6,1,0
36636.3,0,1
36637.3,0,0
44259.7,1,0
44260.5,0,0
44263.2,1,0
44264,0,0
44265.2,1,0
44266,0,1
44267,0,0
51890.1,1,0
51890.9,0,0
51892.9,1,0
51893.6,0,0
57992.6,1,0
57993.4,0,0
57996.1,1,0
57996.9,0,0
62571.3,1,0
62572,0,0
62573.8,1,0
62574.5,0,1
62574.8,1,1
62575.5,0,1
62577.5,0,0
68679.3,1,0
68680,0,0
68684.8,1,0
68685.5,0,1
68686.5,0,0
73256.9,1,0
73257.7,0,0
74792.8,1,0
74793.5,0,0
77832.5,1,0
77833.3,0,0
82410.2,1,0
82410.9,0,1
82411.2,0,0
82412.2,1,0
82412.9,0,1
82413.9,0,0
82414.2,1,0
82414.9,0,1
82415.9,0,0
85461.9,1,0
85462.7,0,1
85462.9,1,1
85463.7,0,1
85464.7,1,1
85465.4,0,2
85465.7,0,1
85467.7,0,0
90039.6,1,0
90040.3,0,0
90042.3,1,0
90043.1,0,1
90044.1,0,0
94619.2,1,0
94620,0,0
94623,1,0
94623.7,0,0
94625,1,0
94625.7,0,1
94626.7,0,0
99199.6,1,0
99200.3,0,0
99201.6,1,0
99202.3,0,1
99203.3,0,0
102253,1,0
102254,0,0
102255,1,0
102256,0,1
102257,0,0
105302,1,0
105303,0,1
105303,0,0
105306,1,0
105307,0,1
105308,0,0
109882,1,0
109882,0,0
112934,1,0
112934,0,0
114461,1,0
114462,0,0
120562,1,0
120563,0,0
120564,1,0
120565,0,1
120566,0,0
120566,1,0
120567,0,1
120568,0,0
126670,1,0
126671,0,0
129720,1,0
129721,0,0
131245,1,0
131246,0,0
135821,1,0
135821,0,0
135823,1,0
135824,0,1
135825,0,0
140400,1,0
140401,0,0
140405,1,0
140406,0,1
140407,0,0
141925,1,0
141926,0,0
144977,1,0
144978,0,0
144981,1,0
144982,0,1
144983,0,0
149554,1,0
149554,0,0
149556,1,0
149557,0,1
149558,0,0
154132,1,0
154133,0,0
154134,1,0
154135,0,1
154136,0,0
154136,1,0
154137,0,1
154138,0,0
158711,1,0
158711,0,1
158712,0,0
162515,1,0
162516,0,1
162516,0,0
164041,1,0
164042,0,0
166342,1,0
166342,0,0
169395,1,0
169395,0,0
171670,1,0
171671,0,0
173974,1,0
173975,0,0
173975,1,0
173976,0,1
173977,0,0
176248,1,0
176249,0,0
178553,1,0
178554,0,0
181604,1,0
181605,0,0
183134,1,0
183134,0,0
183877,1,0
183878,0,0
186184,1,0
186185,0,0
188455,1,0
188456,0,0
191507,1,0
191507,0,1
191508,0,0
192285,1,0
192286,0,1
192287,0,0
192290,1,0
192290,0,1
192291,0,0
194558,1,0
194559,0,1
194559,0,0
196866,1,0
196867,0,1
196868,0,0
199924,1,0
199924,0,0
200661,1,0
200662,0,1
200662,0,0
202975,1,0
202976,0,0
205240,1,0
205240,0,0
207547,1,0
207548,0,0
207553,1,0
207554,0,1
207555,0,0
209816,1,0
209817,0,1
209818,0,0
212868,1,0
212869,0,1
212869,0,0
216703,1,0
216703,0,0
216708,1,0
216709,0,1
216710,0,0
218971,1,0
218972,0,1
218973,0,0
222025,1,0
222026,0,0
222806,1,0
222807,0,1
222808,0,0
227386,1,0
227387,0,0
229657,1,0
229658,0,0
230437,1,0
230437,0,1
230438,0,0
232705,1,0
232706,0,0
236539,1,0
236540,0,0
237283,1,0
237284,0,0
239592,1,0
239593,0,0
243389,1,0
243390,0,0
244916,1,0
244917,0,0
247964,1,0
247965,0,1
247965,0,0
249495,1,0
249496,0,1
249497,0,0
251799,1,0
251800,0,0
254850,1,0
254850,0,0
255602,1,0
255603,0,0
259428,1,0
259429,0,0
261697,1,0
261698,0,0
262481,1,0
262481,0,1
262482,0,0
264007,1,0
264008,0,0
269326,1,0
269327,0,1
269327,0,0
269329,1,0
269330,0,1
269331,0,0
270852,1,0
270853,0,0
270855,1,0
270856,0,1
270857,0,0
273160,1,0
273161,0,0
275430,1,0
275431,0,0
278482,1,0
278483,0,0
278485,1,0
278485,0,1
278486,0,0
281537,1,0
281538,0,0
283059,1,0
283060,0,0
286893,1,0
286894,0,0
286897,1,0
286898,0,1
286899,0,0
291471,1,0
291472,0,0
291475,1,0
291475,0,1
291476,0,0
292214,1,0
292214,0,1
292215,0,0
294523,1,0
294523,0,1
294524,0,0
299100,1,0
299101,0,0
299104,1,0
299105,0,1
299106,0,0
299108,1,0
299109,0,1
299109,0,0
303678,1,0
303679,0,0
306730,1,0
306730,0,0
308256,1,0
308257,0,0
312836,1,0
312836,0,0
312843,1,0
312844,0,0
317421,1,0
317422,0,0
318941,1,0
318942,0,1
318943,0,0
