Time,from_ingress_queue_size,to_ingress_queue_size
12213.8,1,nan
12214.5,0,0
19852.4,1,0
19853.2,0,0
25951.9,1,0
25952.7,0,0
30539,1,0
30539.8,0,1
30540.8,0,0
33588.8,1,0
33589.6,0,1
33590.6,0,0
33592.8,1,0
33593.6,0,1
33595.6,0,0
42747.1,1,0
42747.8,0,1
42748.8,0,0
42749.1,1,0
42749.8,0,1
42751.8,0,0
45802.1,1,0
45802.8,0,1
45803.8,0,0
50382.7,1,0
50383.5,0,1
50384.5,0,0
58001.9,1,0
58002.6,0,1
58003.6,0,0
59530.7,1,0
59531.5,0,0
70226.1,1,0
70226.9,0,0
70230.1,1,0
70230.9,0,1
70232.9,0,0
70233.1,1,0
70233.9,0,1
70235.9,0,0
70236.1,1,0
70236.9,0,1
70238.9,0,0
80918.5,1,0
80919.2,0,1
80920.2,0,0
85495.1,1,0
85495.9,0,0
88554.1,1,0
88554.9,0,1
88555.9,0,0
88649.4,1,0
88650.1,0,1
88651.4,1,1
88652.1,0,1
88655.1,0,0
99236.3,1,0
99237,0,0
99338.7,1,0
99339.5,0,1
99341.5,0,0
106872,1,0
106873,0,1
106874,0,0
106970,1,0
106971,0,1
106973,0,0
112973,1,0
112974,0,0
114502,1,0
114503,0,1
114505,0,0
123666,1,0
123667,0,1
123668,0,0
123754,1,0
123755,0,1
123757,0,0
134437,1,0
134438,0,1
134439,0,0
135876,1,0
135877,0,1
135878,0,0
143591,1,0
143592,0,0
151131,1,0
151132,0,1
151133,0,0
151218,1,0
151218,0,1
151220,0,0
166392,1,0
166393,0,1
166394,0,0
166477,1,0
166478,0,1
166480,0,0
168006,1,0
168007,0,1
168008,0,0
177071,1,0
177072,0,1
177073,0,0
183175,1,0
183176,0,1
183177,0,0
184789,1,0
184790,0,0
192332,1,0
192332,0,0
195383,1,0
195384,0,0
203011,1,0
203012,0,1
203013,0,0
210643,1,0
210644,0,0
210728,1,0
210729,0,1
210731,0,0
218271,1,0
218271,0,1
218272,0,0
225989,1,0
225989,0,0
227426,1,0
227427,0,1
227429,0,0
239640,1,0
239641,0,0
241169,1,0
241170,0,1
241171,0,0
250328,1,0
250328,0,1
250329,0,0
250332,1,0
250332,0,1
250334,0,0
261013,1,0
261014,0,1
261015,0,0
267110,1,0
267111,0,1
267112,0,0
267112,1,0
267113,0,1
267115,0,0
273213,1,0
273214,0,1
273215,0,0
280844,1,0
280845,0,1
280846,0,0
280850,1,0
280850,0,1
280852,0,0
293052,1,0
293053,0,1
293054,0,0
293057,1,0
293057,0,1
293059,1,1
293059,0,1
293062,0,0
305259,1,0
305260,0,1
305261,0,0
305264,1,0
305264,0,1
305266,0,0
306791,1,0
306792,0,1
306793,0,0
306794,1,0
306795,0,1
306797,0,0
315940,1,0
315941,0,1
315942,0,0
315951,1,0
315952,0,1
315954,0,0
318998,1,0
318998,0,0
319002,1,0
319002,0,1
319004,0,0
326621,1,0
326622,0,0
332723,1,0
332724,0,1
332725,0,0
332730,1,0
332731,0,1
332733,0,0
334250,1,0
334251,0,0
347984,1,0
347985,0,1
347986,0,0
347989,1,0
347990,0,1
347992,0,0
349512,1,0
349513,0,1
349515,0,0
360190,1,0
360191,0,1
360193,0,0
360195,1,0
360196,0,1
360198,0,0
367825,1,0
367825,0,1
367826,0,0
376979,1,0
376980,0,0
387664,1,0
387665,0,0
387673,1,0
387674,0,1
387675,0,0
399876,1,0
399876,0,1
399877,0,0
399881,1,0
399881,0,1
399883,0,0
409529,1,0
409530,0,0
416673,1,0
416674,0,0
421240,1,0
421241,0,1
421242,0,0
427343,1,0
427344,0,0
430398,1,0
430399,0,0
441076,1,0
441077,0,1
441078,0,0
441090,1,0
441090,0,1
441092,0,0
445652,1,0
445653,0,1
445654,0,0
445656,1,0
445657,0,1
445659,0,0
451756,1,0
451757,0,1
451758,0,0
459385,1,0
459386,0,1
459387,0,0
459399,1,0
459400,0,1
459402,0,0
470069,1,0
470070,0,1
470071,0,0
470083,1,0
470084,0,1
470086,0,0
471609,1,0
471610,0,1
471611,0,0
477700,1,0
477701,0,1
477702,0,0
483802,1,0
483803,0,1
483804,0,0
489908,1,0
489908,0,0
489916,1,0
489917,0,1
489919,0,0
496013,1,0
496014,0,1
496015,0,0
499066,1,0
499067,0,0
502115,1,0
502115,0,0
505167,1,0
505168,0,0
508218,1,0
508219,0,0
511271,1,0
511272,0,0
514322,1,0
514322,0,0
517374,1,0
517375,0,0
520425,1,0
520426,0,0
523478,1,0
523479,0,0
526529,1,0
526529,0,0
529582,1,0
529582,0,0
532632,1,0
532633,0,0
535685,1,0
535686,0,0
538736,1,0
538737,0,0
541789,1,0
541789,0,0
544839,1,0
544840,0,0
547892,1,0
547893,0,0
550943,1,0
550944,0,0
553996,1,0
553996,0,0
557046,1,0
557047,0,0
560099,1,0
560100,0,0
563150,1,0
563151,0,0
566203,1,0
566203,0,0
569253,1,0
569254,0,0
572306,1,0
572307,0,0
575357,1,0
575358,0,0
578410,1,0
578410,0,0
581460,1,0
581461,0,0
584513,1,0
584514,0,0
587564,1,0
587565,0,0
590617,1,0
590617,0,0
593667,1,0
593668,0,0
596720,1,0
596721,0,0
599771,1,0
599772,0,0
602824,1,0
602824,0,0
605874,1,0
605875,0,0
608927,1,0
608928,0,0
611978,1,0
611979,0,0
615031,1,0
615031,0,0
618652,1,0
618653,0,1
618654,0,0
623227,1,0
623227,0,1
623228,0,0
623235,1,0
623235,0,1
623237,0,0
629334,1,0
629335,0,1
629337,0,0
635445,1,0
635446,0,0
640028,1,0
640028,0,1
640029,0,0
644613,1,0
644614,0,1
644616,0,0
647668,1,0
647669,0,0
653138,1,0
653139,0,1
653140,0,0
653142,1,0
653142,0,1
653144,0,0
659242,1,0
659242,0,1
659244,0,0
659246,1,0
659247,0,1
659249,0,0
