Time,from_ingress_queue_size,to_ingress_queue_size
4000,256,nan
4190.73,0,nan
5190.73,0,256
5191.73,0,0
8957.16,256,0
9147.9,0,0
10147.9,0,0
13532.9,256,0
13723.6,0,0
14723.6,0,0
18108.6,256,0
18109.6,512,0
18299.3,256,0
18490,0,0
19299.3,0,0
19490,0,256
19492,0,0
23059.7,256,0
23250.5,0,0
23441.2,256,0
23631.9,0,0
24250.5,0,0
24631.9,0,256
24633.9,0,0
27637.4,256,0
27828.1,0,0
28018.9,256,0
28209.6,0,0
28828.1,0,0
29209.6,0,256
29211.6,0,0
32215.1,256,0
32405.8,0,0
32596.6,256,0
32597.6,512,0
32787.3,256,0
32978,0,0
33405.8,0,0
33787.3,0,256
33789.3,0,0
33978,0,256
33980,0,0
37162.3,256,0
37353,0,0
37543.7,256,0
37734.5,0,0
37925.2,256,0
38115.9,0,0
38353,0,0
38734.5,0,256
38736.5,0,0
39115.9,0,256
39117.9,0,0
41740,256,0
41930.7,0,0
42121.4,256,0
42312.2,0,0
42502.9,256,0
42693.6,0,0
42930.7,0,0
43312.2,0,256
43314.2,0,0
43693.6,0,256
43695.6,0,0
46317.7,256,0
46508.4,0,0
46699.1,256,0
46889.9,0,0
47080.6,256,0
47271.3,0,0
47508.4,0,0
47889.9,0,256
47891.9,0,0
48271.3,0,256
48273.3,0,0
51276.8,256,0
51467.6,0,0
51658.3,256,0
51849,0,0
52038.8,256,0
52229.5,0,0
52467.6,0,0
52849,0,256
52851,0,0
53229.5,0,256
53231.5,0,0
55854.5,256,0
56045.3,0,0
56236,256,0
56237,512,0
56426.7,256,0
56616.5,512,0
56617.5,256,0
56808.2,0,0
57045.3,0,0
57426.7,0,256
57428.7,0,0
57617.5,0,256
57619.5,0,0
57808.2,0,256
57810.2,0,0
60432.2,256,0
60623,0,0
60813.7,256,0
61004.4,0,0
61194.2,256,0
61384.9,0,0
61575.6,256,0
61623,256,0
61766.4,0,0
62004.4,0,256
62006.4,0,0
62384.9,0,256
62386.9,0,0
62766.4,0,256
62767.4,0,0
65389.4,256,0
65580.1,0,0
65769.8,256,0
65960.6,0,0
66151.3,256,0
66342.1,0,0
66532.8,256,0
66580.1,256,0
66723.5,0,0
66960.6,0,256
66962.6,0,0
67342.1,0,256
67343.1,0,0
67723.5,0,256
67724.5,0,0
69967.1,256,0
70157.8,0,0
70347.5,256,0
70538.3,0,0
70729,256,0
70919.7,0,0
71110.5,256,0
71157.8,256,0
71301.2,0,0
71538.3,0,256
71540.3,0,0
71919.7,0,256
71920.7,0,0
72301.2,0,256
72302.2,0,0
74544.8,256,0
74735.5,0,0
74925.2,256,0
75116,0,0
75306.7,256,0
75307.7,512,0
75497.4,256,0
75688.2,256,0
75735.5,256,0
75878.9,0,0
76116,0,256
76118,0,0
76497.4,0,256
76498.4,0,0
76688.2,0,256
76689.2,0,0
76878.9,0,256
76880.9,0,0
79874.4,256,0
80065.1,0,0
80255.9,256,0
80446.6,0,0
80637.3,256,0
80828.1,0,0
81018.8,256,0
81065.1,256,256
81066.1,256,0
81209.5,0,0
81446.6,0,256
81447.6,0,0
81828.1,0,256
81829.1,0,0
82209.5,0,256
82210.5,0,0
84450.1,256,0
84451.1,512,0
84640.8,256,0
84831.6,256,0
85022.3,0,0
85213,256,0
85403.8,0,0
85594.5,256,0
85640.8,256,256
85641.8,256,0
85785.2,0,0
85831.6,0,256
85832.6,0,0
86022.3,0,256
86024.3,0,0
86403.8,0,256
86404.8,0,0
86785.2,0,256
86786.2,0,0
89025.8,256,0
89216.5,0,0
89407.3,256,0
89598,0,0
89788.7,256,0
89979.5,0,0
90170.2,256,0
90216.5,256,256
90217.5,256,0
90360.9,0,0
90551.7,256,0
90598,256,256
90599,256,0
90742.4,0,0
90979.5,0,256
90980.5,0,0
91360.9,0,256
91361.9,0,0
91742.4,0,256
91743.4,0,0
93601.5,256,0
93792.2,0,0
93983,256,0
94173.7,0,0
94364.4,256,0
94555.2,0,0
94745.9,256,0
94792.2,256,256
94793.2,256,0
94936.6,0,0
95127.4,256,0
95173.7,256,256
