Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
748.058,0,0
3728.44,10000,0
3729.44,20000,0
4473.5,10000,10000
4477.42,10000,0
5218.56,0,10000
5220.56,0,0
9687.9,10000,0
9688.9,20000,0
10433,10000,10000
10436.9,10000,0
11177,20000,0
11178,20000,10000
11181,20000,0
11923.1,10000,10000
11926.1,10000,0
12668.1,0,10000
12671.1,0,0
20863.8,10000,0
20864.8,20000,0
21608.8,20000,10000
21609.8,30000,10000
21612.8,30000,0
22353.9,30000,10000
22354.9,40000,10000
22357.8,40000,0
23097.9,50000,0
23098.9,50000,10000
23101.9,50000,0
23844,40000,10000
23847,40000,0
24589.1,30000,10000
24592,30000,0
25334.1,20000,10000
25336.1,20000,0
26079.2,10000,10000
26081.2,10000,0
26824.2,0,10000
26826.2,0,0
34274.8,10000,0
35019.9,0,10000
35023.8,0,0
35763.9,10000,0
36509,0,10000
36510.9,0,0
36513,10000,0
37258.1,0,10000
37262,0,0
50667.1,10000,0
51412.2,0,10000
51414.2,10000,10000
51415.2,20000,10000
51418.1,20000,0
52155.2,30000,0
52156.2,40000,0
52159.2,30000,10000
52162.2,30000,0
52904.3,20000,10000
52907.3,20000,0
53649.3,10000,10000
53655.3,10000,0
54394.4,0,10000
54400.3,0,0
58861.7,10000,0
59606.8,0,10000
59607.8,10000,10000
59611.7,10000,0
60350.9,20000,0
60352.9,10000,10000
60355.9,10000,0
61097.9,0,10000
61100.9,0,0
61841,10000,0
62586,0,10000
62589,0,0
63331.1,10000,0
64076.1,0,10000
64079.1,0,0
70782.7,10000,0
70783.7,20000,0
71527.7,10000,10000
71528.7,20000,10000
71532.6,20000,0
72271.8,30000,0
72272.8,20000,10000
72275.8,20000,0
73017.8,10000,10000
73020.8,10000,0
73761.9,20000,0
73762.9,10000,10000
73765.9,10000,0
74508,0,10000
74511,0,0
75252,10000,0
75997.1,0,10000
75999,0,0
83448.7,10000,0
84193.7,10000,10000
84194.7,20000,10000
84197.6,20000,0
84937.8,30000,0
84938.8,20000,10000
84941.8,20000,0
85682.8,30000,0
85683.8,20000,10000
85686.8,20000,0
86427.9,30000,0
86428.9,20000,10000
86431.9,20000,0
87172.9,30000,0
87173.9,20000,10000
87176.9,20000,0
87919,10000,10000
87922,10000,0
88664.1,0,10000
88667,0,0
98349.8,10000,0
99094.9,10000,10000
99098.8,10000,0
99839.9,0,10000
99842.9,0,0
102078,10000,0
102823,0,10000
102827,0,0
103564,10000,0
104309,0,10000
104311,0,0
112506,10000,0
113251,10000,10000
113255,10000,0
113996,10000,10000
114000,10000,0
114740,20000,0
114741,10000,10000
114744,10000,0
115486,0,10000
115489,0,0
124427,10000,0
124428,20000,0
125172,10000,10000
125176,10000,0
125917,0,10000
125920,0,0
127407,10000,0
128152,0,10000
128153,0,0
137093,10000,0
137838,0,10000
137842,0,0
138582,10000,0
139327,0,10000
139332,0,0
140072,10000,0
140817,0,10000
140822,0,0
149014,10000,0
149015,20000,0
149759,10000,10000
149763,10000,0
150503,20000,0
150504,10000,10000
150507,10000,0
151249,0,10000
151252,0,0
165408,10000,0
165409,20000,0
166150,30000,0
166153,20000,10000
166156,20000,0
166898,10000,10000
166901,10000,0
167643,0,0
175091,10000,0
175836,10000,10000
175840,10000,0
176581,0,10000
176584,0,0
177325,10000,0
177326,20000,0
178070,10000,10000
178075,10000,0
178815,0,10000
178819,0,0
187757,10000,0
188502,10000,10000
188506,10000,0
189247,0,10000
189250,0,0
189991,10000,0
190736,0,10000
190737,10000,10000
190738,20000,10000
190741,20000,0
191482,10000,10000
191485,10000,0
192227,0,10000
192230,0,0
204148,10000,0
204893,0,10000
204894,0,0
204896,10000,0
205641,0,10000
205645,0,0
219794,10000,0
219795,20000,0
220539,20000,10000
220543,20000,0
221284,10000,10000
221288,10000,0
222029,0,10000
222032,0,0
227990,10000,0
228735,0,10000
228739,0,0
229479,10000,0
230224,0,10000
230229,0,0
230969,10000,0
230970,20000,0
231714,10000,10000
231715,10000,0
232459,0,10000
232461,0,0
238421,10000,0
239166,0,10000
239170,0,0
239910,10000,0
240655,0,10000
240660,0,0
241400,10000,0
242145,0,10000
242146,0,0
253322,10000,0
254067,0,10000
254071,0,0
254811,10000,0
254812,20000,0
255556,10000,10000
255557,10000,0
256301,0,10000
256302,0,0
265243,10000,0
265988,0,10000
265992,0,0
266733,10000,0
267478,0,10000
267484,0,0
268222,10000,0
268967,0,10000
268968,0,0
277164,10000,0
277165,20000,0
277909,10000,10000
277913,10000,0
278654,0,10000
278657,0,0
279398,10000,0
280143,0,10000
280145,0,0
280892,10000,0
281637,0,10000
281641,0,0
292810,10000,0
293555,10000,10000
293556,20000,10000
293559,20000,0
294300,20000,10000
294304,20000,0
295044,30000,0
295045,20000,10000
295048,20000,0
295790,10000,10000
295793,10000,0
296535,0,10000
296538,0,0
306222,10000,0
306967,0,10000
306973,0,0
307710,10000,0
308455,0,10000
308457,0,0
308459,10000,0
309204,0,10000
309208,0,0
