Time,from_ingress_queue_size,to_ingress_queue_size
4473.42,1,nan
4473.5,0,0
10432.9,1,0
10433,0,0
12667.1,1,0
12667.1,0,0
21608.8,1,0
21608.8,0,0
23097.9,1,0
23097.9,0,0
25338,1,0
25338.1,0,0
26828.2,1,0
26828.2,0,0
35763.9,1,0
35763.9,0,0
37255,1,0
37255.1,0,0
38748.1,1,0
38748.2,0,0
40239.2,1,0
40239.3,0,0
47684.8,1,0
47684.9,0,0
49925,1,0
49925,0,0
51414.1,1,0
51414.2,0,0
53645.3,1,0
53645.3,0,0
61096.8,1,0
61096.9,0,0
62590,1,0
62590,0,0
64080.1,1,0
64080.1,0,0
67061.3,1,0
67061.4,0,0
68551.4,1,0
68551.5,0,0
74507.9,1,0
74508,0,0
76002,1,0
76002.1,0,0
77491.1,1,0
77491.2,0,0
84193.6,1,0
84193.7,0,0
84938.7,1,0
84938.8,0,0
86431.8,1,0
86431.9,0,0
94624.4,1,0
94624.5,0,0
96117.6,1,0
96117.6,0,0
97607.7,1,0
97607.8,0,0
98353.7,1,0
98353.8,0,0
107294,1,0
107295,0,0
108785,1,0
108785,0,0
110275,1,0
110275,0,0
111015,1,0
111015,0,0
112509,1,0
112509,0,0
121447,1,0
121447,0,0
122192,1,0
122192,0,0
123685,1,0
123685,0,0
131877,1,0
131877,0,0
132622,1,0
132622,0,0
133370,1,0
133371,0,0
134861,1,0
134861,0,0
144543,1,0
144543,0,0
145288,1,0
145288,0,0
146033,1,0
146034,0,0
146782,1,0
146782,0,0
148272,1,0
148272,0,0
156464,1,0
156464,0,0
157958,1,0
157958,0,0
158703,1,0
158704,0,0
159447,1,0
159448,0,0
170620,1,0
170620,0,0
171365,1,0
171366,0,0
172110,1,0
172111,0,0
182541,1,0
182541,0,0
184035,1,0
184035,0,0
184780,1,0
184781,0,0
185526,1,0
185526,0,0
196701,1,0
196701,0,0
197442,1,0
197443,0,0
198188,1,0
198188,0,0
209363,1,0
209363,0,0
210857,1,0
210857,0,0
211603,1,0
211603,0,0
213092,1,0
213092,0,0
222033,1,0
222033,0,0
223523,1,0
223524,0,0
224269,1,0
224269,0,0
225758,1,0
225758,0,0
227248,1,0
227248,0,0
233205,1,0
233205,0,0
234698,1,0
234698,0,0
236930,1,0
236930,0,0
244383,1,0
244383,0,0
245874,1,0
245874,0,0
246620,1,0
246620,0,0
248854,1,0
248855,0,0
259282,1,0
259282,0,0
260772,1,0
260772,0,0
261516,1,0
261517,0,0
263012,1,0
263012,0,0
264502,1,0
264502,0,0
274928,1,0
274929,0,0
277908,1,0
277908,0,0
278653,1,0
278653,0,0
288342,1,0
288342,0,0
291319,1,0
291319,0,0
292064,1,0
292064,0,0
300264,1,0
300265,0,0
301010,1,0
301010,0,0
304730,1,0
304730,0,0
306220,1,0
306220,0,0
310691,1,0
310691,0,0
311436,1,0
311436,0,0
312929,1,0
312930,0,0
315906,1,0
315906,0,0
318146,1,0
318146,0,0
322612,1,0
322612,0,0
324106,1,0
324106,0,0
325596,1,0
325597,0,0
328577,1,0
328577,0,0
