Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
747.058,0,0
2241.32,10000,0
2242.32,20000,0
2986.38,10000,10000
2987.38,10000,0
3731.44,0,10000
3737.44,0,0
6709.67,10000,0
6710.67,20000,0
6723.97,30000,0
7454.73,20000,10000
7457.66,20000,0
8199.79,10000,10000
8202.71,10000,0
8944.85,0,10000
8946.85,0,0
14906.3,10000,0
15651.4,0,10000
15653.4,0,0
16067,10000,0
16394.4,20000,0
16812,10000,0
17557.1,0,10000
17561.1,0,0
28317.4,10000,0
29062.4,0,10000
29064.4,0,0
31296.6,10000,0
32041.6,0,10000
32046.6,0,0
41728.4,10000,0
41729.4,20000,0
42473.5,10000,10000
42475.5,10000,0
43218.5,0,10000
43219.5,0,0
43961.6,10000,0
44706.6,0,10000
44710.6,0,0
49924,10000,0
50669.1,0,10000
50671.1,0,0
51412.2,10000,0
51413.2,20000,0
52157.2,10000,10000
52161.1,10000,0
52902.3,0,10000
52905.2,0,0
53647.3,10000,0
54392.4,0,10000
54396.3,0,0
61099.9,10000,0
61845,0,10000
61847.9,0,0
62588,10000,0
63333.1,0,10000
63337,0,0
64078.1,10000,0
64823.2,0,10000
64827.1,0,0
65568.3,10000,0
65569.3,20000,0
66313.3,10000,10000
66317.2,10000,0
67058.4,0,10000
67061.3,0,0
76001.1,10000,0
76746.1,0,10000
76748.1,0,0
77489.2,10000,0
78234.2,0,10000
78238.2,0,0
81215.5,10000,0
81960.5,0,10000
81965.5,0,0
92391.3,10000,0
93136.4,0,10000
93139.3,0,0
93881.5,10000,0
94626.5,0,10000
94629.4,0,0
96116.6,10000,0
96861.7,0,10000
96864.6,0,0
106547,10000,0
106548,20000,0
107293,10000,10000
107297,10000,0
108038,0,10000
108040,0,0
108782,10000,0
109527,0,10000
109533,0,0
111020,10000,0
111765,0,10000
111766,0,0
117723,10000,0
118468,10000,10000
118469,20000,10000
118471,20000,0
119212,30000,0
119213,20000,10000
119215,20000,0
119958,10000,10000
119960,10000,0
120704,0,10000
120705,0,0
129644,10000,0
130389,10000,10000
130392,10000,0
131134,0,10000
131136,0,0
131878,10000,0
132623,0,10000
132627,0,0
140822,10000,0
141565,20000,0
141566,30000,0
141567,20000,10000
141569,20000,0
142312,10000,10000
142314,10000,0
143054,20000,0
143057,10000,0
143802,0,10000
143804,0,0
150507,10000,0
151251,20000,0
151252,10000,10000
151254,10000,0
151997,0,10000
151999,0,0
152740,10000,0
152741,20000,0
153485,10000,10000
153486,20000,10000
153489,20000,0
154230,10000,10000
154233,10000,0
154975,0,10000
154978,0,0
162428,10000,0
163173,0,10000
163176,0,0
166152,10000,0
166897,10000,10000
166900,10000,0
167642,0,10000
167644,0,0
175839,10000,0
176584,0,10000
176587,0,0
178820,10000,0
179563,20000,0
179564,30000,0
179565,20000,10000
179567,20000,0
180310,10000,10000
180312,10000,0
181055,0,10000
181057,0,0
187761,10000,0
188506,0,10000
188509,0,0
189994,10000,0
190739,0,10000
190742,0,0
196700,10000,0
196701,20000,0
197446,10000,10000
197448,10000,0
198191,0,10000
198193,0,0
198934,10000,0
199679,0,10000
199683,0,0
205641,10000,0
206386,0,10000
206389,0,0
207129,10000,0
207874,0,10000
207878,0,0
208619,10000,0
208620,20000,0
209364,10000,10000
209368,10000,0
210110,0,10000
210112,0,0
216817,10000,0
217562,0,10000
217565,0,0
218307,10000,0
219052,0,10000
219054,0,0
220543,10000,0
221286,20000,0
221287,30000,0
221288,20000,10000
221290,20000,0
222033,10000,10000
222035,10000,0
222779,0,10000
222784,0,0
230229,10000,0
230974,0,10000
230977,0,0
234697,10000,0
235442,0,10000
235447,0,0
236187,10000,0
236932,0,10000
236938,0,0
242890,10000,0
243635,0,10000
243636,0,0
245873,10000,0
246618,10000,10000
246619,20000,10000
246621,20000,0
247363,10000,10000
247366,10000,0
248108,0,10000
248110,0,0
253325,10000,0
254070,0,10000
254073,0,0
256304,10000,0
257049,0,10000
257052,0,0
257793,10000,0
258538,0,10000
258539,10000,10000
258540,20000,10000
258542,20000,0
259284,10000,10000
259286,10000,0
260029,0,10000
260031,0,0
267477,10000,0
268222,0,10000
268225,0,0
271205,10000,0
271950,0,10000
271953,0,0
272694,10000,0
273439,0,10000
273442,10000,10000
273445,10000,0
274185,20000,0
274188,10000,10000
274190,10000,0
274933,0,10000
274935,0,0
283127,10000,0
283128,20000,0
283872,10000,10000
283876,10000,0
284617,0,10000
284619,0,0
286852,10000,0
287597,10000,10000
287599,10000,0
288341,20000,0
288342,10000,10000
288344,10000,0
289086,20000,0
289087,10000,10000
289089,10000,0
289832,0,10000
289834,0,0
296534,10000,0
297279,0,10000
297280,0,0
297283,10000,0
297284,20000,0
298028,10000,10000
298032,10000,0
298773,0,10000
298775,0,0
301008,10000,0
301753,0,10000
301756,0,0
309945,10000,0
309946,20000,0
310690,10000,10000
310692,10000,0
310695,20000,0
311435,10000,10000
311437,10000,0
312180,0,10000
312182,0,0
315164,10000,0
315909,0,10000
315912,0,0
321125,10000,0
321870,0,10000
321872,0,0
