Time,from_ingress_queue_size,to_ingress_queue_size
1,2048,nan
1526.87890625,0,2048
1526.87890625,0,0
2001,2048,0
3056.2479286193848,4096,0
3057.2479286193848,6144,0
3526.87890625,4096,2048
3527.87890625,4096,0
5052.7578125,2048,2048
5053.7578125,2048,0
6578.63671875,0,2048
6579.63671875,0,0
6583.126834869385,2048,0
8109.005741119385,0,2048
8110.005741119385,0,0
8112.005741119385,2048,0
9637.884647369385,0,2048
9638.884647369385,0,0
9639.37476348877,2048,0
9640.37476348877,4096,0
11165.25366973877,2048,2048
11166.25366973877,2048,0
11171.25366973877,4096,0
12691.13257598877,2048,2048
12692.13257598877,2048,0
12695.622692108154,4096,0
14217.01148223877,2048,2048
14218.01148223877,2048,0
14224.501598358154,4096,0
14225.501598358154,6144,0
15742.89038848877,4096,2048
15743.89038848877,4096,0
15747.380504608154,6144,0
17268.76929473877,4096,2048
17269.76929473877,4096,0
17276.259410858154,6144,0
18794.64820098877,4096,2048
18795.64820098877,4096,0
18799.138317108154,6144,0
20320.52710723877,4096,2048
20321.52710723877,4096,0
20328.017223358154,6144,0
21846.40601348877,4096,2048
21847.40601348877,4096,0
21850.896129608154,6144,0
21851.896129608154,8192,0
23372.28491973877,6144,2048
23373.28491973877,6144,0
23379.775035858154,8192,0
24898.16382598877,6144,2048
24899.16382598877,6144,0
24902.653942108154,8192,0
26424.04273223877,6144,2048
26425.04273223877,6144,0
26431.532848358154,8192,0
27949.92163848877,6144,2048
27950.92163848877,6144,0
27954.411754608154,8192,0
29475.80054473877,6144,2048
29476.80054473877,6144,0
29483.290660858154,8192,0
29484.290660858154,10240,0
31001.67945098877,8192,2048
31002.67945098877,8192,0
31006.169567108154,10240,0
32527.55835723877,8192,2048
32528.55835723877,8192,0
32535.048473358154,10240,0
34053.43726348877,8192,2048
34054.43726348877,8192,0
34057.927379608154,10240,0
35579.31616973877,8192,2048
35580.31616973877,8192,0
35586.806285858154,10240,0
37105.19507598877,8192,2048
37106.19507598877,8192,0
37109.685192108154,10240,0
38631.07398223877,8192,2048
38632.07398223877,8192,0
38638.564098358154,10240,0
38639.564098358154,12288,0
40156.95288848877,10240,2048
40157.95288848877,10240,0
40161.443004608154,12288,0
41682.83179473877,10240,2048
41683.83179473877,10240,0
41690.321910858154,12288,0
43208.71070098877,10240,2048
43209.71070098877,10240,0
43213.200817108154,12288,0
44734.58960723877,10240,2048
44735.58960723877,10240,0
44742.079723358154,12288,0
46260.46851348877,10240,2048
46261.46851348877,10240,0
46264.958629608154,12288,0
47786.34741973877,10240,2048
47787.34741973877,10240,0
47793.837535858154,12288,0
49312.22632598877,10240,2048
49313.22632598877,10240,0
49316.716442108154,12288,0
50838.10523223877,10240,2048
50839.10523223877,10240,0
50845.595348358154,12288,0
50846.595348358154,14336,0
52363.98413848877,12288,2048
52364.98413848877,12288,0
52368.474254608154,14336,0
53889.86304473877,12288,2048
53890.86304473877,12288,0
53897.353160858154,14336,0
55415.74195098877,12288,2048
55416.74195098877,12288,0
55420.232067108154,14336,0
56941.62085723877,12288,2048
56942.62085723877,12288,0
56949.110973358154,14336,0
58467.49976348877,12288,2048
58468.49976348877,12288,0
58471.989879608154,14336,0
59993.37866973877,12288,2048
59994.37866973877,12288,0
60000.868785858154,14336,0
61519.25757598877,12288,2048
61520.25757598877,12288,0
61523.747692108154,14336,0
63045.13648223877,12288,2048
63046.13648223877,12288,0
63052.626598358154,14336,0
63053.626598358154,16384,0
64571.01538848877,14336,2048
64572.01538848877,14336,0
64575.505504608154,16384,0
66096.89429473877,14336,2048
66097.89429473877,14336,0
66104.38441085815,16384,0
67622.77320098877,14336,2048
67623.77320098877,14336,0
67627.26331710815,16384,0
69148.65210723877,14336,2048
69149.65210723877,14336,0
69156.14222335815,16384,0
70674.53101348877,14336,2048
70675.53101348877,14336,0
70679.02112960815,16384,0
72200.40991973877,14336,2048
72201.40991973877,14336,0
72207.90003585815,16384,0
73726.28882598877,14336,2048
73727.28882598877,14336,0
73730.77894210815,16384,0
75252.16773223877,14336,2048
75253.16773223877,14336,0
75259.65784835815,16384,0
76778.04663848877,14336,2048
76779.04663848877,14336,0
76782.53675460815,16384,0
78303.92554473877,14336,2048
78304.92554473877,14336,0
78311.41566085815,16384,0
78312.41566085815,16384,0
79829.80445098877,14336,2048
79830.80445098877,14336,0
79834.29456710815,16384,0
81355.68335723877,14336,2048
81356.68335723877,14336,0
81363.17347335815,16384,0
82881.56226348877,14336,2048
82882.56226348877,14336,0
82886.05237960815,16384,0
84407.44116973877,14336,2048
84408.44116973877,14336,0
84414.93128585815,16384,0
85933.32007598877,14336,2048
85934.32007598877,14336,0
85937.81019210815,16384,0
87459.19898223877,14336,2048
87460.19898223877,14336,0
87466.68909835815,16384,0
88985.07788848877,14336,2048
88986.07788848877,14336,0
88989.56800460815,16384,0
90510.95679473877,14336,2048
90511.95679473877,14336,0
90518.44691085815,16384,0
92036.83570098877,14336,2048
92037.83570098877,14336,0
92041.32581710815,16384,0
93562.71460723877,14336,2048
93563.71460723877,14336,0
93570.20472335815,16384,0
93571.20472335815,16384,0
95088.59351348877,14336,2048
95089.59351348877,14336,0
95093.08362960815,16384,0
96614.47241973877,14336,2048
96615.47241973877,14336,0
96621.96253585815,16384,0
98140.35132598877,14336,2048
98141.35132598877,14336,0
98144.84144210815,16384,0
99666.23023223877,14336,2048
99667.23023223877,14336,0
99673.72034835815,16384,0
101192.10913848877,14336,2048
101193.10913848877,14336,0
101196.59925460815,16384,0
102717.98804473877,14336,2048
102718.98804473877,14336,0
102725.47816085815,16384,0
104243.86695098877,14336,2048
104244.86695098877,14336,0
104248.35706710815,16384,0
105769.74585723877,14336,2048
105770.74585723877,14336,0
105777.23597335815,16384,0
107295.62476348877,14336,2048
107296.62476348877,14336,0
107300.11487960815,16384,0
108002.40900438055,16384,0
108821.50366973877,14336,2048
108822.50366973877,14336,0
110347.38257598877,12288,2048
110348.38257598877,12288,0
111873.26148223877,10240,2048
111874.26148223877,10240,0
113399.14038848877,8192,2048
113400.14038848877,8192,0
114925.01929473877,6144,2048
114926.01929473877,6144,0
116450.89820098877,4096,2048
116451.89820098877,4096,0
116455.38831710815,6144,0
117976.77710723877,4096,2048
117977.77710723877,4096,0
117984.26722335815,6144,0
119502.65601348877,4096,2048
119503.65601348877,4096,0
119507.14612960815,6144,0
121028.53491973877,4096,2048
121029.53491973877,4096,0
121036.02503585815,6144,0
122554.41382598877,4096,2048
122555.41382598877,4096,0
122558.90394210815,6144,0
122942.06161751386,8192,0
124080.29273223877,6144,2048
124081.29273223877,6144,0
125606.17163848877,4096,2048
125607.17163848877,4096,0
127132.05054473877,2048,2048
127133.05054473877,2048,0
127139.54066085815,4096,0
128657.92945098877,2048,2048
128658.92945098877,2048,0
128662.41956710815,4096,0
130183.80835723877,2048,2048
130184.80835723877,2048,0
130191.29847335815,4096,0
131709.68726348877,2048,2048
131710.68726348877,2048,0
131714.17737960815,4096,0
133235.56616973877,2048,2048
133236.56616973877,2048,0
133243.05628585815,4096,0
134761.44507598877,2048,2048
134762.44507598877,2048,0
134765.93519210815,4096,0
134766.93519210815,6144,0
136242.9131046341,8192,0
136287.32398223877,6144,2048
136288.32398223877,6144,0
137813.20288848877,4096,2048
137814.20288848877,4096,0
139339.08179473877,2048,2048
139340.08179473877,2048,0
139346.57191085815,4096,0
140864.96070098877,2048,2048
140865.96070098877,2048,0
140869.45081710815,4096,0
142390.83960723877,2048,2048
142391.83960723877,2048,0
142398.32972335815,4096,0
143916.71851348877,2048,2048
143917.71851348877,2048,0
143921.20862960815,4096,0
143922.20862960815,6144,0
145442.59741973877,4096,2048
145443.59741973877,4096,0
145450.08753585815,6144,0
146968.47632598877,4096,2048
146969.47632598877,4096,0
146972.96644210815,6144,0
148494.35523223877,4096,2048
148495.35523223877,4096,0
148501.84534835815,6144,0
150020.23413848877,4096,2048
150021.23413848877,4096,0
150024.72425460815,6144,0
150025.72425460815,8192,0
151546.11304473877,6144,2048
151547.11304473877,6144,0
151553.60316085815,8192,0
153071.99195098877,6144,2048
153072.99195098877,6144,0
153076.48206710815,8192,0
154597.87085723877,6144,2048
154598.87085723877,6144,0
154605.36097335815,8192,0
156123.74976348877,6144,2048
156124.74976348877,6144,0
156128.23987960815,8192,0
157649.62866973877,6144,2048
157650.62866973877,6144,0
157657.11878585815,8192,0
159175.50757598877,6144,2048
159176.50757598877,6144,0
159179.99769210815,8192,0
159180.99769210815,10240,0
160701.38648223877,8192,2048
160702.38648223877,8192,0
160708.87659835815,10240,0
162227.26538848877,8192,2048
162228.26538848877,8192,0
162231.75550460815,10240,0
163753.14429473877,8192,2048
163754.14429473877,8192,0
163760.63441085815,10240,0
165279.02320098877,8192,2048
165280.02320098877,8192,0
165283.51331710815,10240,0
166804.90210723877,8192,2048
166805.90210723877,8192,0
166812.39222335815,10240,0
168330.78101348877,8192,2048
168331.78101348877,8192,0
168335.27112960815,10240,0
