Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.1819, 19.5941, 380247

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.0984, 20.4839, 363729

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9416, 19.3607, 384829

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 27.1533, 26.1089, 285365

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.6575, 20.0558, 371492
