Time,from_ingress_queue_size,to_ingress_queue_size
311,10000,nan
1056.0580596923828,0,10000
1056.0580596923828,0,0
2257.323190689087,10000,0
2258.323190689087,20000,0
3002.3812503814697,10000,10000
3004.3812503814697,10000,0
3747.4393100738525,0,10000
3751.4393100738525,0,0
6149.969572067261,10000,0
6150.969572067261,20000,0
6723.671548843384,30000,0
6895.027631759644,20000,10000
6895.027631759644,20000,0
7640.085691452026,10000,10000
7640.085691452026,10000,0
8385.14375114441,0,10000
8389.14375114441,0,0
9704.903787612915,10000,0
10449.961847305298,0,10000
10454.887341499329,0,0
16132.286060777642,10000,0
16877.344120470025,0,10000
16881.344120470025,0,0
19389.65856361389,10000,0
20134.716623306274,0,10000
20137.642117500305,0,0
21628.83274269104,10000,0
22373.890802383423,0,10000
22378.816296577454,0,0
34290.81975746155,10000,0
34291.81975746155,20000,0
35035.87781715393,10000,10000
35040.80331134796,10000,0
35780.93587684631,0,10000
35784.93587684631,0,0
40251.28423500061,10000,0
40996.34229469299,0,10000
41001.267788887024,0,0
41740.400354385376,10000,0
42485.45841407776,0,10000
42486.38390827179,0,0
49191.980951309204,10000,0
49192.980951309204,20000,0
49937.03901100159,10000,10000
49941.96450519562,10000,0
50681.09707069397,20000,0
50682.09707069397,10000,10000
50686.09707069397,10000,0
51427.15513038635,0,10000
51431.15513038635,0,0
58877.73572731018,10000,0
59622.79378700256,0,10000
59627.719281196594,0,0
60366.851846694946,10000,0
60367.851846694946,20000,0
61111.90990638733,10000,10000
61115.83540058136,10000,0
61856.96796607971,0,10000
61860.89346027374,0,0
61861.96796607971,10000,0
62607.026025772095,0,10000
62611.026025772095,0,0
72288.78080177307,10000,0
73033.83886146545,0,10000
73033.83886146545,10000,10000
73038.76435565948,10000,0
73777.89692115784,20000,0
73778.89692115784,10000,10000
73782.89692115784,10000,0
74523.95498085022,0,10000
74527.95498085022,0,0
75268.0130405426,10000,0
75269.0130405426,20000,0
76013.07110023499,10000,10000
76013.99659442902,10000,0
76758.12915992737,0,10000
76762.0546541214,0,0
86444.88393592834,10000,0
87189.94199562073,0,10000
87194.86748981476,0,0
90171.17423439026,10000,0
90172.17423439026,20000,0
90916.23229408264,10000,10000
90918.15778827667,10000,0
91661.29035377502,0,10000
91663.21584796906,0,0
102095.10318946838,10000,0
102840.16124916077,0,10000
102844.16124916077,0,0
103580.21930885315,10000,0
104325.27736854553,0,10000
104326.20286273956,0,0
104327.27736854553,10000,0
105072.33542823792,0,10000
105074.26092243195,0,0
116992.26438331604,10000,0
117737.32244300842,0,10000
117738.32244300842,10000,10000
117743.24793720245,10000,0
118483.3805027008,0,10000
118487.3805027008,0,0
131148.3675174713,10000,0
131893.4255771637,0,10000
131896.35107135773,0,0
131897.4255771637,10000,0
131898.4255771637,20000,0
132642.48363685608,10000,10000
132647.4091310501,10000,0
133387.54169654846,0,10000
133391.54169654846,0,0
143818.35453224182,10000,0
144559.4125919342,20000,0
144563.4125919342,10000,10000
144567.4125919342,10000,0
145308.4706516266,0,10000
145312.4706516266,0,0
146048.52871131897,10000,0
146049.52871131897,20000,0
146793.58677101135,10000,10000
146794.51226520538,10000,0
147538.64483070374,0,10000
147542.57032489777,0,0
157970.4576663971,10000,0
158715.51572608948,0,10000
158718.4412202835,0,0
158719.51572608948,10000,0
159464.57378578186,0,10000
159469.4992799759,0,0
160204.63184547424,10000,0
160949.68990516663,0,10000
160950.61539936066,0,0
160951.68990516663,10000,0
161696.747964859,0,10000
161698.67345905304,0,0
171385.50274085999,10000,0
171386.50274085999,20000,0
172126.56080055237,30000,0
172130.56080055237,20000,10000
172134.56080055237,20000,0
172875.61886024475,10000,10000
172879.61886024475,10000,0
173620.67691993713,0,10000
173621.67691993713,0,0
182559.37363624573,10000,0
183302.4316959381,20000,0
183304.4316959381,10000,10000
183307.35719013214,10000,0
184049.4897556305,0,10000
184053.4897556305,0,0
184791.54781532288,10000,0
185536.60587501526,0,10000
185537.5313692093,0,0
195223.36065101624,10000,0
195968.41871070862,0,10000
195973.34420490265,0,0
196712.476770401,10000,0
197457.53483009338,0,10000
197458.4603242874,0,0
210128.5218448639,10000,0
210873.57990455627,0,10000
210878.5053987503,0,0
222790.5088596344,10000,0
222791.5088596344,20000,0
223535.56691932678,10000,10000
223541.4924135208,10000,0
224280.62497901917,0,10000
224284.62497901917,0,0
235456.4958744049,10000,0
236201.5539340973,0,10000
236207.47942829132,0,0
236945.61199378967,10000,0
237690.67005348206,0,10000
237691.5955476761,0,0
248867.5409488678,10000,0
248868.5409488678,20000,0
249612.59900856018,10000,10000
249617.5245027542,10000,0
250356.65706825256,20000,0
250357.65706825256,10000,10000
250361.65706825256,10000,0
251102.71512794495,0,10000
251106.71512794495,0,0
263027.6440830231,10000,0
263772.70214271545,0,10000
263777.6276369095,0,0
265259.8182621002,10000,0
266004.8763217926,0,10000
266006.80181598663,0,0
279418.9213962555,10000,0
280163.9794559479,0,10000
280167.9794559479,0,0
289845.73423194885,10000,0
289846.73423194885,20000,0
290590.79229164124,10000,10000
290596.71778583527,10000,0
291335.8503513336,0,10000
291339.8503513336,0,0
302515.72124671936,10000,0
302516.72124671936,20000,0
303260.77930641174,10000,10000
303265.7048006058,10000,0
304005.8373661041,0,10000
304009.8373661041,0,0
316667.82438087463,10000,0
317412.882440567,0,10000
317417.80793476105,0,0
318156.9405002594,10000,0
318901.9985599518,0,10000
318905.9240541458,0,0
329333.81139564514,10000,0
329334.81139564514,20000,0
330078.8694553375,10000,10000
330081.79494953156,10000,0
330823.9275150299,0,10000
330826.85300922394,0,0
336784.39199256897,10000,0
337529.45005226135,0,10000
337529.45005226135,10000,10000
337534.3755464554,10000,0
338274.50811195374,0,10000
338278.50811195374,0,0
345725.08870887756,10000,0
345726.08870887756,20000,0
346470.14676856995,10000,10000
346473.072262764,10000,0
346474.14676856995,20000,0
347215.2048282623,10000,10000
347218.13032245636,10000,0
347960.2628879547,0,10000
347963.18838214874,0,0
355414.84348487854,10000,0
356159.9015445709,0,10000
356159.9015445709,10000,10000
356160.9015445709,20000,10000
356164.82703876495,20000,0
356899.9596042633,30000,0
356904.9596042633,20000,10000
356908.9596042633,20000,0
357650.0176639557,10000,10000
357654.0176639557,10000,0
358395.0757236481,0,10000
358399.0757236481,0,0
365100.5982608795,10000,0
365845.6563205719,0,10000
365845.6563205719,10000,10000
365850.58181476593,10000,0
366585.7143802643,20000,0
366590.7143802643,10000,10000
366594.7143802643,10000,0
367330.77243995667,20000,0
367331.77243995667,30000,0
367335.77243995667,20000,10000
367339.77243995667,20000,0
368080.83049964905,10000,10000
368084.83049964905,10000,0
368825.88855934143,0,10000
368829.88855934143,0,0
369565.9466190338,10000,0
370311.0046787262,0,10000
370314.9301729202,0,0
370316.0046787262,10000,0
371061.0627384186,0,10000
371061.0627384186,10000,10000
371065.9882326126,10000,0
371801.12079811096,20000,0
371806.12079811096,10000,10000
371810.12079811096,10000,0
372546.17885780334,20000,0
372547.17885780334,30000,0
372551.17885780334,20000,10000
372555.17885780334,20000,0
373291.2369174957,30000,0
373296.2369174957,20000,10000
373300.2369174957,20000,0
374036.2949771881,30000,0
374041.2949771881,20000,10000
374045.2949771881,20000,0
374781.3530368805,30000,0
374786.3530368805,20000,10000
374790.3530368805,20000,0
375526.4110965729,30000,0
375531.4110965729,20000,10000
375535.4110965729,20000,0
376271.46915626526,30000,0
376276.46915626526,20000,10000
376280.46915626526,20000,0
377016.52721595764,30000,0
377017.52721595764,40000,0
377021.52721595764,30000,10000
377025.52721595764,30000,0
377761.58527565,40000,0
377766.58527565,30000,10000
377770.58527565,30000,0
378506.6433353424,40000,0
378511.6433353424,30000,10000
378515.6433353424,30000,0
379251.7013950348,40000,0
379256.7013950348,30000,10000
379260.7013950348,30000,0
379996.7594547272,40000,0
380001.7594547272,30000,10000
380005.7594547272,30000,0
380746.81751441956,20000,10000
380750.81751441956,20000,0
381491.87557411194,10000,10000
381495.87557411194,10000,0
382236.9336338043,0,10000
382240.9336338043,0,0
