Time,from_ingress_queue_size,to_ingress_queue_size
955.6743164062499,1,nan
963.1248970031737,0,nan
964.1248970031737,0,1
965.1248970031737,0,0
1435.5114746093748,1,0
1442.9620552062986,0,0
1443.9620552062986,0,1
1444.9620552062986,0,0
1912.3486328124998,1,0
1919.7992134094236,0,0
1920.7992134094236,0,1
1922.7992134094236,0,0
2389.1857910156245,1,0
2396.6363716125484,0,0
2397.6363716125484,0,1
2398.6363716125484,0,0
2866.0229492187495,1,0
2873.4735298156734,0,0
2874.4735298156734,0,1
2877.4735298156734,0,0
3342.8601074218745,1,0
3350.3106880187984,0,0
3351.3106880187984,0,1
3352.3106880187984,0,0
3819.6972656249995,1,0
3827.1478462219234,0,0
3828.1478462219234,0,1
3831.1478462219234,0,0
4296.534423828124,1,0
4303.985004425048,0,0
4304.985004425048,0,1
4305.985004425048,0,0
4773.371582031249,1,0
4780.822162628173,0,0
4781.822162628173,0,1
4784.822162628173,0,0
5250.208740234374,1,0
5257.659320831298,0,0
5258.659320831298,0,1
5259.659320831298,0,0
5727.045898437499,1,0
5734.496479034423,0,0
5735.496479034423,0,1
5738.496479034423,0,0
6203.883056640624,1,0
6211.333637237548,0,0
6212.333637237548,0,1
6213.333637237548,0,0
6680.720214843749,1,0
6688.170795440673,0,0
6689.170795440673,0,1
6692.170795440673,0,0
7157.557373046874,1,0
7165.007953643798,0,0
7166.007953643798,0,1
7167.007953643798,0,0
7634.394531249999,1,0
7641.845111846923,0,0
7642.845111846923,0,1
7645.845111846923,0,0
8111.231689453124,1,0
8118.682270050048,0,0
8119.682270050048,0,1
8120.682270050048,0,0
8588.068847656248,1,0
8595.519428253172,0,0
8596.519428253172,0,1
8599.519428253172,0,0
9064.906005859373,1,0
9072.356586456297,0,0
9073.356586456297,0,1
9074.356586456297,0,0
9541.743164062498,1,0
9549.193744659422,0,0
9550.193744659422,0,1
9553.193744659422,0,0
10018.580322265623,1,0
10026.030902862547,0,0
10027.030902862547,0,1
10028.030902862547,0,0
10495.417480468748,1,0
10502.868061065672,0,0
10503.868061065672,0,1
10506.868061065672,0,0
10972.254638671873,1,0
10979.705219268797,0,0
10980.705219268797,0,1
10981.705219268797,0,0
11449.091796874998,1,0
11456.542377471922,0,0
11457.542377471922,0,1
11460.542377471922,0,0
11925.928955078123,1,0
11933.379535675047,0,0
11934.379535675047,0,1
11935.379535675047,0,0
12402.766113281248,1,0
12410.216693878172,0,0
12411.216693878172,0,1
12414.216693878172,0,0
12879.603271484373,1,0
12887.053852081297,0,0
12888.053852081297,0,1
12889.053852081297,0,0
13356.440429687498,1,0
13363.891010284422,0,0
13364.891010284422,0,1
