Time,from_ingress_queue_size,to_ingress_queue_size
624,10000,nan
1369.0580596923828,0,10000
1369.0580596923828,0,0
2624,10000,0
3369.058059692383,0,10000
3369.058059692383,0,0
4489.497369766235,10000,0
4490.497369766235,20000,0
5234.555429458618,10000,10000
5236.480923652649,10000,0
5979.613489151001,0,10000
5980.613489151001,0,0
12220.492109298706,10000,0
12221.492109298706,20000,0
12687.136026382446,30000,0
12965.550168991089,20000,10000
12969.550168991089,20000,0
13710.608228683472,10000,10000
13711.608228683472,10000,0
14455.666288375854,0,10000
14455.666288375854,0,0
14921.310205459595,10000,0
15666.368265151978,0,10000
15670.293759346008,0,0
29079.413339614868,10000,0
29823.47139930725,20000,0
29824.47139930725,10000,10000
29824.47139930725,20000,10000
29825.47139930725,20000,0
30569.529458999634,10000,10000
30570.529458999634,10000,0
31314.587518692017,0,10000
31315.587518692017,0,0
39507.22617530823,10000,0
40252.28423500061,0,10000
40254.28423500061,10000,10000
40256.20972919464,10000,0
40998.34229469299,20000,0
40999.34229469299,10000,10000
40999.34229469299,20000,10000
41000.34229469299,20000,0
41744.400354385376,10000,10000
41745.400354385376,10000,0
42489.45841407776,0,10000
42490.38390827179,0,0
49192.980951309204,10000,0
49938.03901100159,0,10000
49940.03901100159,10000,10000
49941.96450519562,10000,0
50684.09707069397,20000,0
50685.09707069397,10000,10000
50686.09707069397,10000,0
51429.15513038635,20000,0
51430.15513038635,10000,10000
51431.15513038635,10000,0
52175.213190078735,0,10000
52176.213190078735,0,0
61860.96796607971,10000,0
61861.96796607971,20000,0
62606.026025772095,10000,10000
62607.951519966125,10000,0
63351.08408546448,0,10000
63352.08408546448,0,0
64095.14214515686,10000,0
64840.20020484924,0,10000
64844.125699043274,0,0
76017.07110023499,10000,0
76762.12915992737,0,10000
76762.12915992737,10000,10000
76764.0546541214,10000,0
77506.18721961975,20000,0
77507.18721961975,10000,10000
77508.18721961975,10000,0
78252.24527931213,0,10000
78253.24527931213,0,0
90918.23229408264,10000,0
90919.23229408264,20000,0
91663.29035377502,10000,10000
91663.29035377502,20000,10000
91665.21584796906,20000,0
92407.3484134674,30000,0
92408.3484134674,20000,10000
92409.3484134674,20000,0
93153.40647315979,10000,10000
93154.40647315979,10000,0
93898.46453285217,0,10000
93899.3900270462,0,0
105819.3934879303,10000,0
106564.45154762268,0,10000
106564.45154762268,10000,10000
106565.45154762268,20000,10000
106566.37704181671,20000,0
107308.50960731506,30000,0
107309.50960731506,20000,10000
107310.50960731506,20000,0
108053.56766700745,30000,0
108054.56766700745,20000,10000
108055.56766700745,20000,0
108799.62572669983,10000,10000
108800.62572669983,10000,0
109544.68378639221,0,10000
109545.60928058624,0,0
119231.43856239319,10000,0
119232.43856239319,20000,0
119976.49662208557,10000,10000
119976.49662208557,20000,10000
119978.4221162796,20000,0
120721.55468177795,10000,10000
120722.55468177795,10000,0
121466.61274147034,0,10000
121472.53823566437,0,0
129661.25139808655,10000,0
130406.30945777893,0,10000
130406.30945777893,10000,10000
130408.23495197296,10000,0
131151.3675174713,0,10000
131152.3675174713,0,0
131895.4255771637,10000,0
131896.4255771637,20000,0
132640.48363685608,10000,10000
132641.48363685608,10000,0
133385.54169654846,0,10000
133387.4671907425,0,0
143072.29647254944,10000,0
143817.35453224182,0,10000
143818.35453224182,10000,10000
143820.28002643585,10000,0
144563.4125919342,0,10000
144564.4125919342,0,0
145306.4706516266,10000,0
146051.52871131897,0,10000
146052.52871131897,0,0
157973.4576663971,10000,0
157974.4576663971,20000,0
158718.51572608948,10000,10000
158721.4412202835,10000,0
159462.57378578186,20000,0
159463.57378578186,10000,10000
159464.57378578186,10000,0
160208.63184547424,0,10000
160209.63184547424,0,0
172130.56080055237,10000,0
172874.61886024475,20000,0
172875.61886024475,10000,10000
172876.61886024475,10000,0
173620.67691993713,0,10000
173621.67691993713,0,0
186283.66393470764,10000,0
187028.72199440002,0,10000
187032.64748859406,0,0
199694.70900917053,10000,0
199695.70900917053,20000,0
200439.76706886292,10000,10000
200443.69256305695,10000,0
201184.8251285553,0,10000
201187.75062274933,0,0
212360.69602394104,10000,0
213105.75408363342,0,10000
213105.75408363342,10000,10000
213107.67957782745,10000,0
213850.8121433258,0,10000
213853.73763751984,0,0
227261.8572177887,10000,0
227262.8572177887,20000,0
228006.91527748108,10000,10000
228006.91527748108,20000,10000
228008.8407716751,20000,0
228751.97333717346,10000,10000
228754.8988313675,10000,0
229497.03139686584,0,10000
229499.95689105988,0,0
240672.9022922516,10000,0
241417.96035194397,0,10000
241420.96035194397,10000,10000
241421.96035194397,20000,10000
241422.885846138,20000,0
242164.01841163635,30000,0
242166.01841163635,20000,10000
242167.01841163635,20000,0
242911.07647132874,10000,10000
242912.07647132874,10000,0
243656.13453102112,0,10000
243662.06002521515,0,0
254827.00542640686,10000,0
