Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.0639, 19.4796, 382482

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.149, 19.5621, 380868

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.0847, 20.4706, 363966

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.342, 385203

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.0741, 21.4311, 347652
