Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 262144, 262144, 45.2245, 26.1841, 74592
conn_1--3, 262144, 262144, 31.5066, 30.328, 64400
conn_1--4, 262144, 262144, 31.315, 31.0296, 62944
conn_2--1, 262144, 262144, 33.7878, 29.8606, 65408
conn_2--3, 262144, 262144, 35.4291, 29.016, 67312
conn_2--4, 262144, 262144, 33.0014, 28.1268, 69440
conn_3--1, 262144, 262144, 31.8666, 30.3809, 64288
conn_3--2, 262144, 262144, 30.9381, 28.4017, 68768
conn_3--4, 262144, 262144, 30.7186, 30.2754, 64512
conn_4--1, 262144, 262144, 37.9264, 29.016, 67312
conn_4--2, 262144, 262144, 34.3742, 28.2178, 69216
conn_4--3, 262144, 262144, 30.7371, 30.1185, 64848
