Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9223, 19.342, 385202

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.4415, 21.7879, 341960

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.6627, 22.0026, 338623

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2081, 19.6196, 379753

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.312, 19.5308, 381479
