Time,from_ingress_queue_size,to_ingress_queue_size
1935.19,1,nan
1935.27,0,0
5659.48,1,0
5659.56,0,0
8642.71,1,0
8642.79,0,0
15348.7,1,0
15348.7,0,0
16839.4,1,0
16839.4,0,0
17584.4,1,0
17584.5,0,0
19819.6,1,0
19819.7,0,0
20564.6,1,0
20564.7,0,0
28758.3,1,0
28758.4,0,0
32481.6,1,0
32481.6,0,0
33227.6,1,0
33227.7,0,0
40677.2,1,0
40677.3,0,0
41422.3,1,0
41422.3,0,0
51853.1,1,0
51853.2,0,0
52599.1,1,0
52599.2,0,0
54087.3,1,0
54087.3,0,0
64519.1,1,0
64519.1,0,0
65264.1,1,0
65264.2,0,0
66753.2,1,0
66753.3,0,0
68248.4,1,0
68248.4,0,0
79421.2,1,0
79421.3,0,0
80909.3,1,0
80909.4,0,0
82404.5,1,0
82404.5,0,0
84639.6,1,0
84639.7,0,0
85384.7,1,0
85384.8,0,0
92832.3,1,0
92832.3,0,0
95067.4,1,0
95067.5,0,0
95814.5,1,0
95814.6,0,0
103262,1,0
103262,0,0
105498,1,0
105498,0,0
106245,1,0
106245,0,0
106990,1,0
106990,0,0
115184,1,0
115184,0,0
117419,1,0
117419,0,0
118907,1,0
118907,0,0
119656,1,0
119656,0,0
121147,1,0
121148,0,0
130085,1,0
130085,0,0
133068,1,0
133068,0,0
136048,1,0
136048,0,0
143496,1,0
143496,0,0
146479,1,0
146480,0,0
150205,1,0
150205,0,0
156907,1,0
156907,0,0
158397,1,0
158397,0,0
159142,1,0
159143,0,0
161380,1,0
161380,0,0
168828,1,0
168828,0,0
169573,1,0
169573,0,0
171810,1,0
171811,0,0
179259,1,0
179259,0,0
180747,1,0
180747,0,0
182986,1,0
182986,0,0
184472,1,0
184472,0,0
193415,1,0
193415,0,0
194903,1,0
194903,0,0
197887,1,0
197888,0,0
199374,1,0
199374,0,0
200123,1,0
200123,0,0
209809,1,0
209809,0,0
211295,1,0
211295,0,0
214280,1,0
214280,0,0
215770,1,0
215770,0,0
216514,1,0
216514,0,0
224708,1,0
224708,0,0
225452,1,0
225452,0,0
228433,1,0
228433,0,0
229180,1,0
229180,0,0
235882,1,0
235882,0,0
236627,1,0
236628,0,0
239609,1,0
239609,0,0
241102,1,0
241102,0,0
248549,1,0
248549,0,0
249293,1,0
249294,0,0
250788,1,0
250788,0,0
252273,1,0
252273,0,0
262705,1,0
262705,0,0
263450,1,0
263450,0,0
264194,1,0
264194,0,0
274626,1,0
274627,0,0
275371,1,0
275372,0,0
286546,1,0
286546,0,0
287292,1,0
287293,0,0
300706,1,0
300707,0,0
301452,1,0
301452,0,0
302937,1,0
302937,0,0
312623,1,0
312623,0,0
313368,1,0
313369,0,0
314113,1,0
314113,0,0
314863,1,0
314863,0,0
325289,1,0
325289,0,0
326034,1,0
326035,0,0
327524,1,0
327524,0,0
339449,1,0
339450,0,0
340195,1,0
340195,0,0
341680,1,0
341680,0,0
351366,1,0
351366,0,0
352111,1,0
352112,0,0
353601,1,0
353601,0,0
354346,1,0
354346,0,0
362542,1,0
362542,0,0
363287,1,0
363287,0,0
364032,1,0
364032,0,0
364781,1,0
364782,0,0
