Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
751.058,0,0
4473.5,10000,0
4474.5,20000,0
5218.56,10000,0
5963.61,0,10000
5965.54,0,0
10433,10000,0
10434,20000,0
11178,10000,0
11923.1,0,0
12667.1,10000,0
12668.1,20000,0
13412.2,10000,10000
13413.1,10000,0
14157.3,0,10000
14161.2,0,0
21608.8,10000,0
21609.8,20000,0
22353.9,10000,0
22632.5,20000,0
23098.9,10000,0
23844,0,0
26828.2,10000,0
27573.3,0,10000
27574.2,0,0
35023.9,10000,0
35768.9,0,0
36513,10000,0
37258.1,0,10000
37260,0,0
39494.2,10000,0
39495.2,20000,0
40239.3,10000,0
40984.3,0,10000
40988.3,0,0
49925,10000,0
49926,20000,0
50670.1,10000,0
51415.2,0,0
52155.2,10000,0
52900.3,0,10000
52904.2,0,0
61096.9,10000,0
61842,0,10000
61842.9,0,0
62590,10000,0
63335.1,0,10000
63337,0,0
64821.2,10000,0
64822.2,20000,0
65566.3,10000,10000
65572.2,10000,0
66311.3,0,10000
66316.2,0,0
73016.8,10000,0
73761.9,0,10000
73762.8,0,0
74511,10000,0
75256,0,10000
75257.9,0,0
84192.7,10000,0
84193.7,20000,0
84937.8,10000,10000
84938.7,10000,0
85682.8,10000,10000
85683.8,10000,0
86427.9,0,10000
86432.8,0,0
95369.6,10000,0
96114.6,0,0
96858.7,10000,0
97603.8,10000,10000
97604.7,10000,0
97604.8,20000,0
98348.8,10000,10000
98353.7,10000,0
99093.9,0,10000
99098.8,0,0
108036,10000,0
108781,0,0
110275,10000,0
111015,20000,0
111020,10000,10000
111025,10000,0
111764,20000,0
111765,20000,0
112510,10000,0
113255,0,10000
113261,0,0
120702,10000,0
121447,0,10000
121448,0,0
123681,10000,0
124426,10000,10000
124427,10000,0
125171,10000,10000
125172,10000,0
125916,0,10000
125921,0,0
126665,10000,0
127410,0,0
137842,10000,0
138582,20000,0
138587,10000,0
139332,0,0
140076,10000,0
140821,0,10000
140823,0,0
149013,10000,0
149758,10000,10000
149759,10000,0
150503,0,10000
150507,10000,10000
150508,10000,0
150508,20000,0
151252,10000,10000
151253,10000,0
151997,0,10000
151998,0,0
159444,10000,0
160189,10000,10000
160190,10000,0
160934,10000,10000
160935,10000,0
161679,0,10000
161683,10000,10000
161684,10000,0
161684,20000,0
162428,10000,10000
162429,10000,0
163173,0,10000
163174,0,0
172855,10000,0
173600,0,10000
173601,0,0
174345,10000,0
175090,0,10000
175091,0,0
176585,10000,0
177330,0,10000
177331,0,0
189246,10000,0
189991,0,10000
189992,0,0
192226,10000,0
192971,0,10000
192972,0,0
203407,10000,0
204152,0,0
206382,10000,0
207127,0,10000
207133,0,0
216814,10000,0
216815,20000,0
217559,10000,0
218304,0,10000
218308,0,0
219052,10000,0
219797,0,0
228735,10000,0
229480,0,0
230228,10000,0
230229,20000,0
230973,10000,10000
230975,10000,0
231718,10000,10000
231719,10000,0
232463,0,0
243636,10000,0
244381,0,0
245875,10000,0
246615,20000,0
246620,10000,10000
246625,10000,0
247365,0,0
248109,10000,0
248110,20000,0
248855,10000,0
249600,0,10000
249601,0,0
265987,10000,0
266732,0,10000
266738,0,0
267481,10000,0
268226,0,0
268971,10000,0
269716,0,10000
269718,0,0
277164,10000,0
277909,0,0
278653,10000,0
278654,20000,0
279398,10000,10000
279399,10000,0
280143,0,10000
280147,10000,10000
280148,10000,0
280892,0,10000
280893,0,0
286104,10000,0
286850,0,0
288344,10000,0
289089,0,10000
289094,0,0
289833,10000,0
289834,20000,0
290578,10000,10000
290579,20000,10000
290580,20000,0
291323,10000,10000
291324,10000,0
292068,0,10000
292069,0,0
298025,10000,0
298770,0,0
301005,10000,0
301750,0,10000
301751,0,0
303242,10000,0
303987,10000,10000
303988,10000,0
304732,10000,10000
304733,10000,0
304733,20000,0
305477,10000,10000
305480,10000,0
306222,0,10000
306225,0,0
310691,10000,0
311436,0,0
313671,10000,0
314416,0,10000
314417,0,0
316653,10000,0
317398,0,10000
317399,0,0
318145,10000,0
318888,20000,0
318890,10000,0
319635,10000,10000
319636,10000,0
319636,20000,0
320380,10000,10000
320381,10000,0
321125,0,10000
321126,0,0
324847,10000,0
325593,0,10000
325593,0,0
327832,10000,0
328577,0,10000
328578,0,0
333792,10000,0
334537,10000,10000
334538,10000,0
335282,0,0
