Time,from_ingress_queue_size,to_ingress_queue_size
3052.5,1,nan
3053.25,0,0
6107.01,1,0
6107.75,0,1
6109.01,1,1
6109.75,0,1
6112.75,0,0
7635.63,1,0
7636.37,0,1
7638.37,0,0
9167.25,1,0
9168,0,1
9170,0,0
10694.1,1,0
10694.9,0,1
10696.9,0,0
12216,1,0
12216.8,0,1
12218.8,0,0
12219,1,0
12219.8,0,1
12221.8,0,0
13745.9,1,0
13746.6,0,1
13748.6,0,0
15267.8,1,0
15268.5,0,1
15270.5,0,0
15270.8,1,0
15271.5,0,1
15273.5,0,0
16797.6,1,0
16798.4,0,1
16800.4,0,0
18323.5,1,0
18324.3,0,1
18325.5,1,1
18326.3,0,1
18329.3,0,0
19848.4,1,0
19849.2,0,1
19851.2,0,0
21375.3,1,0
21376,0,1
21377.3,1,1
21378,0,1
21381,0,0
22900.2,1,0
22900.9,0,1
22902.9,0,0
24427,1,0
24427.8,0,1
24429,1,1
24429.8,0,1
24432.8,0,0
25951.9,1,0
25952.7,0,1
25954.7,0,0
27478.8,1,0
27479.5,0,1
27480.8,1,1
27481.5,0,1
27484.5,0,0
29003.7,1,0
29004.4,0,1
29006.4,0,0
30530.6,1,0
30531.3,0,1
30532.6,1,1
30533.3,0,1
30536.3,0,0
32055.4,1,0
32056.2,0,1
32058.2,0,0
33582.3,1,0
33583.1,0,1
33584.3,1,1
33585.1,0,1
33588.1,0,0
35107.2,1,0
35107.9,0,1
35109.9,0,0
36634.1,1,0
36634.8,0,1
36636.1,1,1
36636.8,0,1
36639.8,0,0
38159,1,0
38159.7,0,1
38161.7,0,0
39685.8,1,0
39686.6,0,1
39687.8,1,1
39688.6,0,1
39691.6,0,0
41210.7,1,0
41211.5,0,1
41213.5,0,0
42737.6,1,0
42738.3,0,1
42739.6,1,1
42740.3,0,1
42743.3,0,0
44262.5,1,0
44263.2,0,1
44265.2,0,0
45789.3,1,0
45790.1,0,1
45791.3,1,1
45792.1,0,1
45795.1,0,0
47314.2,1,0
47315,0,1
47317,0,0
48841.1,1,0
48841.9,0,1
48843.1,1,1
48843.9,0,1
48846.9,0,0
50366,1,0
50366.7,0,1
50368.7,0,0
51892.9,1,0
51893.6,0,1
51894.9,1,1
51895.6,0,1
51898.6,0,0
53417.7,1,0
53418.5,0,1
53420.5,0,0
54944.6,1,0
54945.4,0,1
54946.6,1,1
54947.4,0,1
54950.4,0,0
56469.5,1,0
56470.2,0,1
56472.2,0,0
57996.4,1,0
57997.1,0,1
57998.4,1,1
57999.1,0,1
58002.1,0,0
59521.3,1,0
59522,0,1
59524,0,0
61048.1,1,0
61048.9,0,1
61050.1,1,1
61050.9,0,1
61053.9,0,0
62573,1,0
62573.8,0,1
62575.8,0,0
64099.9,1,0
64100.6,0,1
64101.9,1,1
64102.6,0,1
64105.6,0,0
65624.8,1,0
65625.5,0,1
65627.5,0,0
67151.7,1,0
67152.4,0,1
67153.7,1,1
67154.4,0,1
67157.4,0,0
68676.5,1,0
68677.3,0,1
68679.3,0,0
70203.4,1,0
70204.2,0,1
70205.4,1,1
70206.2,0,1
70209.2,0,0
71728.3,1,0
71729,0,1
71731,0,0
73255.2,1,0
73255.9,0,1
73257.2,1,1
73257.9,0,1
73260.9,0,0
74780,1,0
74780.8,0,1
74782.8,0,0
76306.9,1,0
76307.7,0,1
76308.9,1,1
76309.7,0,1
76312.7,0,0
77831.8,1,0
77832.5,0,1
77834.5,0,0
79358.7,1,0
79359.4,0,1
79360.7,1,1
79361.4,0,1
79364.4,0,0
80883.6,1,0
80884.3,0,1
80886.3,0,0
82410.4,1,0
82411.2,0,1
82412.4,1,1
82413.2,0,1
82416.2,0,0
83935.3,1,0
83936.1,0,1
83938.1,0,0
85462.2,1,0
85462.9,0,1
85464.2,1,1
85464.9,0,1
85467.9,0,0
86987.1,1,0
86987.8,0,1
86989.8,0,0
88514,1,0
88514.7,0,1
88516,1,1
88516.7,0,1
88519.7,0,0
90038.8,1,0
90039.6,0,1
90041.6,0,0
91565.7,1,0
91566.5,0,1
91567.7,1,1
91568.5,0,1
91571.5,0,0
93090.6,1,0
93091.3,0,1
93093.3,0,0
94617.5,1,0
94618.2,0,1
94619.5,1,1
94620.2,0,1
94623.2,0,0
96142.4,1,0
96143.1,0,1
96145.1,0,0
97669.2,1,0
97670,0,1
97671.2,1,1
97672,0,1
97675,0,0
99194.1,1,0
99194.9,0,1
99196.9,0,0
100721,1,0
100722,0,1
100723,1,1
100724,0,1
100727,0,0
102246,1,0
102247,0,1
102249,0,0
103773,1,0
103773,0,1
103775,1,1
103775,0,1
103778,0,0
105298,1,0
105298,0,1
105300,0,0
106825,1,0
106825,0,1
106827,1,1
106827,0,1
106830,0,0
108349,1,0
108350,0,1
108352,0,0
109876,1,0
109877,0,1
109878,1,1
109879,0,1
109882,0,0
111401,1,0
111402,0,1
111404,0,0
112928,1,0
112929,0,1
112930,1,1
112931,0,1
112934,0,0
114453,1,0
114454,0,1
114456,0,0
115980,1,0
115981,0,1
115982,1,1
115983,0,1
115986,0,0
117505,1,0
117505,0,1
117507,0,0
119032,1,0
119032,0,1
119034,1,1
119034,0,1
119037,0,0
120556,1,0
120557,0,1
120559,0,0
122083,1,0
122084,0,1
122085,1,1
122086,0,1
122089,0,0
123608,1,0
123609,0,1
123611,0,0
125135,1,0
125136,0,1
125137,1,1
125138,0,1
125141,0,0
126660,1,0
126661,0,1
126663,0,0
128187,1,0
128188,0,1
128189,1,1
128190,0,1
128193,0,0
129712,1,0
129712,0,1
129714,0,0
131239,1,0
131239,0,1
131241,1,1
131241,0,1
131244,0,0
132763,1,0
132764,0,1
132766,0,0
134290,1,0
134291,0,1
134292,1,1
134293,0,1
134296,0,0
135815,1,0
135816,0,1
135818,0,0
137342,1,0
137343,0,1
137344,1,1
137345,0,1
137348,0,0
138867,1,0
138868,0,1
138870,0,0
140394,1,0
140395,0,1
140396,1,1
140397,0,1
140400,0,0
141919,1,0
141919,0,1
141921,0,0
143446,1,0
143446,0,1
143448,1,1
143448,0,1
143451,0,0
144970,1,0
144971,0,1
144973,0,0
146497,1,0
146498,0,1
146499,1,1
146500,0,1
146503,0,0
148022,1,0
148023,0,1
148025,0,0
149549,1,0
149550,0,1
149551,1,1
149552,0,1
149555,0,0
151074,1,0
151075,0,1
151077,0,0
152601,1,0
152602,0,1
152603,1,1
152604,0,1
152607,0,0
154126,1,0
154126,0,1
154128,0,0
155653,1,0
155653,0,1
155655,1,1
155655,0,1
155658,0,0
157178,1,0
157178,0,1
157180,0,0
158704,1,0
158705,0,1
158706,1,1
158707,0,1
158710,0,0
160229,1,0
160230,0,1
160232,0,0
161756,1,0
161757,0,1
161758,1,1
161759,0,1
161762,0,0
163281,1,0
163282,0,1
163284,0,0
164808,1,0
164809,0,1
164810,1,1
164811,0,1
164814,0,0
166333,1,0
166334,0,1
166336,0,0
167860,1,0
167860,0,1
167862,1,1
167862,0,1
167865,0,0
169385,1,0
169385,0,1
169387,0,0
170911,1,0
170912,0,1
170913,1,1
170914,0,1
170917,0,0
172436,1,0
172437,0,1
172439,0,0
173963,1,0
173964,0,1
173965,1,1
173966,0,1
173969,0,0
175488,1,0
175489,0,1
175491,0,0
177015,1,0
177016,0,1
177017,1,1
177018,0,1
177021,0,0
178540,1,0
178541,0,1
178543,0,0
180067,1,0
180067,0,1
180069,1,1
180069,0,1
180072,0,0
181592,1,0
181592,0,1
181594,0,0
183118,1,0
183119,0,1
183120,1,1
183121,0,1
183124,0,0
184643,1,0
184644,0,1
184646,0,0
186170,1,0
186171,0,1
186172,1,1
186173,0,1
186176,0,0
187695,1,0
187696,0,1
187698,0,0
189222,1,0
189223,0,1
189224,1,1
189225,0,1
189228,0,0
190747,1,0
190748,0,1
190750,0,0
192274,1,0
192274,0,1
192276,1,1
192276,0,1
192279,0,0
193799,1,0
193799,0,1
193801,0,0
195325,1,0
195326,0,1
195327,1,1
195328,0,1
195331,0,0
196850,1,0
196851,0,1
196853,0,0
198377,1,0
198378,0,1
198379,1,1
198380,0,1
198383,0,0
199902,1,0
199903,0,1
199905,0,0
201429,1,0
201430,0,1
201431,1,1
201432,0,1
201435,0,0
202954,1,0
202955,0,1
202957,0,0
204481,1,0
204481,0,1
204483,1,1
204483,0,1
204486,0,0
206006,1,0
206006,0,1
206008,0,0
207533,1,0
207533,0,1
207535,1,1
207535,0,1
207538,0,0
209057,1,0
209058,0,1
209060,0,0
210584,1,0
210585,0,1
210586,1,1
210587,0,1
210590,0,0
212109,1,0
212110,0,1
212112,0,0
213636,1,0
213637,0,1
213639,0,0
213645,1,0
213645,0,1
213647,0,0
215161,1,0
215162,0,1
215164,0,0
216688,1,0
216689,0,1
216691,0,0
216696,1,0
216697,0,1
216699,0,0
218213,1,0
218213,0,1
218215,0,0
219740,1,0
219740,0,1
219742,0,0
219754,1,0
219754,0,1
219756,0,0
221264,1,0
221265,0,1
221267,0,0
222791,1,0
222792,0,1
222794,0,0
222805,1,0
222806,0,1
222808,0,0
224316,1,0
224317,0,1
224319,0,0
225843,1,0
225844,0,1
225846,0,0
225863,1,0
225863,0,1
225865,0,0
227368,1,0
227369,0,1
227371,0,0
228895,1,0
228896,0,1
228898,0,0
228914,1,0
228915,0,1
228917,0,0
230420,1,0
230420,0,1
230422,0,0
231947,1,0
231947,0,1
231949,0,0
231972,1,0
231972,0,1
231974,0,0
233471,1,0
233472,0,1
233474,0,0
234998,1,0
234999,0,1
235001,0,0
235023,1,0
235024,0,1
235026,0,0
236523,1,0
236524,0,1
236526,0,0
238050,1,0
238051,0,1
238053,0,0
238075,1,0
238076,0,1
238078,0,0
239575,1,0
239576,0,1
239578,0,0
241102,1,0
241103,0,1
241105,0,0
241132,1,0
241133,0,1
241135,0,0
242627,1,0
242627,0,1
242629,0,0
244154,1,0
244154,0,1
244156,0,0
244184,1,0
244185,0,1
244187,0,0
245678,1,0
245679,0,1
245681,0,0
247205,1,0
247206,0,1
247208,0,0
247241,1,0
247242,0,1
247244,0,0
248730,1,0
248731,0,1
248733,0,0
250257,1,0
250258,0,1
250260,0,0
250293,1,0
250294,0,1
250296,0,0
251782,1,0
251783,0,1
251785,0,0
253309,1,0
253310,0,1
253312,0,0
253345,1,0
253346,0,1
253348,0,0
254834,1,0
254835,0,1
254837,0,0
256361,1,0
256361,0,1
256363,0,0
256397,1,0
256397,0,1
256399,0,0
257886,1,0
257886,0,1
257888,0,0
259412,1,0
259413,0,1
259415,0,0
259448,1,0
259449,0,1
259451,0,0
260937,1,0
260938,0,1
260940,0,0
262464,1,0
262465,0,1
262467,0,0
262500,1,0
262501,0,1
262503,0,0
263989,1,0
263990,0,1
263992,0,0
265516,1,0
265517,0,1
265519,0,0
265552,1,0
265553,0,1
265555,0,0
267041,1,0
267042,0,1
267044,0,0
268568,1,0
268568,0,1
268570,0,0
268604,1,0
268604,0,1
268606,0,0
270093,1,0
270093,0,1
270095,0,0
271619,1,0
271620,0,1
271622,0,0
271655,1,0
271656,0,1
271658,0,0
273144,1,0
273145,0,1
273147,0,0
274671,1,0
274672,0,1
