Time,from_ingress_queue_size,to_ingress_queue_size
1525.88,2048,nan
3051.76,0,0
4579.13,2048,0
6105.01,0,2048
6106.01,2048,2048
6106.52,2048,0
7631.88,0,2048
7633.88,0,0
7638.63,2048,0
9164.51,0,2048
9165.51,2048,2048
9166.51,2048,0
10690.4,4096,0
10691.4,2048,2048
10693.4,2048,0
12217,4096,0
12217.3,2048,2048
12218.3,2048,0
13742.1,4096,0
13743.1,2048,2048
13745.1,2048,0
15268.8,4096,0
15269,2048,2048
15270,2048,0
16793.9,4096,0
16794.9,2048,2048
16796.9,2048,0
18319.8,4096,0
18320.8,2048,2048
18322.8,2048,0
19845.7,4096,0
19846.7,2048,2048
19847.7,2048,0
21371.5,4096,0
21372.5,2048,2048
21374.5,2048,0
22897.4,4096,0
22898.4,2048,2048
22899.4,2048,0
24423.3,4096,0
24424.3,2048,2048
24426.3,2048,0
25949.2,4096,0
25950.2,2048,2048
25951.2,2048,0
27475.1,4096,0
27476.1,2048,2048
27478.1,2048,0
29000.9,4096,0
29001.9,2048,2048
29002.9,2048,0
30526.8,4096,0
30527.8,2048,2048
30529.8,2048,0
32052.7,4096,0
32053.7,2048,2048
32054.7,2048,0
33578.6,4096,0
33579.6,2048,2048
33581.6,2048,0
35104.5,4096,0
35105.5,2048,2048
35106.5,2048,0
36630.3,4096,0
36631.3,2048,2048
36633.3,2048,0
38156.2,4096,0
38157.2,2048,2048
38158.2,2048,0
39682.1,4096,0
39683.1,2048,2048
39685.1,2048,0
41208,4096,0
41209,2048,2048
41210,2048,0
42733.8,4096,0
42734.8,2048,2048
42736.8,2048,0
44259.7,4096,0
44260.7,2048,2048
44261.7,2048,0
45785.6,4096,0
45786.6,2048,2048
45788.6,2048,0
47311.5,4096,0
47312.5,2048,2048
47313.5,2048,0
48837.4,4096,0
48838.4,2048,2048
48840.4,2048,0
50363.2,4096,0
50364.2,2048,2048
50365.2,2048,0
51889.1,4096,0
51890.1,2048,2048
51892.1,2048,0
53415,4096,0
53416,2048,2048
53417,2048,0
54940.9,4096,0
