Time,from_ingress_queue_size,to_ingress_queue_size
4000,256,nan
4190.73,0,nan
5190.73,0,0
8573.69,256,0
8764.43,0,0
9764.43,0,0
13147.4,256,0
13338.1,0,0
14338.1,0,0
17721.1,256,0
17722.1,512,0
17911.8,256,0
18102.6,0,0
18911.8,0,0
19102.6,0,256
19104.6,0,0
22294.8,256,0
22485.5,0,0
22678.2,256,0
22869,0,0
23485.5,0,0
23869,0,256
23871,0,0
26868.5,256,0
27059.2,0,0
27255.9,256,0
27446.7,0,0
28059.2,0,0
28446.7,0,256
28448.7,0,0
31442.2,256,0
31443.2,512,0
31632.9,256,0
31823.6,0,0
31833.6,256,0
32024.4,0,0
32632.9,0,0
32823.6,0,256
32825.6,0,0
33024.4,0,256
33026.4,0,0
36015.9,256,0
36206.6,0,0
36399.3,256,0
36590.1,0,0
36780.8,256,0
36971.5,0,0
37206.6,0,0
37590.1,0,256
37592.1,0,0
37971.5,0,256
37973.5,0,0
40589.6,256,0
40780.3,0,0
40977,256,0
41167.8,0,0
41358.5,256,0
41549.2,0,0
41780.3,0,0
42167.8,0,256
42169.8,0,0
42549.2,0,256
42551.2,0,0
45163.3,256,0
45354,0,0
45554.7,256,0
45555.7,512,0
45745.5,256,0
45936.2,256,0
46126.9,0,0
46354,0,0
46745.5,0,256
46747.5,0,0
46936.2,0,256
46938.2,0,0
47126.9,0,256
47128.9,0,0
49736.9,256,0
49927.7,0,0
50132.4,256,0
50323.2,0,0
50513.9,256,0
50704.6,0,0
50895.4,256,0
50927.7,256,0
51086.1,0,0
51323.2,0,0
51704.6,0,256
51706.6,0,0
52086.1,0,256
52088.1,0,0
54310.6,256,0
54501.4,0,0
54708.1,256,0
54898.8,0,0
55091.6,256,0
55282.3,0,0
55473.1,256,0
55501.4,256,0
55663.8,0,0
55898.8,0,0
56282.3,0,256
56284.3,0,0
56663.8,0,256
56665.8,0,0
58884.3,256,0
59075.1,0,0
59283.8,256,0
59474.5,0,0
59669.3,256,0
59670.3,512,0
59860,256,0
60050.7,256,0
60075.1,256,0
60241.5,0,0
60474.5,0,0
60860,0,0
61050.7,0,256
61052.7,0,0
61241.5,0,256
61243.5,0,0
63458,256,0
63648.8,0,0
63857.5,256,0
64048.2,0,0
64245,256,0
64435.7,0,0
64626.4,256,0
64648.8,256,0
64817.2,0,0
65007.9,256,0
65048.2,256,0
65198.6,0,0
65435.7,0,0
65817.2,0,0
66198.6,0,256
66200.6,0,0
68031.7,256,0
68222.5,0,0
68431.2,256,0
68621.9,0,0
68818.7,256,0
69009.4,0,0
69202.1,256,0
69222.5,256,0
69392.9,0,0
69585.6,256,0
69621.9,256,0
69776.3,0,0
70009.4,0,0
70392.9,0,0
70776.3,0,256
70778.3,0,0
72605.4,256,0
72796.2,0,0
73004.9,256,0
73195.6,0,0
73392.4,256,0
73393.4,512,0
73583.1,256,0
73773.8,0,0
73777.8,256,0
73796.2,256,0
73968.6,0,0
74163.3,256,0
74195.6,256,0
74354,0,0
74583.1,0,0
74773.8,0,0
74968.6,0,256
74970.6,0,0
75354,0,256
75356,0,0
77179.1,256,0
77369.9,0,0
77578.6,256,0
77769.3,0,0
77966.1,256,0
78156.8,0,0
78349.5,256,0
78369.9,256,0
78540.3,0,0
78731,256,0
78769.3,256,0
78921.7,0,0
79112.5,256,0
79156.8,256,0
79303.2,0,0
79540.3,0,0
79921.7,0,0
80303.2,0,0
81753.8,256,0
81944.5,0,0
82152.3,256,0
82343,0,0
82539.7,256,0
82730.5,0,0
82923.2,256,0
82944.5,256,0
83114,0,0
83304.7,256,0
83343,256,256
83345,256,0
83495.4,0,0
83688.2,256,0
83730.5,256,0
83878.9,0,0
84114,0,0
84495.4,0,0
84878.9,0,0
86328.5,256,0
86519.2,0,0
86728,256,0
86918.7,0,0
87113.4,256,0
87304.2,0,0
87496.9,256,0
87519.2,256,0
87687.6,0,0
87878.4,256,0
87918.7,256,256
87920.7,256,0
88069.1,0,0
88263.9,256,0
88304.2,256,0
88454.6,0,0
88687.6,0,0
89069.1,0,0
89454.6,0,0
90934.1,256,0
