Time,from_ingress_queue_size,to_ingress_queue_size
1190.73,256,nan
1381.47,0,nan
2381.47,0,256
2383.47,0,0
3191.73,256,0
3382.47,0,0
4382.47,0,256
4383.47,0,0
5577.69,256,0
5768.43,0,0
6768.43,0,256
6769.43,0,0
9961.65,256,0
10152.4,0,0
11152.4,0,256
11153.4,0,0
14345.6,256,0
14536.3,0,0
14537.3,256,0
14728.1,0,0
15536.3,0,256
15537.3,0,0
15728.1,0,256
15729.1,0,0
18729.6,256,0
18920.3,0,0
18923.3,256,0
19114,0,0
19920.3,0,256
19921.3,0,0
20114,0,256
20115,0,0
23113.5,256,0
23304.3,0,0
23309.3,256,0
23500,0,0
24304.3,0,256
24305.3,0,0
24500,0,256
24501,0,0
27497.5,256,0
27688.2,0,0
27689.2,256,0
27880,256,0
28070.7,0,0
28688.2,0,256
28689.2,0,0
28880,0,256
28881,0,0
29070.7,0,256
29071.7,0,0
31881.5,256,0
32072.2,0,0
32075.2,256,0
32265.9,256,0
32456.7,0,0
33072.2,0,256
33073.2,0,0
33265.9,0,256
33266.9,0,0
33456.7,0,256
33457.7,0,0
36265.4,256,0
36456.1,0,0
36461.1,256,0
36651.9,256,0
36842.6,256,0
37033.4,0,0
37456.1,0,256
37457.1,0,0
37651.9,0,256
37652.9,0,0
37842.6,0,256
37843.6,0,0
38033.4,0,256
38034.4,0,0
40649.4,256,0
40840.1,0,0
40847.1,256,0
41037.8,256,0
41228.6,256,0
41419.3,0,0
41840.1,0,256
41841.1,0,0
42037.8,0,256
42038.8,0,0
42228.6,0,256
42229.6,0,0
42419.3,0,256
42420.3,0,0
45033.3,256,0
45224.1,0,0
45233.1,256,0
45423.8,256,0
45614.5,256,0
45805.3,0,0
46224.1,0,256
46225.1,0,0
46423.8,0,256
46424.8,0,0
46614.5,0,256
46615.5,0,0
46805.3,0,256
46806.3,0,0
49417.3,256,0
49608,0,0
49609,256,0
49799.8,256,0
49990.5,256,0
50181.2,256,0
50372,0,0
50608,0,256
50609,0,0
50799.8,0,256
50800.8,0,0
50990.5,0,256
50991.5,0,0
51181.2,0,256
51182.2,0,0
51372,0,256
51373,0,0
53801.3,256,0
53992,0,0
53995,256,0
54185.7,256,0
54376.5,256,0
54567.2,256,0
54757.9,0,0
54992,0,256
54993,0,0
55185.7,0,256
55186.7,0,0
55376.5,0,256
55377.5,0,0
55567.2,0,256
55568.2,0,0
55757.9,0,256
55758.9,0,0
58185.2,256,0
58375.9,0,0
58380.9,256,0
58571.7,256,0
58762.4,256,0
58953.2,256,0
59143.9,256,0
59334.6,0,0
59375.9,0,256
59376.9,0,0
59571.7,0,256
59572.7,0,0
59762.4,0,256
59763.4,0,0
59953.2,0,256
59954.2,0,0
60143.9,0,256
60144.9,0,0
60334.6,0,256
60335.6,0,0
62569.2,256,0
62759.9,0,0
62766.9,256,0
62957.6,256,0
63148.4,256,0
63339.1,256,0
63529.8,256,0
63720.6,0,0
63759.9,0,256
63760.9,0,0
63957.6,0,256
63958.6,0,0
64148.4,0,256
64149.4,0,0
64339.1,0,256
64340.1,0,0
64529.8,0,256
64530.8,0,0
64720.6,0,256
64721.6,0,0
66953.1,256,0
67143.9,0,0
67152.9,256,0
67343.6,256,0
67534.3,256,0
67725.1,256,0
67915.8,256,0
68106.5,0,0
68143.9,0,256
68144.9,0,0
68343.6,0,256
68344.6,0,0
68534.3,0,256
68535.3,0,0
68725.1,0,256
68726.1,0,0
68915.8,0,256
68916.8,0,0
69106.5,0,256
69107.5,0,0
71337.1,256,0
71527.8,0,0
71528.8,256,0
71719.6,256,0
71910.3,256,0
72101,256,0
72291.8,256,0
72482.5,256,0
72527.8,256,256
72528.8,256,0
72673.2,0,0
72719.6,0,256
72720.6,0,0
72910.3,0,256
72911.3,0,0
73101,0,256
73102,0,0
73291.8,0,256
73292.8,0,0
73482.5,0,256
73483.5,0,0
73673.2,0,256
73674.2,0,0
75721.1,256,0
75911.8,0,0
75914.8,256,0
76105.5,256,0
76296.3,256,0
76487,256,0
76677.7,256,0
76868.5,256,0
76911.8,256,256
76912.8,256,0
77059.2,0,0
77105.5,0,256
77106.5,0,0
77296.3,0,256
77297.3,0,0
77487,0,256
77488,0,0
77677.7,0,256
77678.7,0,0
77868.5,0,256
77869.5,0,0
78059.2,0,256
78060.2,0,0
80105,256,0
80295.7,0,0
80300.7,256,0
80491.5,256,0
80682.2,256,0
80873,256,0
81063.7,256,0
81254.4,256,0
81295.7,256,256
81296.7,256,0
81445.2,0,0
81491.5,0,256
81492.5,0,0
81682.2,0,256
81683.2,0,0
81873,0,256
81874,0,0
82063.7,0,256
82064.7,0,0
82254.4,0,256
82255.4,0,0
82445.2,0,256
82446.2,0,0
84489,256,0
84679.7,0,0
84686.7,256,0
84877.4,256,0
85068.2,256,0
85258.9,256,0
85449.6,256,0
85640.4,256,0
85679.7,256,256
85680.7,256,0
