Time,from_ingress_queue_size,to_ingress_queue_size
1909.3486328124998,1,nan
1916.7992134094236,0,nan
1917.7992134094236,0,1
1918.7992134094236,0,0
2865.0229492187495,1,0
2872.4735298156734,0,0
2873.4735298156734,0,1
2874.4735298156734,0,0
3818.6972656249995,1,0
3826.1478462219234,0,0
3827.1478462219234,0,1
3828.1478462219234,0,0
4772.371582031249,1,0
4779.822162628173,0,0
4780.822162628173,0,1
4781.822162628173,0,0
5726.045898437499,1,0
5733.496479034423,0,0
5734.496479034423,0,1
5735.496479034423,0,0
6679.720214843749,1,0
6687.170795440673,0,0
6688.170795440673,0,1
6689.170795440673,0,0
7633.394531249999,1,0
7640.845111846923,0,0
7641.845111846923,0,1
7642.845111846923,0,0
8587.068847656248,1,0
8594.519428253172,0,0
8595.519428253172,0,1
8596.519428253172,0,0
9540.743164062498,1,0
9548.193744659422,0,0
9549.193744659422,0,1
9550.193744659422,0,0
10494.417480468748,1,0
10501.868061065672,0,0
10502.868061065672,0,1
10503.868061065672,0,0
11448.091796874998,1,0
11455.542377471922,0,0
11456.542377471922,0,1
11457.542377471922,0,0
12401.766113281248,1,0
12409.216693878172,0,0
12410.216693878172,0,1
12411.216693878172,0,0
13355.440429687498,1,0
13362.891010284422,0,0
13363.891010284422,0,1
13364.891010284422,0,0
14309.114746093748,1,0
14316.565326690672,0,0
14317.565326690672,0,1
14318.565326690672,0,0
15262.789062499998,1,0
15270.239643096922,0,0
15271.239643096922,0,1
15272.239643096922,0,0
16216.463378906248,1,0
16223.913959503172,0,0
16224.913959503172,0,1
16225.913959503172,0,0
17170.137695312496,1,0
17177.58827590942,0,0
17178.58827590942,0,1
17179.58827590942,0,0
18123.812011718746,1,0
18131.26259231567,0,0
18132.26259231567,0,1
18133.26259231567,0,0
19077.486328124996,1,0
19084.93690872192,0,0
19085.93690872192,0,1
19086.93690872192,0,0
20031.160644531246,1,0
20038.61122512817,0,0
20039.61122512817,0,1
20040.61122512817,0,0
20984.834960937496,1,0
20992.28554153442,0,0
20993.28554153442,0,1
20994.28554153442,0,0
21938.509277343746,1,0
21945.95985794067,0,0
21946.95985794067,0,1
21947.95985794067,0,0
22892.183593749996,1,0
22899.63417434692,0,0
22900.63417434692,0,1
22901.63417434692,0,0
23845.857910156246,1,0
23853.30849075317,0,0
23854.30849075317,0,1
23855.30849075317,0,0
24799.532226562496,1,0
24806.98280715942,0,0
24807.98280715942,0,1
24808.98280715942,0,0
25753.206542968746,1,0
25760.65712356567,0,0
25761.65712356567,0,1
25762.65712356567,0,0
26706.880859374996,1,0
26714.33143997192,0,0
26715.33143997192,0,1
26716.33143997192,0,0
27660.555175781246,1,0
27668.00575637817,0,0
27669.00575637817,0,1
27670.00575637817,0,0
28614.229492187496,1,0
28621.68007278442,0,0
28622.68007278442,0,1
28623.68007278442,0,0
29567.903808593746,1,0
29575.35438919067,0,0
29576.35438919067,0,1
29577.35438919067,0,0
30521.578124999996,1,0
30529.02870559692,0,0
30530.02870559692,0,1
30531.02870559692,0,0
31475.252441406246,1,0
31482.70302200317,0,0
31483.70302200317,0,1
31484.70302200317,0,0
32428.926757812496,1,0
32436.37733840942,0,0
32437.37733840942,0,1
32438.37733840942,0,0
33382.60107421874,1,0
