Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
749.058,0,0
4473.5,10000,0
4474.5,20000,0
5218.56,10000,10000
5221.56,10000,0
5963.61,0,10000
5966.61,0,0
11922.1,10000,0
11923.1,20000,0
12667.1,10000,10000
12672.1,10000,0
13411.2,20000,0
13412.2,20000,10000
13416.2,20000,0
14157.3,10000,10000
14159.2,10000,0
14902.3,0,10000
14905.2,0,0
23843,10000,0
23844,20000,0
24588.1,20000,10000
24589.1,30000,10000
24593,30000,0
25333.1,20000,10000
25337.1,20000,0
26078.2,10000,10000
26082.2,10000,0
26823.2,0,10000
26827.2,0,0
40238.3,10000,0
40983.3,0,10000
40988.3,0,0
41723.4,10000,0
42468.5,0,10000
42474.4,0,0
50665.1,10000,0
51410.2,0,10000
51415.1,0,0
52154.2,10000,0
52899.3,0,10000
52905.2,0,0
61841,10000,0
62586,0,10000
62591,0,0
63330.1,10000,0
63331.1,20000,0
64075.1,10000,10000
64081.1,10000,0
64820.2,0,10000
64825.1,0,0
75252,10000,0
75997.1,0,10000
76002,0,0
76741.1,10000,0
77486.2,0,10000
77492.1,0,0
78231.2,10000,0
78232.2,20000,0
78976.3,10000,10000
78980.2,10000,0
79721.4,0,10000
79725.3,0,0
89412.1,10000,0
90157.2,0,10000
90161.2,0,0
91643.3,10000,0
92388.3,10000,10000
92393.3,10000,0
93132.4,20000,0
93133.4,10000,10000
93137.4,10000,0
93878.5,0,10000
93882.5,0,0
102819,10000,0
102820,20000,0
103564,10000,10000
103569,10000,0
104309,0,10000
104313,0,0
105053,10000,0
105798,0,10000
105799,10000,10000
105804,10000,0
106543,20000,0
106544,10000,10000
106548,10000,0
107290,0,10000
107294,0,0
114740,10000,0
115485,0,10000
115490,0,0
116229,10000,0
116230,20000,0
116974,10000,10000
116980,10000,0
117719,0,10000
117724,0,0
129645,10000,0
129646,20000,0
130390,10000,10000
130395,10000,0
131130,20000,0
131131,30000,0
131135,20000,10000
131139,20000,0
131880,10000,10000
131884,10000,0
132625,0,0
140817,10000,0
141562,0,10000
141567,0,0
142306,10000,0
143051,0,10000
143052,10000,10000
143057,10000,0
143797,0,10000
143801,0,0
144541,10000,0
145286,0,10000
145292,0,0
156463,10000,0
156464,20000,0
157208,10000,10000
157213,10000,0
157952,20000,0
157953,10000,10000
157957,10000,0
158699,0,10000
158703,0,0
170619,10000,0
170620,20000,0
171365,20000,10000
171369,20000,0
172110,10000,10000
172114,10000,0
172855,0,10000
172859,0,0
181050,10000,0
181795,10000,10000
181800,10000,0
182540,0,10000
182544,0,0
183284,10000,0
183285,20000,0
184029,10000,10000
184032,10000,0
184775,0,10000
184778,0,0
193720,10000,0
194465,10000,10000
194470,10000,0
195210,0,10000
195214,0,0
195950,10000,0
196695,0,10000
196698,0,0
207872,10000,0
207873,20000,0
208617,10000,10000
208622,10000,0
209361,20000,0
209362,10000,10000
209366,10000,0
210108,0,10000
210112,0,0
219048,10000,0
219793,0,10000
219798,0,0
220537,10000,0
221282,0,10000
221285,0,0
221286,10000,0
221287,20000,0
222031,10000,10000
222036,10000,0
222777,0,10000
222781,0,0
232459,10000,0
233204,0,10000
233209,0,0
233948,10000,0
234693,0,10000
234697,0,0
235443,10000,0
236189,0,10000
236193,0,0
250345,10000,0
250346,20000,0
251090,20000,10000
251095,20000,0
251835,10000,10000
251839,10000,0
252580,0,10000
252582,0,0
257792,10000,0
258537,10000,10000
258542,10000,0
259282,0,10000
259286,0,0
260025,10000,0
260026,20000,0
260770,10000,10000
260772,10000,0
261516,0,10000
261519,0,0
267478,10000,0
268223,10000,10000
268228,10000,0
268968,0,10000
268972,0,0
269711,10000,0
270456,0,10000
270458,0,0
270459,10000,0
270460,20000,0
271204,10000,10000
271209,10000,0
271949,0,10000
271953,0,0
279399,10000,0
280144,10000,10000
280149,10000,0
280889,0,10000
280893,0,0
281632,10000,0
282377,0,10000
282379,0,0
283127,10000,0
283872,0,10000
283875,0,0
284612,10000,0
285357,0,10000
285359,0,0
295793,10000,0
296538,0,10000
296543,0,0
298028,10000,0
298773,0,10000
298778,0,0
299513,10000,0
300259,0,10000
300260,0,0
307711,10000,0
308456,0,10000
308461,0,0
309199,10000,0
309200,20000,0
309944,10000,10000
309946,10000,0
310689,0,10000
310693,0,0
310694,10000,0
311439,0,10000
311442,0,0
318887,10000,0
319632,0,10000
319637,0,0
320375,10000,0
321120,0,10000
321122,0,0
321123,10000,0
321124,20000,0
321868,10000,10000
321869,10000,0
322613,0,10000
322614,0,0
323358,10000,0
324103,0,10000
324104,0,0
330808,10000,0
331553,0,10000
331558,0,0
332296,10000,0
333041,0,10000
333043,0,0
333044,10000,0
333789,0,10000
333794,0,0
343477,10000,0
344222,0,10000
344226,0,0
344962,10000,0
345707,0,10000
345709,0,0
353905,10000,0
354650,0,10000
354655,0,0
