Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.3415, 19.749, 377264

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2681, 19.6777, 378630

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9416, 19.3607, 384829

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 22.0802, 21.231, 350929

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.9086, 22.2414, 334987
