Time,from_ingress_queue_size,to_ingress_queue_size
0,256,nan
1,512,nan
190.73486328125,256,nan
381.4697265625,0,nan
1190.73486328125,0,256
1190.73486328125,0,0
1381.4697265625,0,256
1382.4697265625,0,0
2000,256,0
2001,512,0
2190.73486328125,256,0
2381.4697265625,0,0
3190.73486328125,0,256
3191.73486328125,0,0
3381.4697265625,0,256
3382.4697265625,0,0
4385.959842681885,256,0
4576.694705963135,0,0
4577.694705963135,256,0
4768.429569244385,0,0
5576.694705963135,0,256
5576.694705963135,0,0
5768.429569244385,0,256
5769.429569244385,0,0
8773.91968536377,256,0
8964.65454864502,0,0
8964.65454864502,256,0
9155.38941192627,0,0
9964.65454864502,0,256
9964.65454864502,0,0
10155.38941192627,0,256
10156.38941192627,0,0
13159.879528045654,256,0
13160.879528045654,512,0
13350.614391326904,256,0
13351.614391326904,512,0
13352.614391326904,768,0
13541.349254608154,512,0
13732.084117889404,256,0
13922.818981170654,0,0
14350.614391326904,0,256
14350.614391326904,0,0
14541.349254608154,0,256
14542.349254608154,0,0
14732.084117889404,0,256
14733.084117889404,0,0
14922.818981170654,0,256
14923.818981170654,0,0
17545.83937072754,256,0
17736.57423400879,0,0
17739.57423400879,256,0
17928.30909729004,512,0
17930.30909729004,256,0
18121.04396057129,0,0
18121.04396057129,256,0
18311.77882385254,0,0
18736.57423400879,0,256
18736.57423400879,0,0
18930.30909729004,0,256
18931.30909729004,0,0
19121.04396057129,0,256
19122.04396057129,0,0
19311.77882385254,0,256
19312.77882385254,0,0
21931.799213409424,256,0
22122.534076690674,0,0
22128.534076690674,256,0
22317.268939971924,512,0
22319.268939971924,256,0
22510.003803253174,0,0
22510.003803253174,256,0
22700.738666534424,0,0
23122.534076690674,0,256
23122.534076690674,0,0
23319.268939971924,0,256
23320.268939971924,0,0
23510.003803253174,0,256
23511.003803253174,0,0
23700.738666534424,0,256
23701.738666534424,0,0
26317.75905609131,256,0
26318.75905609131,512,0
26508.49391937256,256,0
26517.49391937256,512,0
26699.22878265381,256,0
26706.22878265381,512,0
26707.22878265381,768,0
26889.96364593506,512,0
26898.96364593506,768,0
27080.69850921631,512,0
27271.43337249756,256,0
27462.16823577881,0,0
27508.49391937256,0,256
27508.49391937256,0,0
27699.22878265381,0,256
27700.22878265381,0,0
27889.96364593506,0,256
27890.96364593506,0,0
28080.69850921631,0,256
28081.69850921631,0,0
28271.43337249756,0,256
28272.43337249756,0,0
28462.16823577881,0,256
28463.16823577881,0,0
30703.718898773193,256,0
30894.453762054443,0,0
30897.453762054443,256,0
31088.188625335693,0,0
31088.188625335693,256,0
31276.923488616943,512,0
31278.923488616943,256,0
31469.658351898193,0,0
31469.658351898193,256,0
31660.393215179443,0,0
31660.393215179443,256,0
31851.128078460693,0,0
31894.453762054443,0,256
31894.453762054443,0,0
32088.188625335693,0,256
32089.188625335693,0,0
32278.923488616943,0,256
32279.923488616943,0,0
32469.658351898193,0,256
32470.658351898193,0,0
32660.393215179443,0,256
32661.393215179443,0,0
32851.12807846069,0,256
32852.12807846069,0,0
35089.67874145508,256,0
35280.41360473633,0,0
35286.41360473633,256,0
35477.14846801758,0,0
35477.14846801758,256,0
35478.14846801758,512,0
35665.88333129883,768,0
35667.88333129883,512,0
35858.61819458008,256,0
35858.61819458008,512,0
36049.35305786133,256,0
36049.35305786133,512,0
36050.35305786133,768,0
36240.08792114258,512,0
36280.41360473633,512,256
36280.41360473633,512,0
36430.82278442383,256,0
36477.14846801758,256,256
36478.14846801758,256,0
36621.55764770508,0,0
36667.88333129883,0,256
36668.88333129883,0,0
36858.61819458008,0,256
36859.61819458008,0,0
37049.35305786133,0,256
37050.35305786133,0,0
37240.08792114258,0,256
37241.08792114258,0,0
37430.82278442383,0,256
37431.82278442383,0,0
37621.55764770508,0,256
37622.55764770508,0,0
39475.63858413696,256,0
39666.37344741821,0,0
39675.37344741821,256,0
39866.10831069946,0,0
39866.10831069946,256,0
40056.84317398071,0,0
40056.84317398071,256,0
40245.57803726196,512,0
40247.57803726196,256,0
40438.31290054321,0,0
40438.31290054321,256,0
40629.04776382446,0,0
40629.04776382446,256,0
40666.37344741821,256,256
40666.37344741821,256,0
40819.78262710571,0,0
40819.78262710571,256,0
40866.10831069946,256,256
40867.10831069946,256,0
41010.51749038696,0,0
41056.84317398071,0,256
41057.84317398071,0,0
41247.57803726196,0,256
41248.57803726196,0,0
41438.31290054321,0,256
41439.31290054321,0,0
41629.04776382446,0,256
41630.04776382446,0,0
41819.78262710571,0,256
41820.78262710571,0,0
42010.51749038696,0,256
42011.51749038696,0,0
43861.59842681885,256,0
44052.3332901001,0,0
44064.3332901001,256,0
44255.06815338135,0,0
44255.06815338135,256,0
44445.8030166626,0,0
44445.8030166626,256,0
44634.53787994385,512,0
44636.53787994385,256,0
44827.2727432251,0,0
44827.2727432251,256,0
45018.00760650635,0,0
45018.00760650635,256,0
45052.3332901001,256,256
45052.3332901001,256,0
45208.7424697876,0,0
45208.7424697876,256,0
45255.06815338135,256,256
45256.06815338135,256,0
45399.47733306885,0,0
45445.8030166626,0,256
45446.8030166626,0,0
45636.53787994385,0,256
45637.53787994385,0,0
45827.2727432251,0,256
45828.2727432251,0,0
46018.00760650635,0,256
46019.00760650635,0,0
46208.7424697876,0,256
46209.7424697876,0,0
46399.47733306885,0,256
46400.47733306885,0,0
48247.55826950073,256,0
48248.55826950073,512,0
48438.29313278198,256,0
48453.29313278198,512,0
48629.02799606323,256,0
48644.02799606323,512,0
48819.76285934448,256,0
48834.76285934448,512,0
49010.49772262573,256,0
49023.49772262573,512,0
49201.23258590698,256,0
49216.23258590698,512,0
49217.23258590698,768,0
49391.96744918823,512,0
49406.96744918823,768,0
49438.29313278198,768,256
49438.29313278198,768,0
49582.70231246948,512,0
49597.70231246948,768,0
49629.02799606323,768,256
49630.02799606323,768,0
49773.43717575073,512,0
49819.76285934448,512,256
49820.76285934448,512,0
49964.17203903198,256,0
50010.49772262573,256,256
50011.49772262573,256,0
50154.90690231323,0,0
50201.23258590698,0,256
50202.23258590698,0,0
50391.96744918823,0,256
50392.96744918823,0,0
50582.70231246948,0,256
50583.70231246948,0,0
50773.43717575073,0,256
50774.43717575073,0,0
50964.17203903198,0,256
50965.17203903198,0,0
51154.90690231323,0,256
51155.90690231323,0,0
52633.51811218262,256,0
52824.25297546387,0,0
52827.25297546387,256,0
53017.98783874512,0,0
53017.98783874512,256,0
53208.72270202637,0,0
53208.72270202637,256,0
53399.45756530762,0,0
53399.45756530762,256,0
53588.19242858887,512,0
53590.19242858887,256,0
53780.92729187012,0,0
53780.92729187012,256,0
53824.25297546387,256,256
53824.25297546387,256,0
53971.66215515137,0,0
53971.66215515137,256,0
54017.98783874512,256,256
54018.98783874512,256,0
54162.39701843262,0,0
54162.39701843262,256,0
54208.72270202637,256,256
54209.72270202637,256,0
54353.13188171387,0,0
54353.13188171387,256,0
54399.45756530762,256,256
54400.45756530762,256,0
54543.86674499512,0,0
54590.19242858887,0,256
54591.19242858887,0,0
54780.92729187012,0,256
54781.92729187012,0,0
54971.66215515137,0,256
54972.66215515137,0,0
55162.39701843262,0,256
55163.39701843262,0,0
55353.13188171387,0,256
55354.13188171387,0,0
55543.86674499512,0,256
55544.86674499512,0,0
57019.4779548645,256,0
57210.21281814575,0,0
57216.21281814575,256,0
57406.947681427,0,0
57406.947681427,256,0
57407.947681427,512,0
57597.68254470825,256,0
57597.68254470825,512,0
57788.4174079895,256,0
57788.4174079895,512,0
57977.15227127075,768,0
57979.15227127075,512,0
58169.887134552,256,0
58169.887134552,512,0
58210.21281814575,512,256
58210.21281814575,512,0
58360.62199783325,256,0
58360.62199783325,512,0
58406.947681427,512,256
58407.947681427,512,0
58551.3568611145,256,0
58551.3568611145,512,0
58597.68254470825,512,256
58598.68254470825,512,0
58742.09172439575,256,0
58742.09172439575,512,0
58788.4174079895,512,256
58789.4174079895,512,0
58932.826587677,256,0
58979.15227127075,256,256
58980.15227127075,256,0
59123.56145095825,0,0
59169.887134552,0,256
59170.887134552,0,0
59360.62199783325,0,256
59361.62199783325,0,0
59551.3568611145,0,256
59552.3568611145,0,0
59742.09172439575,0,256
59743.09172439575,0,0
59932.826587677,0,256
59933.826587677,0,0
60123.56145095825,0,256
60124.56145095825,0,0
61405.43779754639,256,0
61596.17266082764,0,0
61605.17266082764,256,0
61795.90752410889,0,0
61795.90752410889,256,0
61986.64238739014,0,0
61986.64238739014,256,0
62177.37725067139,0,0
62177.37725067139,256,0
62368.11211395264,0,0
62368.11211395264,256,0
62556.84697723389,512,0
62558.84697723389,256,0
62596.17266082764,256,256
62596.17266082764,256,0
62749.58184051514,0,0
62749.58184051514,256,0
62750.58184051514,512,0
62795.90752410889,512,256
62796.90752410889,512,0
62940.31670379639,256,0
62940.31670379639,512,0
62986.64238739014,512,256
62987.64238739014,512,0
63131.05156707764,256,0
63131.05156707764,512,0
63177.37725067139,512,256
63178.37725067139,512,0
63321.78643035889,256,0
63321.78643035889,512,0
63368.11211395264,512,256
63369.11211395264,512,0
63512.52129364014,256,0
63558.84697723389,256,256
63559.84697723389,256,0
63703.25615692139,0,0
63749.58184051514,0,256
63750.58184051514,0,0
63940.31670379639,0,256
63941.31670379639,0,0
64131.05156707764,0,256
64132.05156707764,0,0
64321.78643035889,0,256
64322.78643035889,0,0
64512.52129364014,0,256
64513.52129364014,0,0
64703.25615692139,0,256
64704.25615692139,0,0
65791.39764022827,256,0
65982.13250350952,0,0
65994.13250350952,256,0
66184.86736679077,0,0
66184.86736679077,256,0
66375.60223007202,0,0
66375.60223007202,256,0
66566.33709335327,0,0
66566.33709335327,256,0
66757.07195663452,0,0
66757.07195663452,256,0
66945.80681991577,512,0
66947.80681991577,256,0
66982.13250350952,256,256
66982.13250350952,256,0
67138.54168319702,0,0
67138.54168319702,256,0
67184.86736679077,256,256
67185.86736679077,256,0
67329.27654647827,0,0
67329.27654647827,256,0
67375.60223007202,256,256
67376.60223007202,256,0
67520.01140975952,0,0
67520.01140975952,256,0
67566.33709335327,256,256
67567.33709335327,256,0
