Time,from_ingress_queue_size,to_ingress_queue_size
500,10000,nan
1245.0580596923828,0,10000
1248.0580596923828,0,0
2500,10000,0
3245.058059692383,0,10000
3248.058059692383,0,0
3745.4393100738525,10000,0
3746.4393100738525,20000,0
4490.497369766235,10000,10000
4490.497369766235,10000,0
5235.555429458618,0,10000
5241.480923652649,0,0
10236.317930221558,10000,0
10237.317930221558,20000,0
10981.37598991394,10000,10000
10982.37598991394,10000,0
11197.01990699768,20000,0
11726.434049606323,10000,10000
11729.434049606323,10000,0
12471.492109298706,0,10000
12471.492109298706,0,0
13431.19408607483,10000,0
14176.252145767212,0,10000
14176.252145767212,0,0
28334.355279922485,10000,0
28335.355279922485,20000,0
29079.413339614868,10000,10000
29080.3388338089,10000,0
29824.47139930725,0,10000
29824.47139930725,0,0
37272.05199623108,10000,0
38017.11005592346,0,10000
38017.11005592346,10000,10000
38018.03555011749,10000,0
38762.168115615845,0,10000
38763.093609809875,0,0
46212.74871253967,10000,0
46213.74871253967,20000,0
46957.806772232056,10000,10000
46958.73226642609,10000,0
47702.86483192444,0,10000
47704.86483192444,10000,10000
47705.79032611847,10000,0
48449.92289161682,0,10000
48449.92289161682,0,0
58881.73572731018,10000,0
59626.79378700256,0,10000
59627.719281196594,0,0
60370.851846694946,10000,0
61115.90990638733,0,10000
61117.83540058136,0,0
72292.78080177307,10000,0
73034.83886146545,20000,0
73035.83886146545,30000,0
73037.83886146545,20000,10000
73037.83886146545,20000,0
73782.89692115784,10000,10000
73782.89692115784,10000,0
74527.95498085022,0,10000
74533.88047504425,0,0
81978.53557777405,10000,0
82723.59363746643,0,10000
82723.59363746643,10000,10000
82724.51913166046,10000,0
83468.65169715881,0,10000
83468.65169715881,0,0
84212.7097568512,10000,0
84213.7097568512,20000,0
84957.76781654358,10000,10000
84957.76781654358,10000,0
85702.82587623596,0,10000
85702.82587623596,0,0
92409.3484134674,10000,0
93151.40647315979,20000,0
93154.40647315979,10000,10000
93154.40647315979,10000,0
93899.46453285217,0,10000
93899.46453285217,0,0
94643.52259254456,10000,0
95388.58065223694,0,10000
95388.58065223694,0,0
96133.63871192932,10000,0
96878.6967716217,0,10000
96884.62226581573,0,0
105815.3934879303,10000,0
105816.3934879303,20000,0
106560.45154762268,10000,10000
106560.45154762268,20000,10000
106561.37704181671,20000,0
107305.50960731506,10000,10000
107310.4351015091,10000,0
108050.56766700745,0,10000
108054.56766700745,10000,10000
108055.49316120148,10000,0
108799.62572669983,0,10000
108799.62572669983,0,0
110290.7418460846,10000,0
111035.79990577698,0,10000
111036.72539997101,0,0
122208.67080116272,10000,0
122953.7288608551,0,10000
122953.7288608551,0,0
125934.96109962463,10000,0
125935.96109962463,20000,0
126680.01915931702,10000,10000
126682.94465351105,10000,0
127425.0772190094,0,10000
127427.00271320343,0,0
134874.65781593323,10000,0
135619.7158756256,0,10000
135619.7158756256,0,0
136366.773935318,10000,0
137111.83199501038,0,10000
137112.83199501038,10000,10000
137113.7574892044,10000,0
137857.89005470276,0,10000
137857.89005470276,0,0
149033.7609500885,10000,0
149034.7609500885,20000,0
149778.81900978088,10000,10000
149778.81900978088,20000,10000
149779.7445039749,20000,0
150522.87706947327,30000,0
150523.87706947327,20000,10000
150523.87706947327,20000,0
151268.93512916565,10000,10000
151268.93512916565,10000,0
152013.99318885803,0,10000
152019.91868305206,0,0
163186.86408424377,10000,0
163929.92214393616,20000,0
163930.92214393616,30000,0
163931.92214393616,20000,10000
163931.92214393616,20000,0
164674.98020362854,30000,0
164676.98020362854,20000,10000
164676.98020362854,20000,0
165422.03826332092,10000,10000
165424.96375751495,10000,0
166167.0963230133,0,10000
166170.02181720734,0,0
176600.90915870667,10000,0
177340.96721839905,20000,0
177345.96721839905,10000,10000
177345.96721839905,10000,0
178090.02527809143,20000,0
178091.02527809143,10000,10000
178091.02527809143,10000,0
178836.0833377838,0,10000
178836.0833377838,0,0
185538.60587501526,10000,0
186281.66393470764,20000,0
186282.66393470764,30000,0
186283.66393470764,20000,10000
186283.66393470764,20000,0
187028.72199440002,10000,10000
187030.72199440002,20000,10000
187031.64748859406,20000,0
187773.7800540924,10000,10000
187776.70554828644,10000,0
188518.8381137848,0,10000
188521.76360797882,0,0
195224.36065101624,10000,0
195967.41871070862,20000,0
195969.41871070862,10000,10000
195969.41871070862,10000,0
196714.476770401,0,10000
196716.476770401,10000,10000
196717.40226459503,10000,0
196717.476770401,20000,0
197461.53483009338,10000,10000
197461.53483009338,20000,10000
197462.4603242874,20000,0
198206.59288978577,10000,10000
198207.5183839798,10000,0
198951.65094947815,0,10000
198952.57644367218,0,0
207890.34766578674,10000,0
208635.40572547913,0,10000
208638.40572547913,10000,10000
208639.33121967316,10000,0
209382.4637851715,20000,0
209383.4637851715,10000,10000
209383.4637851715,10000,0
210128.5218448639,0,10000
210128.5218448639,0,0
222791.5088596344,10000,0
223536.56691932678,0,10000
223536.56691932678,10000,10000
223537.4924135208,10000,0
224281.62497901917,0,10000
224281.62497901917,10000,10000
224282.5504732132,10000,0
225026.68303871155,0,10000
225029.60853290558,0,0
236950.61199378967,10000,0
237695.67005348206,0,10000
237696.5955476761,0,0
238439.72811317444,10000,0
238440.72811317444,20000,0
239182.78617286682,30000,0
239184.78617286682,20000,10000
239184.78617286682,20000,0
239929.8442325592,10000,10000
239930.76972675323,10000,0
240674.9022922516,0,10000
240675.82778644562,0,0
248126.48288917542,10000,0
248871.5409488678,0,10000
248871.5409488678,0,0
249615.59900856018,10000,0
250360.65706825256,0,10000
250365.5825624466,0,0
258552.29572486877,10000,0
258553.29572486877,20000,0
259297.35378456116,10000,10000
259300.2792787552,10000,0
260042.41184425354,0,10000
260047.33733844757,0,0
260791.46990394592,10000,0
261536.5279636383,0,10000
261536.5279636383,0,0
268238.05050086975,10000,0
268983.10856056213,0,10000
268983.10856056213,10000,10000
268984.03405475616,10000,0
269728.1666202545,0,10000
269733.09211444855,0,0
270477.2246799469,10000,0
270478.2246799469,20000,0
271222.2827396393,10000,10000
271222.2827396393,10000,0
271967.34079933167,0,10000
271968.2662935257,0,0
278668.8633365631,10000,0
279413.9213962555,0,10000
279413.9213962555,10000,10000
279414.8468904495,10000,0
280158.9794559479,0,10000
280163.9049501419,0,0
280908.03751564026,10000,0
281651.09557533264,20000,0
281652.09557533264,30000,0
281653.09557533264,20000,10000
281653.09557533264,20000,0
282398.153635025,10000,10000
282399.07912921906,10000,0
283143.2116947174,0,10000
283144.13718891144,0,0
290591.79229164124,10000,0
291334.8503513336,20000,0
291336.8503513336,10000,10000
291336.8503513336,10000,0
292081.908411026,0,10000
292084.83390522003,0,0
292828.9664707184,10000,0
293572.02453041077,20000,0
293574.02453041077,10000,10000
293574.02453041077,10000,0
294319.08259010315,0,10000
294320.0080842972,0,0
305495.9534854889,10000,0
306241.0115451813,0,10000
306241.9370393753,0,0
306985.06960487366,10000,0
307728.12766456604,20000,0
307730.12766456604,10000,10000
307730.12766456604,10000,0
308475.1857242584,0,10000
308475.1857242584,0,0
319647.05661964417,10000,0
320392.11467933655,0,10000
320395.0401735306,0,0
321141.17273902893,10000,0
321142.17273902893,20000,0
321886.2307987213,10000,10000
