Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9474, 19.3664, 384717

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.3335, 21.683, 343614

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4564, 19.8606, 375143

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 24.2418, 23.3094, 319638

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.933, 21.2942, 349888
