Time,from_ingress_queue_size,to_ingress_queue_size
9159.763553619385,1,nan
9160.508611679077,0,1
9161.508611679077,0,0
10688.642459869385,1,0
10689.387517929077,0,1
10690.387517929077,0,0
13743.400272369385,1,0
13744.145330429077,0,1
13745.145330429077,0,0
15269.279178619385,1,0
15270.024236679077,0,1
15271.024236679077,0,0
16795.158084869385,1,0
16795.903142929077,0,1
16796.903142929077,0,0
19846.915897369385,1,0
19847.660955429077,0,1
19848.660955429077,0,0
22898.673709869385,1,0
22899.418767929077,0,1
22900.418767929077,0,0
25950.431522369385,1,0
25951.176580429077,0,1
25952.176580429077,0,0
27476.310428619385,1,0
27477.055486679077,0,1
27478.055486679077,0,0
29002.189334869385,1,0
29002.934392929077,0,1
29003.934392929077,0,0
32066.182321548462,1,0
32066.927379608154,0,1
32067.927379608154,0,0
35117.94013404846,1,0
35118.685192108154,0,1
35119.685192108154,0,0
36643.81904029846,1,0
36644.564098358154,0,1
36645.564098358154,0,0
38169.69794654846,1,0
38170.443004608154,0,1
38171.443004608154,0,0
41233.69093322754,1,0
41234.43599128723,0,1
41235.43599128723,0,0
44285.44874572754,1,0
44286.19380378723,0,1
44287.19380378723,0,0
47337.20655822754,1,0
47337.95161628723,0,1
47338.95161628723,0,0
48863.08546447754,1,0
48863.83052253723,0,1
48864.83052253723,0,0
50388.96437072754,1,0
50389.70942878723,0,1
50390.70942878723,0,0
51914.84327697754,1,0
51915.58833503723,0,1
51916.58833503723,0,0
54966.60108947754,1,0
54967.34614753723,0,1
54968.34614753723,0,0
58018.35890197754,1,0
58019.10396003723,0,1
58020.10396003723,0,0
61070.11671447754,1,0
61070.86177253723,0,1
61071.86177253723,0,0
64121.87452697754,1,0
64122.61958503723,0,1
64123.61958503723,0,0
65647.75343322754,1,0
65648.49849128723,0,1
65649.49849128723,0,0
67173.63233947754,1,0
67174.37739753723,0,1
67175.37739753723,0,0
68699.51124572754,1,0
68700.25630378723,0,1
68701.25630378723,0,0
71751.26905822754,1,0
71752.01411628723,0,1
71753.01411628723,0,0
74803.02687072754,1,0
74803.77192878723,0,1
74804.77192878723,0,0
77854.78468322754,1,0
77855.52974128723,0,1
77856.52974128723,0,0
80906.54249572754,1,0
80907.28755378723,0,1
80908.28755378723,0,0
82432.42140197754,1,0
82433.16646003723,0,1
82434.16646003723,0,0
83958.30030822754,1,0
83959.04536628723,0,1
83960.04536628723,0,0
85484.17921447754,1,0
85484.92427253723,0,1
85485.92427253723,0,0
88535.93702697754,1,0
88536.68208503723,0,1
88537.68208503723,0,0
91587.69483947754,1,0
91588.43989753723,0,1
91589.43989753723,0,0
94639.45265197754,1,0
94640.19771003723,0,1
94641.19771003723,0,0
97691.21046447754,1,0
97691.95552253723,0,1
97692.95552253723,0,0
99217.08937072754,1,0
99217.83442878723,0,1
99218.83442878723,0,0
100742.96827697754,1,0
100743.71333503723,0,1
100744.71333503723,0,0
102268.84718322754,1,0
102269.59224128723,0,1
102270.59224128723,0,0
103794.72608947754,1,0
103795.47114753723,0,1
103796.47114753723,0,0
106846.48390197754,1,0
106847.22896003723,0,1
106848.22896003723,0,0
109898.24171447754,1,0
109898.98677253723,0,1
109899.98677253723,0,0
112949.99952697754,1,0
112950.74458503723,0,1
112951.74458503723,0,0
116001.75733947754,1,0
116002.50239753723,0,1
116003.50239753723,0,0
117527.63624572754,1,0
117528.38130378723,0,1
117529.38130378723,0,0
119053.51515197754,1,0
119054.26021003723,0,1
119055.26021003723,0,0
122105.27296447754,1,0
122106.01802253723,0,1
122107.01802253723,0,0
125157.03077697754,1,0
125157.77583503723,0,1
125158.77583503723,0,0
128208.78858947754,1,0
128209.53364753723,0,1
128210.53364753723,0,0
129734.66749572754,1,0
129735.41255378723,0,1
129736.41255378723,0,0
131260.54640197754,1,0
131261.29146003723,0,1
131262.29146003723,0,0
132786.42530822754,1,0
132787.17036628723,0,1
132788.17036628723,0,0
135838.18312072754,1,0
135838.92817878723,0,1
135839.92817878723,0,0
138889.94093322754,1,0
138890.68599128723,0,1
138891.68599128723,0,0
140415.81983947754,1,0
140416.56489753723,0,1
140417.56489753723,0,0
143467.57765197754,1,0
143468.32271003723,0,1
143469.32271003723,0,0
146519.33546447754,1,0
146520.08052253723,0,1
146521.08052253723,0,0
148045.21437072754,1,0
148045.95942878723,0,1
148046.95942878723,0,0
149571.09327697754,1,0
149571.83833503723,0,1
149572.83833503723,0,0
152622.85108947754,1,0
152623.59614753723,0,1
152624.59614753723,0,0
154148.72999572754,1,0
154149.47505378723,0,1
154150.47505378723,0,0
157200.48780822754,1,0
157201.23286628723,0,1
157202.23286628723,0,0
160252.24562072754,1,0
160252.99067878723,0,1
160253.99067878723,0,0
161778.12452697754,1,0
161778.86958503723,0,1
161779.86958503723,0,0
163304.00343322754,1,0
163304.74849128723,0,1
163305.74849128723,0,0
164829.88233947754,1,0
164830.62739753723,0,1
164831.62739753723,0,0
167881.64015197754,1,0
167882.38521003723,0,1
167883.38521003723,0,0
169407.51905822754,1,0
169408.26411628723,0,1
169409.26411628723,0,0
172459.27687072754,1,0
172460.02192878723,0,1
172461.02192878723,0,0
175511.03468322754,1,0
175511.77974128723,0,1
175512.77974128723,0,0
177036.91358947754,1,0
177037.65864753723,0,1
177038.65864753723,0,0
178562.79249572754,1,0
178563.53755378723,0,1
178564.53755378723,0,0
180088.67140197754,1,0
180089.41646003723,0,1
180090.41646003723,0,0
181614.55030822754,1,0
181615.29536628723,0,1
181616.29536628723,0,0
184666.30812072754,1,0
184667.05317878723,0,1
184668.05317878723,0,0
186192.18702697754,1,0
186192.93208503723,0,1
186193.93208503723,0,0
189243.94483947754,1,0
189244.68989753723,0,1
189245.68989753723,0,0
192295.70265197754,1,0
192296.44771003723,0,1
192297.44771003723,0,0
193821.58155822754,1,0
193822.32661628723,0,1
193823.32661628723,0,0
195347.46046447754,1,0
195348.20552253723,0,1
195349.20552253723,0,0
196873.33937072754,1,0
196874.08442878723,0,1
196875.08442878723,0,0
198399.21827697754,1,0
198399.96333503723,0,1
198400.96333503723,0,0
201450.97608947754,1,0
201451.72114753723,0,1
201452.72114753723,0,0
202976.85499572754,1,0
202977.60005378723,0,1
202978.60005378723,0,0
204502.73390197754,1,0
204503.47896003723,0,1
204504.47896003723,0,0
207554.49171447754,1,0
207555.23677253723,0,1
207556.23677253723,0,0
210606.24952697754,1,0
210606.99458503723,0,1
210607.99458503723,0,0
212132.12843322754,1,0
212132.87349128723,0,1
212133.87349128723,0,0
213658.00733947754,1,0
213658.75239753723,0,1
213659.75239753723,0,0
215183.88624572754,1,0
215184.63130378723,0,1
215185.63130378723,0,0
216709.76515197754,1,0
216710.51021003723,0,1
216711.51021003723,0,0
218235.64405822754,1,0
218236.38911628723,0,1
218237.38911628723,0,0
219761.52296447754,1,0
219762.26802253723,0,1
219763.26802253723,0,0
222813.28077697754,1,0
222814.02583503723,0,1
222815.02583503723,0,0
224339.15968322754,1,0
224339.90474128723,0,1
224340.90474128723,0,0
225865.03858947754,1,0
225865.78364753723,0,1
225866.78364753723,0,0
228916.79640197754,1,0
228917.54146003723,0,1
228918.54146003723,0,0
230442.67530822754,1,0
230443.42036628723,0,1
230444.42036628723,0,0
231968.55421447754,1,0
231969.29927253723,0,1
231970.29927253723,0,0
233494.43312072754,1,0
233495.17817878723,0,1
233496.17817878723,0,0
235020.31202697754,1,0
235021.05708503723,0,1
235022.05708503723,0,0
236546.19093322754,1,0
236546.93599128723,0,1
236547.93599128723,0,0
238072.06983947754,1,0
238072.81489753723,0,1
238073.81489753723,0,0
239597.94874572754,1,0
239598.69380378723,0,1
239599.69380378723,0,0
242649.70655822754,1,0
242650.45161628723,0,1
242651.45161628723,0,0
244175.58546447754,1,0
244176.33052253723,0,1
244177.33052253723,0,0
245701.46437072754,1,0
245702.20942878723,0,1
245703.20942878723,0,0
248753.22218322754,1,0
248753.96724128723,0,1
248754.96724128723,0,0
250279.10108947754,1,0
250279.84614753723,0,1
250280.84614753723,0,0
251804.97999572754,1,0
251805.72505378723,0,1
251806.72505378723,0,0
253330.85890197754,1,0
253331.60396003723,0,1
253332.60396003723,0,0
256382.61671447754,1,0
256383.36177253723,0,1
256384.36177253723,0,0
257908.49562072754,1,0
257909.24067878723,0,1
257910.24067878723,0,0
259434.37452697754,1,0
259435.11958503723,0,1
259436.11958503723,0,0
262486.13233947754,1,0
262486.87739753723,0,1
262487.87739753723,0,0
264012.01124572754,1,0
264012.75630378723,0,1
264013.75630378723,0,0
265537.89015197754,1,0
265538.63521003723,0,1
265539.63521003723,0,0
267063.76905822754,1,0
267064.51411628723,0,1
267065.51411628723,0,0
268589.64796447754,1,0
268590.39302253723,0,1
268591.39302253723,0,0
271641.40577697754,1,0
271642.15083503723,0,1
271643.15083503723,0,0
273167.28468322754,1,0
273168.02974128723,0,1
273169.02974128723,0,0
274693.16358947754,1,0
274693.90864753723,0,1
274694.90864753723,0,0
277744.92140197754,1,0
277745.66646003723,0,1
277746.66646003723,0,0
280796.67921447754,1,0
280797.42427253723,0,1
280798.42427253723,0,0
282322.55812072754,1,0
282323.30317878723,0,1
282324.30317878723,0,0
283848.43702697754,1,0
283849.18208503723,0,1
283850.18208503723,0,0
285374.31593322754,1,0
285375.06099128723,0,1
285376.06099128723,0,0
286900.19483947754,1,0
286900.93989753723,0,1
286901.93989753723,0,0
289951.95265197754,1,0
289952.69771003723,0,1
289953.69771003723,0,0
291477.83155822754,1,0
291478.57661628723,0,1
291479.57661628723,0,0
294529.58937072754,1,0
294530.33442878723,0,1
294531.33442878723,0,0
297581.34718322754,1,0
297582.09224128723,0,1
297583.09224128723,0,0
299107.22608947754,1,0
299107.97114753723,0,1
299108.97114753723,0,0
300633.10499572754,1,0
300633.85005378723,0,1
300634.85005378723,0,0
302158.98390197754,1,0
302159.72896003723,0,1
302160.72896003723,0,0
303684.86280822754,1,0
303685.60786628723,0,1
303686.60786628723,0,0
306736.62062072754,1,0
306737.36567878723,0,1
306738.36567878723,0,0
308262.49952697754,1,0
308263.24458503723,0,1
308264.24458503723,0,0
309788.37843322754,1,0
309789.12349128723,0,1
309790.12349128723,0,0
312840.13624572754,1,0
312840.88130378723,0,1
312841.88130378723,0,0
315891.89405822754,1,0
315892.63911628723,0,1
315893.63911628723,0,0
317417.77296447754,1,0
317418.51802253723,0,1
317419.51802253723,0,0
318943.65187072754,1,0
318944.39692878723,0,1
318945.39692878723,0,0
321995.40968322754,1,0
321996.15474128723,0,1
321997.15474128723,0,0
323521.28858947754,1,0
323522.03364753723,0,1
323523.03364753723,0,0
325047.16749572754,1,0
325047.91255378723,0,1
325048.91255378723,0,0
328098.92530822754,1,0
328099.67036628723,0,1
328100.67036628723,0,0
331150.68312072754,1,0
331151.42817878723,0,1
331152.42817878723,0,0
334202.44093322754,1,0
334203.18599128723,0,1
334204.18599128723,0,0
335728.31983947754,1,0
335729.06489753723,0,1
335730.06489753723,0,0
337254.19874572754,1,0
337254.94380378723,0,1
337255.94380378723,0,0
338780.07765197754,1,0
338780.82271003723,0,1
338781.82271003723,0,0
340305.95655822754,1,0
340306.70161628723,0,1
340307.70161628723,0,0
341831.83546447754,1,0
341832.58052253723,0,1
341833.58052253723,0,0
344883.59327697754,1,0
344884.33833503723,0,1
344885.33833503723,0,0
347935.35108947754,1,0
347936.09614753723,0,1
347937.09614753723,0,0
349461.22999572754,1,0
349461.97505378723,0,1
349462.97505378723,0,0
350987.10890197754,1,0
350987.85396003723,0,1
350988.85396003723,0,0
352512.98780822754,1,0
352513.73286628723,0,1
352514.73286628723,0,0
354038.86671447754,1,0
354039.61177253723,0,1
354040.61177253723,0,0
357090.62452697754,1,0
357091.36958503723,0,1
357092.36958503723,0,0
360142.38233947754,1,0
360143.12739753723,0,1
360144.12739753723,0,0
363194.14015197754,1,0
363194.88521003723,0,1
363195.88521003723,0,0
364720.01905822754,1,0
364720.76411628723,0,1
364721.76411628723,0,0
366245.89796447754,1,0
366246.64302253723,0,1
366247.64302253723,0,0
367771.77687072754,1,0
367772.52192878723,0,1
367773.52192878723,0,0
369297.65577697754,1,0
369298.40083503723,0,1
369299.40083503723,0,0
370823.53468322754,1,0
370824.27974128723,0,1
370825.27974128723,0,0
373875.29249572754,1,0
373876.03755378723,0,1
373877.03755378723,0,0
376927.05030822754,1,0
376927.79536628723,0,1
376928.79536628723,0,0
378452.92921447754,1,0
378453.67427253723,0,1
378454.67427253723,0,0
379978.80812072754,1,0
379979.55317878723,0,1
379980.55317878723,0,0
381504.68702697754,1,0
381505.43208503723,0,1
381506.43208503723,0,0
383030.56593322754,1,0
383031.31099128723,0,1
383032.31099128723,0,0
384556.44483947754,1,0
384557.18989753723,0,1
384558.18989753723,0,0
386082.32374572754,1,0
386083.06880378723,0,1
386084.06880378723,0,0
389134.08155822754,1,0
389134.82661628723,0,1
389135.82661628723,0,0
392185.83937072754,1,0
392186.58442878723,0,1
392187.58442878723,0,0
393711.71827697754,1,0
393712.46333503723,0,1
393713.46333503723,0,0
395237.59718322754,1,0
395238.34224128723,0,1
395239.34224128723,0,0
396763.47608947754,1,0
396764.22114753723,0,1
396765.22114753723,0,0
398289.35499572754,1,0
398290.10005378723,0,1
398291.10005378723,0,0
399815.23390197754,1,0
399815.97896003723,0,1
399816.97896003723,0,0
401341.11280822754,1,0
401341.85786628723,0,1
401342.85786628723,0,0
402866.99171447754,1,0
402867.73677253723,0,1
402868.73677253723,0,0
405918.74952697754,1,0
405919.49458503723,0,1
405920.49458503723,0,0
408970.50733947754,1,0
408971.25239753723,0,1
408972.25239753723,0,0
410496.38624572754,1,0
410497.13130378723,0,1
410498.13130378723,0,0
412022.26515197754,1,0
412023.01021003723,0,1
412024.01021003723,0,0
413548.14405822754,1,0
413548.88911628723,0,1
413549.88911628723,0,0
415074.02296447754,1,0
415074.76802253723,0,1
415075.76802253723,0,0
416599.90187072754,1,0
