Time,from_ingress_queue_size,to_ingress_queue_size
0,256,nan
1907.35,0,nan
1908.35,0,0
3833.6,256,0
3834.6,512,0
5740.95,256,0
5741.95,256,0
7648.3,0,0
7649.3,0,256
7651.3,0,0
7667.2,256,0
7668.2,512,0
9574.55,256,0
9575.55,256,0
9578.55,512,0
9579.55,768,0
11481.9,512,0
11482.9,512,256
11484.9,512,0
11500.8,768,0
11501.8,1024,0
13389.2,768,0
13390.2,768,0
13410.1,1024,0
13411.1,1280,0
15296.6,1024,0
15297.6,1024,0
15317.5,1280,0
15318.5,1536,0
17203.9,1280,0
17204.9,1280,0
17224.8,1536,0
17225.8,1792,0
19111.3,1536,0
19112.3,1536,0
19132.2,1792,0
21018.6,1536,0
21019.6,1536,0
21039.5,1792,0
22926,1536,0
22927,1536,0
22946.9,1792,0
24833.3,1536,0
24834.3,1536,0
24854.2,1792,0
26740.7,1536,0
26741.7,1536,0
26761.6,1792,0
28648,1536,0
28649,1536,0
28668.9,1792,0
30555.4,1536,0
30556.4,1536,0
30576.3,1792,0
32462.7,1536,0
32463.7,1536,0
32483.6,1792,0
34370.1,1536,0
34371.1,1536,0
34391,1792,0
34392,2048,0
36277.4,1792,0
36278.4,1792,0
36298.3,2048,0
38184.8,1792,0
38185.8,1792,0
38205.7,2048,0
40092.1,1792,0
40093.1,1792,0
40113,2048,0
41999.5,1792,0
42000.5,1792,0
42020.4,2048,0
43906.8,1792,0
43907.8,1792,0
43927.7,2048,0
45814.2,1792,0
45815.2,1792,0
45835.1,2048,0
47721.5,1792,0
47722.5,1792,0
47742.4,2048,0
49628.9,1792,0
49629.9,1792,0
49649.8,2048,0
51536.2,1792,0
51537.2,1792,0
51557.1,2048,0
51558.1,2304,0
53443.6,2048,0
53444.6,2048,0
53464.5,2304,0
55350.9,2048,0
55351.9,2048,0
55371.8,2304,0
57258.3,2048,0
57259.3,2048,0
57279.2,2304,0
59165.6,2048,0
59166.6,2048,0
59186.5,2304,0
61073,2048,0
61074,2048,0
61093.9,2304,0
62980.3,2048,0
62981.3,2048,0
63001.2,2304,0
64887.7,2048,0
64888.7,2048,0
64908.6,2304,0
66795,2048,0
66796,2048,0
66815.9,2304,0
68702.4,2048,0
68703.4,2048,0
68723.3,2304,0
70609.7,2048,0
70610.7,2048,0
70630.6,2304,0
72517.1,2048,0
72518.1,2048,0
72538,2304,0
72539,2560,0
74424.4,2304,0
74425.4,2304,0
74445.3,2560,0
76331.7,2304,0
76332.7,2304,0
76352.6,2560,0
78239.1,2304,0
78240.1,2304,0
78260,2560,0
80146.4,2304,0
80147.4,2304,0
80167.3,2560,0
82053.8,2304,0
82054.8,2304,0
82074.7,2560,0
83961.1,2304,0
83962.1,2304,0
83982,2560,0
85868.5,2304,0
85869.5,2304,0
85889.4,2560,0
87775.8,2304,0
87776.8,2304,0
87796.7,2560,0
89683.2,2304,0
89684.2,2304,0
89704.1,2560,0
91590.5,2304,0
91591.5,2304,0
91611.4,2560,0
93497.9,2304,0
93498.9,2304,0
93518.8,2560,0
93519.8,2816,0
95405.2,2560,0
95406.2,2560,0
95426.1,2816,0
97312.6,2560,0
97313.6,2560,0
97333.5,2816,0
99219.9,2560,0
99220.9,2560,0
99240.8,2816,0
101127,2560,0
101128,2560,0
101148,2816,0
103035,2560,0
103036,2560,0
