Time,from_ingress_queue_size,to_ingress_queue_size
0,4096,nan
1,6144,nan
2000,10240,nan
2001,12288,nan
3051.76,8192,0
4577.64,6144,2048
4578.64,6144,0
6000,8192,0
6001,12288,0
6107.01,16384,0
6108.01,16384,0
7629.39,12288,4096
7630.39,12288,0
7633.88,14336,0
7634.88,16384,0
9155.27,14336,0
10681.2,12288,2048
10682.2,12288,0
13732.9,8192,0
16784.7,4096,0
18310.5,2048,2048
18311.5,2048,0
18321,6144,0
18322,10240,0
19836.4,8192,2048
19837.4,8192,0
19843.9,12288,0
21367.8,14336,0
22888.2,10240,0
22894.7,12288,0
25939.9,8192,0
25945.4,12288,0
28991.7,8192,4096
28992.7,8192,0
30517.6,6144,2048
30518.6,6144,0
32043.5,4096,2048
32044.5,4096,0
32050.9,8192,0
33574.8,10240,0
33575.8,12288,0
35095.2,8192,0
35101.7,10240,0
38147,6144,0
38152.5,10240,0
38153.5,14336,0
39672.9,12288,2048
39673.9,12288,0
41198.7,10240,2048
41199.7,10240,0
41206.2,14336,0
42724.6,12288,2048
42725.6,12288,0
42730.1,14336,0
44258,16384,0
44259,16384,0
45776.4,12288,0
45782.9,14336,0
48828.1,10240,0
48833.6,14336,0
51879.9,10240,4096
51880.9,10240,0
51887.4,14336,0
51888.4,14336,0
53405.8,12288,2048
53406.8,12288,0
54931.6,10240,2048
54932.6,10240,0
54939.1,14336,0
56457.5,12288,2048
56458.5,12288,0
56463,14336,0
57990.9,16384,0
59509.3,12288,0
59515.8,14336,0
62561,10240,0
62566.5,14336,0
65612.8,10240,4096
65613.8,10240,0
65620.3,14336,0
67138.7,12288,2048
67139.7,12288,0
68664.6,10240,2048
68665.6,10240,0
68672,14336,0
70190.4,12288,2048
70191.4,12288,0
70195.9,14336,0
70196.9,16384,0
71723.8,16384,0
73242.2,12288,0
73248.7,14336,0
76027,16384,0
76293.9,12288,0
76299.4,16384,0
76300.4,16384,0
79345.7,12288,4096
79346.7,12288,0
79353.2,16384,0
80871.6,14336,2048
80872.6,14336,0
82397.5,12288,2048
82398.5,12288,0
82405,16384,0
83923.3,14336,2048
83924.3,14336,0
