Time,from_ingress_queue_size,to_ingress_queue_size
9155.27,1,nan
9156.02,0,1
9157.02,0,0
13738.9,1,0
13739.7,0,1
13740.7,0,0
19842.4,1,0
19843.2,0,1
19844.2,0,0
22894.2,1,0
22894.9,0,1
22895.9,0,0
25945.9,1,0
25946.7,0,1
25947.7,0,0
32058.9,1,0
32059.7,0,1
32060.7,0,0
35113.5,1,0
35114.2,0,1
35115.2,0,0
41222.5,1,0
41223.2,0,1
41224.2,0,0
44274.2,1,0
44275,0,1
44276,0,0
47328,1,0
47328.7,0,1
47329.7,0,0
54957.4,1,0
54958.1,0,1
54959.1,0,0
58009.1,1,0
58009.9,0,1
58010.9,0,0
61060.9,1,0
61061.6,0,1
61062.6,0,0
64112.6,1,0
64113.4,0,1
64114.4,0,0
71742,1,0
71742.8,0,1
71743.8,0,0
74793.8,1,0
74794.5,0,1
74795.5,0,0
77845.5,1,0
77846.3,0,1
77847.3,0,0
80897.3,1,0
80898.1,0,1
80899.1,0,0
88526.7,1,0
88527.4,0,1
88528.4,0,0
91578.5,1,0
91579.2,0,1
91580.2,0,0
94630.2,1,0
94631,0,1
94632,0,0
97682,1,0
97682.7,0,1
97683.7,0,0
106837,1,0
106838,0,1
106839,0,0
109889,1,0
109890,0,1
109891,0,0
112941,1,0
112942,0,1
112943,0,0
115993,1,0
115993,0,1
115994,0,0
122096,1,0
122097,0,1
122098,0,0
125148,1,0
125149,0,1
125150,0,0
128200,1,0
128200,0,1
128201,0,0
135829,1,0
135830,0,1
135831,0,0
138881,1,0
138881,0,1
138882,0,0
143458,1,0
143459,0,1
143460,0,0
146510,1,0
146511,0,1
146512,0,0
152614,1,0
152614,0,1
152615,0,0
157191,1,0
157192,0,1
157193,0,0
160243,1,0
160244,0,1
160245,0,0
167872,1,0
167873,0,1
167874,0,0
172450,1,0
172451,0,1
172452,0,0
175502,1,0
175503,0,1
175504,0,0
184657,1,0
184658,0,1
184659,0,0
189235,1,0
189235,0,1
189236,0,0
192286,1,0
192287,0,1
192288,0,0
201442,1,0
201442,0,1
201443,0,0
207545,1,0
207546,0,1
207547,0,0
210597,1,0
210598,0,1
210599,0,0
222804,1,0
222805,0,1
222806,0,0
228908,1,0
228908,0,1
228909,0,0
242640,1,0
242641,0,1
242642,0,0
248744,1,0
248745,0,1
248746,0,0
256373,1,0
256374,0,1
256375,0,0
262477,1,0
262478,0,1
262479,0,0
271632,1,0
271633,0,1
271634,0,0
277736,1,0
277736,0,1
277737,0,0
280787,1,0
280788,0,1
280789,0,0
289943,1,0
289943,0,1
289944,0,0
294520,1,0
294521,0,1
294522,0,0
297572,1,0
297573,0,1
297574,0,0
306727,1,0
306728,0,1
306729,0,0
312831,1,0
312832,0,1
312833,0,0
315883,1,0
315883,0,1
315884,0,0
321986,1,0
321987,0,1
321988,0,0
328090,1,0
328090,0,1
328091,0,0
331141,1,0
331142,0,1
331143,0,0
334193,1,0
334194,0,1
334195,0,0
344874,1,0
344875,0,1
344876,0,0
347926,1,0
347927,0,1
347928,0,0
357081,1,0
357082,0,1
357083,0,0
360133,1,0
360134,0,1
360135,0,0
363185,1,0
363186,0,1
363187,0,0
373866,1,0
373867,0,1
373868,0,0
376918,1,0
376919,0,1
376920,0,0
389125,1,0
389126,0,1
389127,0,0
392177,1,0
392177,0,1
392178,0,0
405910,1,0
405910,0,1
405911,0,0
408961,1,0
408962,0,1
408963,0,0
424220,1,0
424221,0,1
424222,0,0
439479,1,0
439480,0,1
439481,0,0
456264,1,0
