Time,from_ingress_queue_size,to_ingress_queue_size
7631.39,4096,nan
10683.2,0,0
18323.5,4096,0
21375.3,0,0
21376.3,4096,0
24428,0,0
33582.3,4096,0
36634.1,0,0
36635.1,4096,0
39686.8,0,0
47315.2,4096,0
50367,0,0
50368,4096,0
53419.7,0,0
54945.6,4096,0
57997.4,0,0
61048.1,4096,0
64099.9,0,0
64100.9,4096,0
67152.7,0,4096
67154.7,4096,4096
67155.7,4096,0
70206.4,0,4096
70209.4,0,0
73262.4,4096,0
76314.2,0,0
77842,4096,0
80893.8,0,0
83943.6,4096,0
86995.3,0,0
90047.1,4096,0
93098.8,0,0
96150.6,4096,0
99202.3,0,0
102254,4096,0
105306,0,0
106834,4096,0
109885,0,0
112935,4096,0
115987,0,0
120565,4096,0
123616,0,0
125144,4096,0
128196,0,0
129721,4096,0
132773,0,0
137349,4096,0
140401,0,0
141929,4096,0
144981,0,0
146506,4096,0
149557,0,0
154134,4096,0
157186,0,0
160238,4096,0
163289,0,0
163290,4096,0
166342,0,0
170919,4096,0
173970,0,0
175498,4096,0
178550,0,0
183126,4096,0
186177,0,0
186178,4096,0
189230,0,0
193807,4096,0
196859,0,0
199910,4096,0
202962,0,0
207540,4096,0
210592,0,0
210593,4096,0
213644,0,0
216695,4096,0
219747,0,0
221275,4096,0
224326,0,0
225851,4096,0
228903,0,4096
228904,4096,4096
228906,4096,0
231956,0,0
235006,4096,0
238057,0,0
241109,4096,0
244161,0,0
245689,4096,0
248740,0,0
250265,4096,0
253317,0,4096
253318,4096,4096
253320,4096,0
256370,0,0
257895,4096,0
260947,0,0
262472,4096,0
265524,0,4096
265525,4096,4096
265527,4096,0
268577,0,0
270102,4096,0
273154,0,0
274679,4096,0
277731,0,4096
277732,4096,4096
277734,4096,0
280784,0,0
285360,4096,0
288411,0,0
288412,4096,0
291464,0,4096
291466,4096,4096
291467,4096,0
294518,0,4096
294521,0,0
297567,4096,0
300618,0,4096
300619,4096,4096
300621,4096,0
303671,0,0
306722,4096,0
309774,0,0
309775,4096,0
312826,0,4096
312828,4096,4096
312829,4096,0
315880,4096,4096
315883,4096,0
318932,0,4096
318935,0,0
321981,4096,0
325032,0,4096
325033,4096,4096
325035,4096,0
328085,0,0
329611,4096,0
332663,0,0
335714,4096,0
338765,0,0
338766,4096,0
341818,0,4096
341820,4096,4096
341821,4096,0
344872,0,4096
344875,0,0
347921,4096,0
350972,0,4096
350973,4096,4096
350975,4096,0
354025,0,4096
354027,4096,4096
354028,4096,0
357079,4096,4096
357082,4096,0
360131,4096,4096
360134,4096,0
363182,4096,4096
363185,4096,0
366234,4096,4096
366237,4096,0
369286,4096,4096
369289,4096,0
372338,4096,4096
372341,4096,0
375389,4096,4096
375392,4096,0
378441,4096,4096
378444,4096,0
381493,4096,4096
381496,4096,0
384545,4096,4096
384548,4096,0
387596,4096,4096
387599,4096,0
390648,4096,4096
390651,4096,0
393700,4096,4096
393703,4096,0
396752,4096,4096
396755,4096,0
399803,4096,4096
399806,4096,0
402855,4096,4096
402858,4096,0
405907,4096,4096
405910,4096,0
408959,4096,4096
408962,4096,0
412011,4096,4096
412014,4096,0
415062,4096,4096
415065,4096,0
418114,4096,4096
418117,4096,0
421166,4096,4096
421169,4096,0
424218,4096,4096
424221,4096,0
427269,4096,4096
427272,4096,0
430321,4096,4096
430324,4096,0
433373,4096,4096
433376,4096,0
436425,0,0
437948,4096,0
441000,0,4096
441001,4096,4096
441003,4096,0
444053,0,4096
444054,4096,4096
444056,4096,0
447106,0,0
448630,4096,0
451681,0,0
453207,4096,0
456259,0,0
459310,4096,0
462362,0,0
463889,4096,0
466941,0,0
