Time,from_ingress_queue_size,to_ingress_queue_size
7633.14,1,nan
7633.88,0,1
7634.88,0,0
13741.1,1,0
13741.9,0,1
13742.9,0,0
16793.9,1,0
16794.6,0,1
16796.6,0,0
24423.3,1,0
24424,0,1
24425,0,0
27475.1,1,0
27475.8,0,1
27477.8,0,0
30526.8,1,0
30527.6,0,1
30529.6,0,0
36630.3,1,0
36631.1,0,1
36632.1,0,0
39682.1,1,0
39682.8,0,1
39684.8,0,0
42733.8,1,0
42734.6,0,1
42736.6,0,0
45785.6,1,0
45786.3,0,1
45788.3,0,0
51894.6,1,0
51895.4,0,1
51896.4,0,0
58002.6,1,0
58003.4,0,1
58004.4,0,0
64106.1,1,0
64106.9,0,1
64107.9,0,0
70209.6,1,0
70210.4,0,1
70211.4,0,0
73262.4,1,0
73263.1,0,1
73265.1,0,0
80891.8,1,0
80892.5,0,1
80893.5,0,0
83943.6,1,0
83944.3,0,1
83946.3,0,0
91572.9,1,0
91573.7,0,1
91574.7,0,0
94624.7,1,0
94625.5,0,1
94627.5,0,0
97676.5,1,0
97677.2,0,1
97679.2,0,0
105306,1,0
105307,0,1
105308,0,0
108358,1,0
108358,0,1
108360,0,0
111409,1,0
111410,0,1
111412,0,0
120565,1,0
120565,0,1
120566,0,0
123616,1,0
123617,0,1
123619,0,0
126668,1,0
126669,0,1
126671,0,0
132772,1,0
132772,0,1
132773,0,0
135823,1,0
135824,0,1
135826,0,0
138875,1,0
138876,0,1
138878,0,0
141927,1,0
141928,0,1
141930,0,0
146505,1,0
146505,0,1
146506,0,0
149556,1,0
149557,0,1
149559,0,0
154134,1,0
154135,0,1
154136,0,0
157186,1,0
157186,0,1
157188,0,0
160238,1,0
160238,0,1
160240,0,0
166341,1,0
166342,0,1
166343,0,0
169393,1,0
169394,0,1
169396,0,0
172445,1,0
172445,0,1
172447,0,0
178548,1,0
178549,0,1
178550,0,0
181600,1,0
181601,0,1
181603,0,0
189229,1,0
189230,0,1
189231,0,0
192281,1,0
192282,0,1
192284,0,0
201436,1,0
201437,0,1
201438,0,0
204488,1,0
204489,0,1
204491,0,0
207540,1,0
207540,0,1
207542,0,0
216695,1,0
216696,0,1
216697,0,0
219747,1,0
219748,0,1
219750,0,0
228902,1,0
228903,0,1
228904,0,0
231954,1,0
231955,0,1
231957,0,0
241109,1,0
241110,0,1
241111,0,0
244161,1,0
244162,0,1
244164,0,0
247213,1,0
247213,0,1
247215,0,0
254842,1,0
254843,0,1
254844,0,0
257894,1,0
257894,0,1
257896,0,0
267049,1,0
267050,0,1
267051,0,0
270101,1,0
270102,0,1
270104,0,0
277730,1,0
277731,0,1
277732,0,0
280782,1,0
280783,0,1
280785,0,0
289937,1,0
289938,0,1
289939,0,0
292989,1,0
292990,0,1
