Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
746.058,0,0
1495.27,10000,0
1496.27,20000,0
2240.32,10000,10000
2243.25,10000,0
2985.38,0,10000
2986.38,0,0
4485.8,10000,0
4486.8,20000,0
5216.56,30000,0
5230.85,20000,10000
5232.85,20000,0
5964.61,30000,0
5975.91,20000,0
6720.97,10000,10000
6721.97,10000,0
7466.03,0,10000
7470.03,0,0
13079.5,10000,0
13824.6,0,0
14160.3,10000,0
14905.3,0,10000
14908.2,0,0
15650.4,10000,0
16395.4,0,10000
16396.4,0,0
29063.4,10000,0
29064.4,20000,0
29808.5,10000,10000
29809.5,10000,0
30553.5,0,10000
30554.5,0,0
40983.3,10000,0
41728.4,0,10000
41729.4,10000,10000
41731.3,10000,0
42474.5,0,10000
42475.5,0,0
49924,10000,0
49925,20000,0
50667.1,30000,0
50669.1,20000,10000
50670.1,20000,0
51414.2,10000,10000
51415.2,10000,0
52159.2,0,10000
52160.1,0,0
60354.9,10000,0
61099.9,0,10000
61100.9,0,0
61844,10000,0
61845,20000,0
62588,30000,0
62589,20000,10000
62590,20000,0
63334.1,10000,10000
63336,10000,0
64079.1,0,10000
64081.1,0,0
74511,10000,0
75256,0,10000
75258.9,0,0
76000.1,10000,0
76745.1,0,10000
76747.1,10000,10000
76749.1,10000,0
77490.2,20000,0
77491.2,30000,0
77492.2,20000,10000
77493.2,20000,0
78237.2,10000,10000
78238.2,10000,0
78982.3,0,10000
78988.2,0,0
87922,10000,0
88667.1,10000,10000
88669,10000,0
89411.1,20000,0
89412.1,10000,10000
89413.1,10000,0
90156.2,20000,0
90157.2,10000,10000
90158.2,10000,0
90902.2,0,10000
90903.2,0,0
91646.3,10000,0
91647.3,20000,0
92391.3,10000,10000
92392.3,10000,0
93136.4,0,10000
93138.3,0,0
103568,10000,0
104313,10000,10000
104315,10000,0
105057,20000,0
105058,10000,10000
105059,10000,0
105802,20000,0
105803,10000,10000
105804,10000,0
106548,0,10000
106549,0,0
122196,10000,0
122197,20000,0
122941,20000,10000
122943,20000,0
123684,30000,0
123686,20000,10000
123687,20000,0
124431,10000,10000
124432,10000,0
125176,0,10000
125177,0,0
136352,10000,0
137097,0,10000
137099,0,0
146037,10000,0
146038,20000,0
146782,10000,10000
146783,10000,0
147527,0,10000
147531,0,0
157957,10000,0
157958,20000,0
158703,10000,10000
158704,10000,0
159448,0,10000
159449,0,0
160192,10000,0
160937,0,10000
160941,0,0
172859,10000,0
173604,0,10000
173606,0,0
174348,10000,0
175093,0,10000
175097,0,0
175838,10000,0
175839,20000,0
176583,10000,10000
176584,10000,0
177328,0,10000
177330,0,0
189251,10000,0
189996,0,10000
189998,0,0
192231,10000,0
192976,0,10000
192978,0,0
200426,10000,0
200427,20000,0
201171,10000,10000
201174,10000,0
201915,20000,0
201916,10000,10000
201917,10000,0
202661,0,10000
202662,0,0
211598,10000,0
212343,0,10000
212347,10000,10000
212349,10000,0
213092,0,10000
213093,0,0
213836,10000,0
213837,20000,0
214581,10000,10000
214582,10000,0
215326,0,10000
215328,0,0
223519,10000,0
224264,10000,10000
224266,10000,0
225009,0,10000
225015,0,0
225757,10000,0
226499,20000,0
226500,30000,0
226502,20000,10000
226503,20000,0
227247,10000,10000
227249,10000,0
227992,0,10000
227994,0,0
235443,10000,0
236189,0,10000
236191,0,0
236933,10000,0
237678,0,10000
237681,0,0
238423,10000,0
239165,20000,0
239168,10000,10000
239169,10000,0
239913,10000,10000
239915,10000,0
240658,0,10000
240660,0,0
254071,10000,0
254072,20000,0
254816,20000,10000
254818,20000,0
255561,10000,10000
255562,10000,0
256306,0,10000
256312,0,0
265987,10000,0
266732,10000,10000
266734,10000,0
267477,0,10000
267482,0,0
268225,10000,0
268226,20000,0
268970,10000,10000
268971,10000,0
269715,0,10000
269717,0,0
276422,10000,0
277167,0,10000
277168,10000,10000
277170,10000,0
277913,0,10000
277914,0,0
278656,10000,0
279400,20000,0
279401,20000,10000
279402,20000,0
280146,10000,10000
280148,10000,0
280891,0,10000
280893,0,0
288343,10000,0
289084,20000,0
289088,10000,10000
289089,10000,0
289833,0,10000
289834,0,0
290577,10000,0
291321,20000,0
291322,10000,10000
291323,10000,0
292066,20000,0
292067,10000,10000
292068,10000,0
292812,0,10000
292814,0,0
303240,10000,0
303241,20000,0
303985,20000,10000
303987,20000,0
304730,10000,10000
304735,10000,0
305475,0,10000
305478,10000,10000
305480,10000,0
306223,0,10000
306224,0,0
306968,10000,0
307712,20000,0
307713,10000,10000
307714,10000,0
308458,0,10000
308459,0,0
324106,10000,0
324107,20000,0
324851,10000,10000
324852,10000,0
325595,20000,0
325597,10000,10000
325602,10000,0
326342,0,10000
326343,0,0
327085,10000,0
327830,0,10000
327834,0,0
336772,10000,0
337517,0,10000
337518,0,0
338261,10000,0
339005,20000,0
339006,20000,10000
339006,20000,0
339750,30000,0
339751,20000,10000
339752,20000,0
340496,10000,10000
340498,10000,0
341241,0,10000
341243,0,0
345708,10000,0
346453,0,10000
346457,0,0
347201,10000,0
347946,0,10000
347947,0,0
