Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9223, 19.342, 385202

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.5891, 21.9312, 339726

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4163, 19.8217, 375880

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.3679, 19.7747, 376774

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.233, 19.4548, 382969
