Time,from_ingress_queue_size,to_ingress_queue_size
441,10000,nan
1186.06,0,10000
1190.06,0,0
2441,10000,0
2683.32,20000,0
2684.32,30000,0
3186.06,20000,0
3931.12,10000,10000
3934.12,10000,0
4676.17,0,10000
4680.17,0,0
7167.97,10000,0
7168.97,20000,0
7913.03,10000,0
8658.09,0,0
10131.9,10000,0
10877,0,10000
10877.9,0,0
11623,10000,0
12368.1,0,0
22799.9,10000,0
23544.9,0,10000
23545.9,0,0
33970.8,10000,0
33971.8,20000,0
34715.8,10000,10000
34716.7,10000,0
35460.9,0,10000
35461.8,0,0
41421.3,10000,0
42166.4,0,10000
42167.3,0,0
42915.5,10000,0
43660.5,0,10000
43662.4,0,0
52597.2,10000,0
52598.2,20000,0
53342.3,10000,10000
53343.2,10000,0
54087.3,0,10000
54092.3,0,0
54836.4,10000,0
55581.4,0,0
64518.1,10000,0
65263.2,0,10000
65264.1,0,0
66008.3,10000,0
66009.3,20000,0
66753.3,10000,10000
66754.2,10000,0
67498.4,0,10000
67503.3,0,0
81654.5,10000,0
82399.5,0,10000
82400.5,0,0
83148.6,10000,0
83893.7,0,10000
83895.6,0,0
95065.5,10000,0
95810.6,10000,10000
95811.5,10000,0
95811.6,20000,0
96555.6,10000,10000
96560.6,10000,0
97300.7,0,10000
97305.6,0,0
108477,10000,0
109222,10000,10000
109223,10000,0
109967,0,10000
109972,0,0
117417,10000,0
118162,10000,10000
118163,10000,0
118907,0,10000
118908,0,0
127848,10000,0
128593,0,10000
128594,0,0
129342,10000,0
129343,20000,0
130087,10000,10000
130089,10000,0
130832,0,10000
130833,0,0
141261,10000,0
142006,0,0
144239,10000,0
144984,0,10000
144990,0,0
156905,10000,0
157650,0,10000
157651,0,0
159146,10000,0
159891,0,10000
159891,0,0
171061,10000,0
171807,0,10000
171807,0,0
172556,10000,0
172557,20000,0
173301,10000,10000
173303,10000,0
174046,0,10000
174047,0,0
182237,10000,0
182982,0,10000
182988,0,0
183731,10000,0
184472,20000,0
184473,30000,0
184476,20000,0
185222,10000,10000
185222,10000,0
185967,0,10000
185968,0,0
194905,10000,0
195650,0,0
196397,10000,0
197142,0,10000
197143,10000,10000
197144,10000,0
197888,20000,0
197889,10000,0
198634,0,0
207571,10000,0
207572,20000,0
208314,30000,0
208316,20000,0
209059,30000,0
209061,20000,0
209806,10000,10000
209809,10000,0
210552,0,10000
210554,0,0
221730,10000,0
222475,10000,10000
222476,10000,0
223220,20000,0
223221,10000,0
223966,0,0
236629,10000,0
237372,20000,0
237373,30000,0
237374,20000,0
238119,10000,10000
238122,10000,0
238864,0,10000
238867,0,0
250038,10000,0
250039,20000,0
250783,10000,10000
250788,20000,10000
250789,20000,0
251528,10000,10000
251533,10000,0
252273,0,10000
252278,0,0
262709,10000,0
263454,10000,10000
263455,10000,0
264198,20000,0
264199,20000,0
264944,10000,0
265689,0,10000
265695,0,0
281335,10000,0
281336,20000,0
282080,10000,10000
282081,10000,0
282825,0,0
287291,10000,0
287292,20000,0
288036,20000,10000
288036,20000,0
288781,10000,10000
288786,10000,0
289526,0,10000
289531,0,0
293996,10000,0
294741,10000,10000
294742,10000,0
295486,10000,10000
295487,10000,0
295487,20000,0
296231,10000,10000
296236,10000,0
296976,0,10000
296981,0,0
302192,10000,0
302937,0,10000
302938,0,0
303686,10000,0
304431,0,10000
304432,10000,10000
304433,10000,0
305176,20000,0
305177,20000,0
305922,10000,0
306667,0,10000
306673,0,0
313369,10000,0
314114,0,10000
314119,0,0
315603,10000,0
316348,10000,10000
316349,10000,0
317093,10000,10000
317094,10000,0
317838,0,10000
317843,0,0
318587,10000,0
319332,0,0
324548,10000,0
324549,20000,0
325293,10000,10000
325297,10000,0
326039,0,0
326783,10000,0
327528,0,0
328273,10000,0
329018,0,10000
329019,10000,10000
329020,10000,0
329764,0,0
339450,10000,0
339451,20000,0
340195,10000,0
340940,0,0
341684,10000,0
342425,20000,0
342429,10000,0
343174,0,0
349130,10000,0
349875,0,10000
349876,0,0
350624,10000,0
351369,0,10000
351371,0,0
352115,10000,0
352116,20000,0
352860,10000,0
353605,10000,10000
353606,10000,0
354350,0,10000
354351,0,0
364036,10000,0
364782,0,10000
364782,0,0
365526,10000,0
366271,0,10000
366272,10000,10000
366273,10000,0
367017,0,0
375957,10000,0
376702,10000,10000
376703,10000,0
377447,20000,0
377448,20000,0
378193,10000,0
378938,0,10000
378944,0,0
