Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.3012, 19.7099, 378012

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9538, 19.3726, 384593

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4972, 19.9002, 374397

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.1379, 20.3249, 366575

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.9089, 20.2999, 367025
