Time,from_ingress_queue_size,to_ingress_queue_size
500,10000,nan
1245.0580596923828,0,10000
1248.0580596923828,0,0
2500,10000,0
3245.058059692383,0,10000
3248.058059692383,0,0
3745.4393100738525,10000,0
3746.4393100738525,20000,0
4490.497369766235,10000,10000
4490.497369766235,10000,0
5235.555429458618,0,10000
5241.480923652649,0,0
10236.317930221558,10000,0
10237.317930221558,20000,0
10981.37598991394,10000,10000
10982.37598991394,10000,0
11197.01990699768,20000,0
11726.434049606323,10000,10000
11729.434049606323,10000,0
12471.492109298706,0,10000
12471.492109298706,0,0
13431.19408607483,10000,0
14176.252145767212,0,10000
14176.252145767212,0,0
24606.06498146057,10000,0
25351.123041152954,0,10000
25355.048535346985,0,0
28334.355279922485,10000,0
28335.355279922485,20000,0
29079.413339614868,10000,10000
29080.3388338089,10000,0
29824.47139930725,0,10000
29824.47139930725,0,0
35779.93587684631,10000,0
36524.993936538696,0,10000
36527.91943073273,0,0
38017.11005592346,10000,0
38762.168115615845,0,10000
38762.168115615845,10000,10000
38763.093609809875,10000,0
38763.168115615845,20000,0
39507.22617530823,10000,10000
39508.15166950226,10000,0
40252.28423500061,0,10000
40255.20972919464,0,0
43975.574533462524,10000,0
44720.63259315491,0,10000
44721.55808734894,0,0
46215.74871253967,10000,0
46960.806772232056,0,10000
46960.806772232056,0,0
47704.86483192444,10000,0
48447.92289161682,20000,0
48449.92289161682,10000,10000
48449.92289161682,10000,0
49194.980951309204,0,10000
49195.906445503235,0,0
55151.44542884827,10000,0
55152.44542884827,20000,0
55896.50348854065,10000,10000
55897.42898273468,10000,0
56641.56154823303,0,10000
56646.48704242706,0,0
57390.619607925415,10000,0
58135.6776676178,0,10000
58137.60316181183,0,0
58880.73572731018,10000,0
59625.79378700256,0,10000
59627.719281196594,0,0
70057.60662269592,10000,0
70802.6646823883,0,10000
70802.6646823883,10000,10000
70803.59017658234,10000,0
71546.72274208069,20000,0
71547.72274208069,10000,10000
71547.72274208069,10000,0
72292.78080177307,0,10000
72292.78080177307,0,0
81973.53557777405,10000,0
82718.59363746643,0,10000
82718.59363746643,10000,10000
82719.51913166046,10000,0
82719.59363746643,20000,0
83463.65169715881,10000,10000
83467.65169715881,20000,10000
83468.57719135284,20000,0
84208.7097568512,10000,10000
84213.63525104523,10000,0
84953.76781654358,0,10000
84958.69331073761,0,0
95384.58065223694,10000,0
96129.63871192932,0,10000
96129.63871192932,10000,10000
96130.56420612335,10000,0
96874.6967716217,0,10000
96878.6967716217,10000,10000
96879.62226581573,10000,0
96879.6967716217,20000,0
97623.75483131409,10000,10000
97623.75483131409,20000,10000
97624.68032550812,20000,0
98368.81289100647,10000,10000
98369.7383852005,10000,0
99113.87095069885,0,10000
99114.79644489288,0,0
110287.7418460846,10000,0
111030.79990577698,20000,0
111032.79990577698,10000,10000
111032.79990577698,10000,0
111775.85796546936,20000,0
111777.85796546936,10000,10000
111777.85796546936,10000,0
112522.91602516174,0,10000
112524.91602516174,10000,10000
112525.84151935577,10000,0
113269.97408485413,0,10000
113270.89957904816,0,0
130402.30945777893,10000,0
131147.3675174713,0,10000
131152.3675174713,10000,10000
131153.29301166534,10000,0
131897.4255771637,0,10000
131897.4255771637,0,0
140835.1222934723,10000,0
141580.18035316467,0,10000
141580.18035316467,10000,10000
141581.1058473587,10000,0
141581.18035316467,20000,0
142325.23841285706,10000,10000
142325.23841285706,10000,0
143070.29647254944,0,10000
143073.22196674347,0,0
152008.99318885803,10000,0
152754.05124855042,0,10000
152756.97674274445,0,0
153503.1093082428,10000,0
154248.16736793518,0,10000
154250.0928621292,0,0
163931.92214393616,10000,0
164676.98020362854,0,10000
164677.90569782257,0,0
165424.03826332092,10000,0
166169.0963230133,0,10000
166171.02181720734,0,0
176597.90915870667,10000,0
176598.90915870667,20000,0
177342.96721839905,10000,10000
177346.89271259308,10000,0
178088.02527809143,0,10000
178090.95077228546,0,0
188518.8381137848,10000,0
189263.89617347717,0,10000
189263.89617347717,10000,10000
189264.8216676712,10000,0
190008.95423316956,0,10000
190009.8797273636,0,0
202674.94124794006,10000,0
202675.94124794006,20000,0
203419.99930763245,10000,10000
203420.92480182648,10000,0
204165.05736732483,0,10000
204167.98286151886,0,0
213850.8121433258,10000,0
214595.8702030182,0,10000
214595.8702030182,10000,10000
214596.79569721222,10000,0
215340.92826271057,0,10000
215341.8537569046,0,0
227261.8572177887,10000,0
227262.8572177887,20000,0
228006.91527748108,10000,10000
228007.8407716751,10000,0
228751.97333717346,0,10000
228754.8988313675,0,0
242163.01841163635,10000,0
242908.07647132874,0,10000
242908.07647132874,10000,10000
242909.00196552277,10000,0
243653.13453102112,0,10000
243656.06002521515,0,0
256322.12154579163,10000,0
257064.179605484,20000,0
257065.179605484,30000,0
257067.179605484,20000,10000
257067.179605484,20000,0
257812.2376651764,10000,10000
257812.2376651764,10000,0
258557.29572486877,0,10000
258563.2212190628,0,0
267492.99244117737,10000,0
268238.05050086975,0,10000
268238.9759950638,0,0
268987.10856056213,10000,0
269732.1666202545,0,10000
269734.09211444855,0,0
270477.2246799469,10000,0
270478.2246799469,20000,0
271222.2827396393,10000,10000
271222.2827396393,10000,0
271967.34079933167,0,10000
271968.2662935257,0,0
280906.03751564026,10000,0
281651.09557533264,0,10000
281655.0210695267,0,0
282398.153635025,10000,0
283143.2116947174,0,10000
283143.2116947174,0,0
283888.2697544098,10000,0
284631.3278141022,20000,0
284633.3278141022,10000,10000
284633.3278141022,10000,0
285378.38587379456,0,10000
285379.3113679886,0,0
296555.2567691803,10000,0
296556.2567691803,20000,0
297300.3148288727,10000,10000
297301.2403230667,10000,0
298044.37288856506,20000,0
298045.37288856506,10000,10000
298045.37288856506,10000,0
298790.43094825745,0,10000
298790.43094825745,0,0
299534.4890079498,10000,0
300277.5470676422,20000,0
300279.5470676422,10000,10000
300279.5470676422,10000,0
301024.6051273346,0,10000
301025.5306215286,0,0
310711.3599033356,10000,0
311456.41796302795,0,10000
311456.41796302795,10000,10000
311457.343457222,10000,0
311457.41796302795,20000,0
312201.47602272034,10000,10000
312201.47602272034,10000,0
312946.5340824127,0,10000
312946.5340824127,0,0
325607.5210971832,10000,0
325608.5210971832,20000,0
326352.5791568756,10000,10000
326352.5791568756,20000,10000
326353.50465106964,20000,0
327097.637216568,10000,10000
327101.637216568,20000,10000
327102.562710762,20000,0
327842.6952762604,10000,10000
327847.6207704544,10000,0
328587.75333595276,0,10000
328592.6788301468,0,0
335298.2758731842,10000,0
336043.3339328766,0,10000
336043.3339328766,10000,10000
336044.2594270706,10000,0
336787.39199256897,20000,0
336788.39199256897,10000,10000
336788.39199256897,10000,0
337532.45005226135,20000,0
337533.45005226135,10000,10000
337533.45005226135,20000,0
338278.50811195374,10000,10000
338278.50811195374,10000,0
339023.5661716461,0,10000
339029.49166584015,0,0
345729.08870887756,10000,0
346474.14676856995,0,10000
346474.14676856995,10000,10000
346475.072262764,10000,0
347218.2048282623,20000,0
347219.2048282623,10000,10000
347219.2048282623,10000,0
347963.2628879547,20000,0
347964.2628879547,10000,10000
347964.2628879547,10000,0
348709.3209476471,0,10000
348709.3209476471,0,0
349453.3790073395,10000,0
