Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.5771, 20.9486, 355660

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.6302, 23.9128, 311572

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.9136, 20.3045, 366943

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.342, 385203

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.054, 19.4699, 382671
