Time,from_ingress_queue_size,to_ingress_queue_size
500,10000,nan
1245.0580596923828,0,10000
1248.0580596923828,0,0
2500,10000,0
3245.058059692383,0,10000
3248.058059692383,0,0
3745.4393100738525,10000,0
3746.4393100738525,20000,0
4490.497369766235,10000,10000
4490.497369766235,10000,0
5235.555429458618,0,10000
5241.480923652649,0,0
10236.317930221558,10000,0
10237.317930221558,20000,0
10981.37598991394,10000,10000
10982.37598991394,10000,0
11197.01990699768,20000,0
11726.434049606323,10000,10000
11729.434049606323,10000,0
12471.492109298706,0,10000
12471.492109298706,0,0
13431.19408607483,10000,0
14176.252145767212,0,10000
14176.252145767212,0,0
28334.355279922485,10000,0
28335.355279922485,20000,0
29079.413339614868,10000,10000
29080.3388338089,10000,0
29824.47139930725,0,10000
29824.47139930725,0,0
37272.05199623108,10000,0
38017.11005592346,0,10000
38017.11005592346,10000,10000
38018.03555011749,10000,0
38762.168115615845,0,10000
38763.093609809875,0,0
47702.86483192444,10000,0
47703.86483192444,20000,0
48447.92289161682,10000,10000
48448.84838581085,10000,0
49192.980951309204,0,10000
49194.980951309204,10000,10000
49195.906445503235,10000,0
49940.03901100159,0,10000
49940.03901100159,0,0
59623.79378700256,10000,0
60368.851846694946,0,10000
60368.851846694946,10000,10000
60369.77734088898,10000,0
60369.851846694946,20000,0
61113.90990638733,10000,10000
61116.83540058136,10000,0
61858.96796607971,0,10000
61860.96796607971,10000,10000
61861.89346027374,10000,0
62606.026025772095,0,10000
62606.951519966125,0,0
75273.0130405426,10000,0
75274.0130405426,20000,0
76018.07110023499,10000,10000
76018.07110023499,20000,10000
76018.99659442902,20000,0
76763.12915992737,10000,10000
76763.12915992737,10000,0
77508.18721961975,0,10000
77514.11271381378,0,0
86448.88393592834,10000,0
87190.94199562073,20000,0
87193.94199562073,10000,10000
87193.94199562073,10000,0
87939.00005531311,0,10000
87939.00005531311,0,0
88683.0581150055,10000,0
88684.0581150055,20000,0
89428.11617469788,10000,10000
89428.11617469788,10000,0
90173.17423439026,0,10000
90173.17423439026,0,0
98366.81289100647,10000,0
99111.87095069885,0,10000
99111.87095069885,10000,10000
99112.79644489288,10000,0
99856.92901039124,0,10000
99859.85450458527,0,0
100603.98707008362,10000,0
101349.045129776,0,10000
101349.045129776,0,0
102094.10318946838,10000,0
102095.10318946838,20000,0
102839.16124916077,10000,10000
102841.0867433548,10000,0
103584.21930885315,0,10000
103585.14480304718,0,0
111775.85796546936,10000,0
112520.91602516174,0,10000
112522.91602516174,10000,10000
112523.84151935577,10000,0
113267.97408485413,0,10000
113268.89957904816,0,0
114015.03214454651,10000,0
114759.09020423889,20000,0
114760.09020423889,10000,10000
114766.01569843292,10000,0
115505.14826393127,0,10000
115505.14826393127,10000,10000
115506.0737581253,10000,0
116250.20632362366,0,10000
116251.13181781769,0,0
128915.19333839417,10000,0
128916.19333839417,20000,0
129660.25139808655,10000,10000
129662.25139808655,20000,10000
129663.17689228058,20000,0
130405.30945777893,10000,10000
130407.23495197296,10000,0
131150.3675174713,0,10000
131152.29301166534,0,0
143816.35453224182,10000,0
144561.4125919342,0,10000
144561.4125919342,10000,10000
144562.33808612823,10000,0
145306.4706516266,0,10000
145308.39614582062,0,0
154992.22542762756,10000,0
155737.28348731995,0,10000
155737.28348731995,10000,10000
155738.20898151398,10000,0
155738.28348731995,20000,0
156482.34154701233,10000,10000
156483.26704120636,10000,0
157227.3996067047,0,10000
157229.32510089874,0,0
165423.03826332092,10000,0
166168.0963230133,0,10000
166169.02181720734,0,0
166914.1543827057,10000,0
167658.21244239807,20000,0
167659.21244239807,10000,10000
167659.21244239807,20000,10000
167665.1379365921,20000,0
168404.27050209045,10000,10000
168405.19599628448,10000,0
169149.32856178284,0,10000
169150.25405597687,0,0
182559.37363624573,10000,0
182560.37363624573,20000,0
183304.4316959381,10000,10000
183304.4316959381,20000,10000
183305.35719013214,20000,0
184049.4897556305,10000,10000
184051.41524982452,10000,0
184794.54781532288,0,10000
184796.4733095169,0,0
197462.53483009338,10000,0
198207.59288978577,0,10000
198207.59288978577,10000,10000
198208.5183839798,10000,0
198952.65094947815,0,10000
198952.65094947815,0,0
207891.34766578674,10000,0
208636.40572547913,0,10000
208636.40572547913,10000,10000
208637.33121967316,10000,0
209381.4637851715,0,10000
209382.38927936554,0,0
217577.10244178772,10000,0
218322.1605014801,0,10000
218323.08599567413,0,0
219067.21856117249,10000,0
219068.21856117249,20000,0
219812.27662086487,10000,10000
219813.2021150589,10000,0
220557.33468055725,0,10000
220559.26017475128,0,0
227261.8572177887,10000,0
228006.91527748108,0,10000
228008.8407716751,0,0
229498.03139686584,10000,0
230243.08945655823,0,10000
230243.08945655823,10000,10000
230244.01495075226,10000,0
230244.08945655823,20000,0
230988.1475162506,10000,10000
230990.07301044464,10000,0
231733.205575943,0,10000
231735.13107013702,0,0
239182.78617286682,10000,0
239927.8442325592,0,10000
239929.76972675323,0,0
241418.96035194397,10000,0
242164.01841163635,0,10000
242164.01841163635,10000,10000
242164.94390583038,10000,0
242909.07647132874,0,10000
242909.07647132874,10000,10000
242910.00196552277,10000,0
243654.13453102112,0,10000
243656.06002521515,0,0
252593.8312473297,10000,0
252594.8312473297,20000,0
253338.8893070221,10000,10000
253340.81480121613,10000,0
254083.94736671448,0,10000
254086.8728609085,0,0
257067.179605484,10000,0
257812.2376651764,0,10000
257813.16315937042,0,0
266749.934381485,10000,0
267494.99244117737,0,10000
267494.99244117737,10000,10000
267495.9179353714,10000,0
268240.05050086975,0,10000
268241.9759950638,0,0
268987.10856056213,10000,0
269732.1666202545,0,10000
269732.1666202545,0,0
280909.03751564026,10000,0
281654.09557533264,0,10000
281654.09557533264,0,0
282398.153635025,10000,0
283143.2116947174,0,10000
283145.13718891144,0,0
294320.08259010315,10000,0
295063.14064979553,20000,0
295064.14064979553,30000,0
295065.14064979553,20000,10000
295065.14064979553,20000,0
295810.1987094879,10000,10000
295810.1987094879,10000,0
296555.2567691803,0,10000
296561.1822633743,0,0
305492.9534854889,10000,0
306238.0115451813,0,10000
306239.9370393753,0,0
307731.12766456604,10000,0
308476.1857242584,0,10000
308476.1857242584,0,0
315923.76632118225,10000,0
316668.82438087463,0,10000
316669.74987506866,0,0
318159.9405002594,10000,0
318904.9985599518,0,10000
318904.9985599518,0,0
327099.637216568,10000,0
327100.637216568,20000,0
327844.6952762604,10000,10000
327845.6207704544,10000,0
328589.75333595276,0,10000
328590.6788301468,0,0
329335.81139564514,10000,0
330080.8694553375,0,10000
330080.8694553375,0,0
339765.6242313385,10000,0
340510.6822910309,0,10000
340511.6077852249,0,0
341257.74035072327,10000,0
341258.74035072327,20000,0
342002.79841041565,10000,10000
342002.79841041565,10000,0
342747.85647010803,0,10000
342748.78196430206,0,0
343491.9145298004,10000,0
344236.9725894928,0,10000
344236.9725894928,0,0
350197.43706703186,10000,0
350942.49512672424,0,10000
350942.49512672424,0,0
351688.5531864166,10000,0
352433.611246109,0,10000
352434.611246109,10000,10000
352435.53674030304,10000,0
353179.6693058014,0,10000
353179.6693058014,0,0
354667.78542518616,10000,0
354668.78542518616,20000,0
355412.84348487854,10000,10000
355412.84348487854,10000,0
