Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9474, 19.3664, 384717

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9925, 19.4102, 383848

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.661, 21.0301, 354282

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.5317, 20.7035, 359870

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.8402, 21.2041, 351375
