Time,from_ingress_queue_size,to_ingress_queue_size
2382.4697265625,1,nan
2383.2147846221924,0,nan
3383.2147846221924,0,1
3384.2147846221924,0,0
4383.4697265625,1,0
4384.214784622192,0,0
5384.214784622192,0,1
5385.214784622192,0,0
6768.429569244385,1,0
6769.174627304077,0,0
7769.174627304077,0,1
7770.174627304077,0,0
11154.38941192627,1,0
11155.134469985962,0,0
12155.134469985962,0,1
12156.134469985962,0,0
15540.349254608154,1,0
15541.094312667847,0,0
15731.084117889404,1,0
15731.829175949097,0,0
16541.094312667847,0,1
16542.094312667847,0,0
16731.829175949097,0,1
16732.829175949097,0,0
19926.30909729004,1,0
19927.05415534973,0,0
20117.04396057129,1,0
20117.78901863098,0,0
20927.05415534973,0,1
20928.05415534973,0,0
21117.78901863098,0,1
21118.78901863098,0,0
24312.268939971924,1,0
24313.013998031616,0,0
24503.003803253174,1,0
24503.748861312866,0,0
25313.013998031616,0,1
25314.013998031616,0,0
25503.748861312866,0,1
25504.748861312866,0,0
28698.22878265381,1,0
28698.9738407135,0,0
28888.96364593506,1,0
28889.70870399475,0,0
29079.69850921631,1,0
29080.443567276,0,0
29698.9738407135,0,1
29699.9738407135,0,0
29889.70870399475,0,1
29890.70870399475,0,0
30080.443567276,0,1
30081.443567276,0,0
33084.18862533569,1,0
33084.933683395386,0,0
33274.92348861694,1,0
33275.668546676636,0,0
33465.65835189819,1,0
33466.403409957886,0,0
34084.933683395386,0,1
34085.933683395386,0,0
34275.668546676636,0,1
34276.668546676636,0,0
34466.403409957886,0,1
34467.403409957886,0,0
37470.14846801758,1,0
37470.89352607727,0,0
37660.88333129883,1,0
37661.62838935852,0,0
37851.61819458008,1,0
37852.36325263977,0,0
38042.35305786133,1,0
38043.09811592102,0,0
38470.89352607727,0,1
38471.89352607727,0,0
38661.62838935852,0,1
38662.62838935852,0,0
38852.36325263977,0,1
38853.36325263977,0,0
39043.09811592102,0,1
39044.09811592102,0,0
41856.10831069946,1,0
41856.853368759155,0,0
42046.84317398071,1,0
42047.588232040405,0,0
42237.57803726196,1,0
42238.323095321655,0,0
42428.31290054321,1,0
42429.057958602905,0,0
42856.853368759155,0,1
42857.853368759155,0,0
43047.588232040405,0,1
43048.588232040405,0,0
43238.323095321655,0,1
43239.323095321655,0,0
43429.057958602905,0,1
43430.057958602905,0,0
46242.06815338135,1,0
46242.81321144104,0,0
46432.8030166626,1,0
46433.54807472229,0,0
46623.53787994385,1,0
46624.28293800354,0,0
46814.2727432251,1,0
46815.01780128479,0,0
47242.81321144104,0,1
47243.81321144104,0,0
47433.54807472229,0,1
47434.54807472229,0,0
47624.28293800354,0,1
47625.28293800354,0,0
47815.01780128479,0,1
47816.01780128479,0,0
50628.02799606323,1,0
50628.773054122925,0,0
50818.76285934448,1,0
50819.507917404175,0,0
51009.49772262573,1,0
51010.242780685425,0,0
51200.23258590698,1,0
51200.977643966675,0,0
51390.96744918823,1,0
51391.712507247925,0,0
51628.773054122925,0,1
51629.773054122925,0,0
51819.507917404175,0,1
51820.507917404175,0,0
52010.242780685425,0,1
52011.242780685425,0,0
52200.977643966675,0,1
52201.977643966675,0,0
52391.712507247925,0,1
52392.712507247925,0,0
55013.98783874512,1,0
55014.73289680481,0,0
55204.72270202637,1,0
55205.46776008606,0,0
55395.45756530762,1,0
55396.20262336731,0,0
55586.19242858887,1,0
55586.93748664856,0,0
55776.92729187012,1,0
55777.67234992981,0,0
56014.73289680481,0,1
56015.73289680481,0,0
56205.46776008606,0,1
56206.46776008606,0,0
56396.20262336731,0,1
56397.20262336731,0,0
56586.93748664856,0,1
56587.93748664856,0,0
56777.67234992981,0,1
56778.67234992981,0,0
59399.947681427,1,0
59400.692739486694,0,0
59590.68254470825,1,0
59591.427602767944,0,0
59781.4174079895,1,0
59782.162466049194,0,0
59972.15227127075,1,0
59972.897329330444,0,0
60162.887134552,1,0
60163.632192611694,0,0
60353.62199783325,1,0
60354.367055892944,0,0
60400.692739486694,0,1
60401.692739486694,0,0
60591.427602767944,0,1
60592.427602767944,0,0
60782.162466049194,0,1
60783.162466049194,0,0
60972.897329330444,0,1
60973.897329330444,0,0
61163.632192611694,0,1
61164.632192611694,0,0
61354.367055892944,0,1
61355.367055892944,0,0
63785.90752410889,1,0
63786.65258216858,0,0
63976.64238739014,1,0
63977.38744544983,0,0
64167.37725067139,1,0
64168.12230873108,0,0
64358.11211395264,1,0
64358.85717201233,0,0
64548.84697723389,1,0
64549.59203529358,0,0
64739.58184051514,1,0
64740.32689857483,0,0
64786.65258216858,0,1
64787.65258216858,0,0
64977.38744544983,0,1
64978.38744544983,0,0
65168.12230873108,0,1
65169.12230873108,0,0
65358.85717201233,0,1
65359.85717201233,0,0
65549.59203529358,0,1
65550.59203529358,0,0
65740.32689857483,0,1
65741.32689857483,0,0
68171.86736679077,1,0
68172.61242485046,0,0
68362.60223007202,1,0
68363.34728813171,0,0
68553.33709335327,1,0
68554.08215141296,0,0
68744.07195663452,1,0
68744.81701469421,0,0
68934.80681991577,1,0
68935.55187797546,0,0
69125.54168319702,1,0
69126.28674125671,0,0
69172.61242485046,0,1
69173.61242485046,0,0
69363.34728813171,0,1
69364.34728813171,0,0
69554.08215141296,0,1
69555.08215141296,0,0
69744.81701469421,0,1
69745.81701469421,0,0
69935.55187797546,0,1
69936.55187797546,0,0
70126.28674125671,0,1
70127.28674125671,0,0
72557.82720947266,1,0
72558.57226753235,0,0
72748.5620727539,1,0
72749.3071308136,0,0
72939.29693603516,1,0
72940.04199409485,0,0
73130.0317993164,1,0
73130.7768573761,0,0
73320.76666259766,1,0
73321.51172065735,0,0
73511.5015258789,1,0
73512.2465839386,0,0
73558.57226753235,0,1
73559.57226753235,0,0
73702.23638916016,1,0
73702.98144721985,0,0
73749.3071308136,0,1
73750.3071308136,0,0
73940.04199409485,0,1
73941.04199409485,0,0
74130.7768573761,0,1
74131.7768573761,0,0
74321.51172065735,0,1
74322.51172065735,0,0
74512.2465839386,0,1
74513.2465839386,0,0
74702.98144721985,0,1
74703.98144721985,0,0
76943.78705215454,1,0
76944.53211021423,0,0
77134.52191543579,1,0
77135.26697349548,0,0
77325.25677871704,1,0
77326.00183677673,0,0
