Time,from_ingress_queue_size,to_ingress_queue_size
3745.3648042678833,1,nan
3745.4393100738525,0,1
3745.4393100738525,0,0
8212.71316242218,1,0
8212.78766822815,0,1
8212.78766822815,0,0
11196.945401191711,1,0
11197.01990699768,0,1
11197.01990699768,0,0
13431.11958026886,1,0
13431.19408607483,0,1
13431.19408607483,0,0
22373.816296577454,1,0
22373.890802383423,0,1
22373.890802383423,0,0
23858.93241596222,1,0
23859.00692176819,0,1
23859.00692176819,0,0
24605.990475654602,1,0
24606.06498146057,0,1
24606.06498146057,0,0
28334.280774116516,1,0
28334.355279922485,0,1
28334.355279922485,0,0
35779.861371040344,1,0
35779.93587684631,0,1
35779.93587684631,0,0
44720.55808734894,1,0
44720.63259315491,0,1
44720.63259315491,0,0
45465.61614704132,1,0
45465.69065284729,0,1
45465.69065284729,0,0
55896.42898273468,1,0
55896.50348854065,0,1
55896.50348854065,0,0
56641.48704242706,1,0
56641.56154823303,0,1
56641.56154823303,0,0
69309.47405719757,1,0
69309.54856300354,0,1
69309.54856300354,0,0
70052.53211688995,1,0
70052.60662269592,0,1
70052.60662269592,0,0
70797.59017658234,1,0
70797.6646823883,0,1
70797.6646823883,0,0
84213.63525104523,1,0
84213.7097568512,0,1
84213.7097568512,0,0
85702.75137042999,1,0
85702.82587623596,0,1
85702.82587623596,0,0
86443.80943012238,1,0
86443.88393592834,0,1
86443.88393592834,0,0
87188.86748981476,1,0
87188.94199562073,0,1
87188.94199562073,0,0
97621.68032550812,1,0
97621.75483131409,0,1
97621.75483131409,0,0
99854.85450458527,1,0
99854.92901039124,0,1
99854.92901039124,0,0
100599.91256427765,1,0
100599.98707008362,0,1
100599.98707008362,0,0
109545.60928058624,1,0
109545.68378639221,0,1
109545.68378639221,0,0
112520.84151935577,1,0
112520.91602516174,0,1
112520.91602516174,0,0
121466.53823566437,1,0
121466.61274147034,0,1
121466.61274147034,0,0
124441.7704744339,1,0
124441.84498023987,0,1
124441.84498023987,0,0
132639.4091310501,1,0
132639.48363685608,0,1
132639.48363685608,0,0
133383.4671907425,1,0
133383.54169654846,0,1
133383.54169654846,0,0
136367.69942951202,1,0
136367.773935318,0,1
136367.773935318,0,0
145306.39614582062,1,0
145306.4706516266,0,1
145306.4706516266,0,0
147543.57032489777,1,0
147543.64483070374,0,1
147543.64483070374,0,0
157227.32510089874,1,0
157227.3996067047,0,1
157227.3996067047,0,0
159459.4992799759,1,0
