Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 27.8862, 27.074, 275194

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.6301, 21.0001, 354788

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9416, 19.3607, 384829

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.4722, 19.6848, 378495

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.98, 21.3398, 349139
