Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9861, 19.404, 383972

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.0705, 19.4859, 382358

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4973, 19.9002, 374396

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 23.9627, 23.041, 323361

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
