Time,from_ingress_queue_size,to_ingress_queue_size
388,10000,nan
1133.0580596923828,0,10000
1136.0580596923828,0,0
2388,10000,0
2998.3812503814697,20000,0
2999.3812503814697,30000,0
3133.058059692383,20000,10000
3136.058059692383,20000,0
3878.1161193847656,10000,10000
3881.1161193847656,10000,0
4623.174179077148,0,10000
4624.174179077148,0,0
8219.14375114441,10000,0
8220.14375114441,20000,0
8964.201810836792,10000,10000
8966.201810836792,10000,0
9709.259870529175,0,10000
9711.259870529175,0,0
10449.961847305298,10000,0
11195.01990699768,0,10000
11199.945401191711,0,0
11942.077966690063,10000,0
12687.136026382446,0,10000
12690.061520576477,0,0
23113.948862075806,10000,0
23859.00692176819,0,10000
23860.93241596222,0,0
25354.123041152954,10000,0
25355.123041152954,20000,0
26099.181100845337,10000,10000
26101.181100845337,10000,0
26844.23916053772,0,10000
26846.23916053772,0,0
35039.87781715393,10000,0
35784.93587684631,0,10000
35786.93587684631,0,0
36524.993936538696,10000,0
37270.05199623108,0,10000
37270.97749042511,0,0
37274.05199623108,10000,0
37275.05199623108,20000,0
38019.11005592346,10000,10000
38022.03555011749,10000,0
38764.168115615845,0,10000
38766.168115615845,0,0
43231.51647377014,10000,0
43976.574533462524,0,10000
43978.574533462524,0,0
45470.69065284729,10000,0
46215.74871253967,0,10000
46217.74871253967,0,0
46957.806772232056,10000,0
47702.86483192444,0,10000
47707.79032611847,0,0
48447.92289161682,10000,0
49192.980951309204,0,10000
49196.906445503235,0,0
55152.44542884827,10000,0
55153.44542884827,20000,0
55897.50348854065,10000,10000
55899.50348854065,10000,0
56642.56154823303,0,10000
56644.56154823303,0,0
57386.619607925415,10000,0
58131.6776676178,0,10000
58132.60316181183,0,0
58880.73572731018,10000,0
59625.79378700256,0,10000
59628.719281196594,0,0
60368.851846694946,10000,0
61113.90990638733,0,10000
61117.83540058136,0,0
67073.37438392639,10000,0
67818.43244361877,0,10000
67821.3579378128,0,0
68564.49050331116,10000,0
68565.49050331116,20000,0
69309.54856300354,10000,10000
69310.54856300354,10000,0
70054.60662269592,0,10000
70055.60662269592,0,0
70797.6646823883,10000,0
71542.72274208069,0,10000
71543.64823627472,0,0
73036.83886146545,10000,0
73781.89692115784,0,10000
73784.82241535187,0,0
75273.0130405426,10000,0
76018.07110023499,0,10000
76020.99659442902,0,0
81228.47751808167,10000,0
81973.53557777405,0,10000
81977.46107196808,0,0
82719.59363746643,10000,0
83464.65169715881,0,10000
83466.65169715881,0,0
84210.7097568512,10000,0
84211.7097568512,20000,0
84955.76781654358,10000,10000
84961.69331073761,10000,0
85700.82587623596,0,10000
85703.75137042999,0,0
99859.92901039124,10000,0
99860.92901039124,20000,0
100604.98707008362,10000,10000
100604.98707008362,20000,10000
100605.98707008362,30000,10000
100607.91256427765,30000,0
101350.045129776,20000,10000
101352.045129776,20000,0
102095.10318946838,10000,10000
102101.02868366241,10000,0
102840.16124916077,0,10000
102841.16124916077,0,0
109545.68378639221,10000,0
110290.7418460846,0,10000
110290.7418460846,10000,10000
110293.66734027863,10000,0
111035.79990577698,0,10000
111037.79990577698,0,0
111777.85796546936,10000,0
112522.91602516174,0,10000
112528.84151935577,0,0
113267.97408485413,10000,0
114013.03214454651,0,10000
114017.95763874054,0,0
120716.55468177795,10000,0
120717.55468177795,20000,0
121461.61274147034,10000,10000
121463.53823566437,10000,0
121466.61274147034,20000,0
122206.67080116272,10000,10000
122208.59629535675,10000,0
122211.67080116272,20000,0
122951.7288608551,10000,10000
122953.65435504913,10000,0
123696.78692054749,0,10000
123698.71241474152,0,0
123701.78692054749,10000,0
124446.84498023987,0,10000
124448.84498023987,0,0
132638.48363685608,10000,0
133382.54169654846,20000,0
133383.54169654846,10000,10000
133383.54169654846,20000,10000
133385.54169654846,20000,0
134128.59975624084,10000,10000
134132.52525043488,10000,0
134873.65781593323,0,10000
134877.58331012726,0,0
144559.4125919342,10000,0
145303.4706516266,20000,0
145304.4706516266,10000,10000
145304.4706516266,20000,10000
145306.4706516266,20000,0
146049.52871131897,10000,10000
146050.52871131897,20000,10000
146053.454205513,20000,0
146794.58677101135,10000,10000
146798.51226520538,10000,0
147539.64483070374,0,10000
147543.57032489777,0,0
157225.3996067047,10000,0
157969.4576663971,20000,0
157970.4576663971,10000,10000
157972.4576663971,10000,0
158715.51572608948,0,10000
158716.51572608948,10000,10000
158719.4412202835,10000,0
159461.57378578186,0,10000
159464.4992799759,0,0
160206.63184547424,10000,0
160207.63184547424,20000,0
160951.68990516663,10000,10000
160956.61539936066,10000,0
161696.747964859,0,10000
161699.67345905304,0,0
170636.4446811676,10000,0
171380.50274085999,20000,0
171381.50274085999,10000,10000
171383.50274085999,10000,0
172126.56080055237,0,10000
172127.56080055237,10000,10000
172130.4862947464,10000,0
172872.61886024475,0,10000
172875.54435443878,0,0
173617.67691993713,10000,0
174362.73497962952,0,10000
174364.73497962952,10000,10000
174365.73497962952,20000,10000
