Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.6265, 20.0257, 372051

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4287, 19.8337, 375652

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.8451, 21.2088, 351297

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 22.2218, 21.3671, 348693

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9371, 19.3564, 384916
