Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 22.9075, 22.0264, 338257

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 29.5971, 28.7351, 259285

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.5176, 19.92, 374024

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.0389, 19.4552, 382960

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200
