Time,from_ingress_queue_size,to_ingress_queue_size
1918.8,1,nan
1926.25,0,nan
1927.25,0,0
2874.47,1,0
2881.92,0,0
2882.92,0,0
3828.15,1,0
3835.6,0,0
3836.6,0,0
4781.82,1,0
4789.27,0,0
4790.27,0,0
5735.5,1,0
5742.95,0,0
5743.95,0,0
6689.17,1,0
6696.62,0,0
6697.62,0,0
7642.85,1,0
7650.3,0,0
7651.3,0,0
8596.52,1,0
8603.97,0,0
8604.97,0,0
9550.19,1,0
9557.64,0,0
9558.64,0,0
10503.9,1,0
10511.3,0,0
10512.3,0,0
11457.5,1,0
11465,0,0
11466,0,0
12411.2,1,0
12418.7,0,0
12419.7,0,0
13364.9,1,0
13372.3,0,0
13373.3,0,0
14318.6,1,0
14326,0,0
14327,0,0
15272.2,1,0
15279.7,0,0
15280.7,0,0
16225.9,1,0
16233.4,0,0
16234.4,0,0
17179.6,1,0
17187,0,0
17188,0,0
18133.3,1,0
18140.7,0,0
18141.7,0,0
19086.9,1,0
19094.4,0,0
19095.4,0,0
20040.6,1,0
20048.1,0,0
20049.1,0,0
20994.3,1,0
21001.7,0,0
21002.7,0,0
21948,1,0
21955.4,0,0
21956.4,0,0
22901.6,1,0
22909.1,0,0
22910.1,0,0
23855.3,1,0
23862.8,0,0
23863.8,0,0
24809,1,0
24816.4,0,0
24817.4,0,0
25762.7,1,0
25770.1,0,0
25771.1,0,0
26716.3,1,0
26723.8,0,0
26724.8,0,0
27670,1,0
27677.5,0,0
27678.5,0,0
28623.7,1,0
28631.1,0,0
28632.1,0,0
29577.4,1,0
29584.8,0,0
29585.8,0,0
30531,1,0
30538.5,0,0
30539.5,0,0
31484.7,1,0
31492.2,0,0
31493.2,0,0
32438.4,1,0
32445.8,0,0
32446.8,0,0
33392.1,1,0
33399.5,0,0
33400.5,0,0
34345.7,1,0
34353.2,0,0
34354.2,0,0
35299.4,1,0
35306.9,0,0
35307.9,0,0
36253.1,1,0
36260.5,0,0
36261.5,0,0
37206.7,1,0
37214.2,0,0
37215.2,0,0
38160.4,1,0
38167.9,0,0
38168.9,0,0
39114.1,1,0
39121.5,0,0
39122.5,0,0
40067.8,1,0
40075.2,0,0
40076.2,0,0
41021.4,1,0
41028.9,0,0
41029.9,0,0
41975.1,1,0
41982.6,0,0
41983.6,0,0
42928.8,1,0
42936.2,0,0
42937.2,0,0
43882.5,1,0
43889.9,0,0
43890.9,0,0
44836.1,1,0
44843.6,0,0
44844.6,0,0
45789.8,1,0
