Time,from_ingress_queue_size,to_ingress_queue_size
1490.19,1,nan
1490.27,0,0
5216.48,1,0
5216.56,0,0
8943.77,1,0
8943.85,0,0
13412.1,1,0
13412.2,0,0
15646.3,1,0
15646.4,0,0
17141.4,1,0
17141.5,0,0
18630.5,1,0
18630.6,0,0
20866.7,1,0
20866.8,0,0
27569.2,1,0
27569.3,0,0
32037.6,1,0
32037.6,0,0
32787.6,1,0
32787.7,0,0
40979.3,1,0
40979.3,0,0
41723.3,1,0
41723.4,0,0
52159.1,1,0
52159.2,0,0
53648.3,1,0
53648.3,0,0
62586,1,0
62586,0,0
64075.1,1,0
64075.1,0,0
64820.1,1,0
64820.2,0,0
75997,1,0
75997.1,0,0
78236.2,1,0
78236.2,0,0
78981.2,1,0
78981.3,0,0
79725.3,1,0
79725.4,0,0
92387.3,1,0
92387.3,0,0
95372.5,1,0
95372.6,0,0
96117.6,1,0
96117.6,0,0
106544,1,0
106544,0,0
119954,1,0
119954,0,0
120699,1,0
120700,0,0
134111,1,0
134111,0,0
134861,1,0
134861,0,0
146031,1,0
146032,0,0
146777,1,0
146777,0,0
160188,1,0
160188,0,0
160933,1,0
160933,0,0
175090,1,0
175090,0,0
189246,1,0
189246,0,0
189990,1,0
189990,0,0
201166,1,0
201166,0,0
201911,1,0
201911,0,0
213837,1,0
213837,0,0
214582,1,0
214582,0,0
215326,1,0
215326,0,0
227988,1,0
227988,0,0
228733,1,0
228733,0,0
229482,1,0
229482,0,0
230972,1,0
230972,0,0
242145,1,0
242145,0,0
242894,1,0
242894,0,0
243638,1,0
243638,0,0
245128,1,0
245128,0,0
245872,1,0
245872,0,0
255556,1,0
255556,0,0
256301,1,0
256301,0,0
257046,1,0
257046,0,0
258540,1,0
258540,0,0
259285,1,0
259285,0,0
260030,1,0
260030,0,0
266731,1,0
266731,0,0
268225,1,0
268225,0,0
268971,1,0
268971,0,0
269715,1,0
269715,0,0
277907,1,0
277907,0,0
280146,1,0
280146,0,0
280892,1,0
280892,0,0
281636,1,0
281636,0,0
291319,1,0
291319,0,0
292064,1,0
292064,0,0
292812,1,0
292812,0,0
293558,1,0
293558,0,0
294303,1,0
294303,0,0
303984,1,0
303984,0,0
304730,1,0
304730,0,0
305478,1,0
305478,0,0
314415,1,0
314415,0,0
315161,1,0
315161,0,0
315909,1,0
315909,0,0
316654,1,0
316654,0,0
326336,1,0
326336,0,0
327082,1,0
327082,0,0
327830,1,0
327830,0,0
328575,1,0
328575,0,0
329320,1,0
329320,0,0
341242,1,0
341242,0,0
341987,1,0
341987,0,0
342731,1,0
342731,0,0
343476,1,0
343476,0,0
344221,1,0
344221,0,0
355398,1,0
355398,0,0
356143,1,0
356143,0,0
356887,1,0
356887,0,0
364338,1,0
364339,0,0
365084,1,0
365084,0,0
365828,1,0
365828,0,0
367318,1,0
367318,0,0
370294,1,0
370294,0,0
371039,1,0
371039,0,0
371784,1,0
371784,0,0
373278,1,0
373278,0,0
374024,1,0
374024,0,0
376999,1,0
377000,0,0
378495,1,0
378495,0,0
379240,1,0
379240,0,0
379985,1,0
379985,0,0
380730,1,0
380730,0,0
