Time,from_ingress_queue_size,to_ingress_queue_size
3826.15,1,nan
3833.6,0,nan
3834.6,0,0
5826.15,1,0
5833.6,0,0
5834.6,0,0
7735.5,1,0
7742.95,0,0
7743.95,0,0
9644.85,1,0
9652.3,0,0
9653.3,0,0
11569.1,1,0
11576.5,0,0
11577.5,0,0
13482.4,1,0
13489.9,0,0
13490.9,0,0
15402.7,1,0
15410.1,0,0
15411.1,0,0
17312,1,0
17319.5,0,0
17320.5,0,0
19219.4,1,0
19226.8,0,0
19227.8,0,0
21126.7,1,0
21134.2,0,0
21135.2,0,0
23034.1,1,0
23041.5,0,0
23042.5,0,0
24941.4,1,0
24948.9,0,0
24949.9,0,0
26848.8,1,0
26856.2,0,0
26857.2,0,0
28756.1,1,0
28763.6,0,0
28764.6,0,0
30663.5,1,0
30670.9,0,0
30671.9,0,0
32570.8,1,0
32578.3,0,0
32579.3,0,0
34478.2,1,0
34485.6,0,0
34486.6,0,0
36385.5,1,0
36393,0,0
36394,0,0
38292.9,1,0
38300.3,0,0
38301.3,0,0
40200.2,1,0
40207.7,0,0
40208.7,0,0
42107.6,1,0
42115,0,0
42116,0,0
44014.9,1,0
44022.4,0,0
44023.4,0,0
45922.3,1,0
45929.7,0,0
45930.7,0,0
47829.6,1,0
47837.1,0,0
47838.1,0,0
49737,1,0
49744.4,0,0
49745.4,0,0
51644.3,1,0
51651.8,0,0
51652.8,0,0
53551.7,1,0
53559.1,0,0
53560.1,0,0
55459,1,0
55466.5,0,0
55467.5,0,0
57366.4,1,0
57373.8,0,0
57374.8,0,0
59273.7,1,0
59281.2,0,0
59282.2,0,0
61181.1,1,0
61188.5,0,0
61189.5,0,0
63088.4,1,0
63095.9,0,0
63096.9,0,0
64995.8,1,0
65003.2,0,0
65004.2,0,0
66903.1,1,0
66910.6,0,0
66911.6,0,0
68810.5,1,0
68817.9,0,0
68818.9,0,0
70717.8,1,0
70725.3,0,0
70726.3,0,0
72625.2,1,0
72632.6,0,0
72633.6,0,0
74532.5,1,0
74540,0,0
74541,0,0
76439.8,1,0
76447.3,0,0
76448.3,0,0
78347.2,1,0
78354.6,0,0
78355.6,0,0
80254.5,1,0
80262,0,0
80263,0,0
82161.9,1,0
82169.3,0,0
82170.3,0,0
84069.2,1,0
84076.7,0,0
84077.7,0,0
85976.6,1,0
85984,0,0
85985,0,0
87883.9,1,0
87891.4,0,0
87892.4,0,0
89791.3,1,0
89798.7,0,0
89799.7,0,0
91698.6,1,0
91706.1,0,0
91707.1,0,0
93606,1,0
93613.4,0,0
93614.4,0,0
95513.3,1,0
95520.8,0,0
95521.8,0,0
97420.7,1,0
97428.1,0,0
97429.1,0,0
99328,1,0
99335.5,0,0
99336.5,0,0
101235,1,0
101243,0,0
101244,0,0
103143,1,0
103150,0,0
103151,0,0
105050,1,0
105058,0,0
105059,0,0
106957,1,0
106965,0,0
106966,0,0
108865,1,0
108872,0,0
108873,0,0
110772,1,0
110780,0,0
110781,0,0
112679,1,0
112687,0,0
112688,0,0
114587,1,0
114594,0,0
114595,0,0
116494,1,0
116502,0,0
116503,0,0
118402,1,0
118409,0,0
118410,0,0
120309,1,0
120316,0,0
120317,0,0
122216,1,0
122224,0,0
122225,0,0
124124,1,0
124131,0,0
124132,0,0
126031,1,0
126038,0,0
126039,0,0
127938,1,0
127946,0,0
127947,0,0
129846,1,0
129853,0,0
129854,0,0
131753,1,0
131760,0,0
131761,0,0
133660,1,0
133668,0,0
133669,0,0
135568,1,0
135575,0,0
135576,0,0
137475,1,0
137482,0,0
137483,0,0
139382,1,0
139390,0,0
139391,0,0
141290,1,0
141297,0,0
141298,0,0
143197,1,0
143205,0,0
143206,0,0
145104,1,0
145112,0,0
145113,0,0
147012,1,0
147019,0,0
147020,0,0
148919,1,0
148927,0,0
148928,0,0
150826,1,0
150834,0,0
150835,0,0
152734,1,0
152741,0,0
152742,0,0
154641,1,0
154649,0,0
154650,0,0
156548,1,0
156556,0,0
156557,0,0
158456,1,0
158463,0,0
158464,0,0
160363,1,0
160371,0,0
160372,0,0
162271,1,0
162278,0,0
162279,0,0
164178,1,0
164185,0,0
164186,0,0
166085,1,0
166093,0,0
166094,0,0
167993,1,0
168000,0,0
168001,0,0
169900,1,0
169907,0,0
169908,0,0
171807,1,0
171815,0,0
171816,0,0
173715,1,0
173722,0,0
173723,0,0
175622,1,0
175629,0,0
175630,0,0
177529,1,0
177537,0,0
177538,0,0
179437,1,0
179444,0,0
179445,0,0
181344,1,0
181351,0,0
181352,0,0
183251,1,0
183259,0,0
183260,0,0
185159,1,0
185166,0,0
185167,0,0
187066,1,0
187074,0,0
187075,0,0
188973,1,0
188981,0,0
188982,0,0
190881,1,0
190888,0,0
190889,0,0
192788,1,0
192796,0,0
192797,0,0
194695,1,0
194703,0,0
194704,0,0
196603,1,0
196610,0,0
196611,0,0
198510,1,0
198518,0,0
198519,0,0
200418,1,0
200425,0,0
200426,0,0
202325,1,0
202332,0,0
202333,0,0
204232,1,0
204240,0,0
204241,0,0
206140,1,0
206147,0,0
206148,0,0
208047,1,0
208054,0,0
208055,0,0
209954,1,0
209962,0,0
209963,0,0
211862,1,0
211869,0,0
211870,0,0
213769,1,0
213776,0,0
213777,0,0
215676,1,0
215684,0,0
215685,0,0
217584,1,0
217591,0,0
217592,0,0
219491,1,0
219498,0,0
219499,0,0
221398,1,0
221406,0,0
221407,0,0
223306,1,0
223313,0,0
223314,0,0
225213,1,0
225220,0,0
225221,0,0
227120,1,0
227128,0,0
227129,0,0
229028,1,0
229035,0,0
229036,0,0
230935,1,0
230943,0,0
230944,0,0
232842,1,0
232850,0,0
232851,0,0
234750,1,0
234757,0,0
234758,0,0
236657,1,0
236665,0,0
236666,0,0
238564,1,0
238572,0,0
238573,0,0
240472,1,0
240479,0,0
240480,0,0
242379,1,0
242387,0,0
242388,0,0
244287,1,0
244294,0,0
244295,0,0
246194,1,0
246201,0,0
246202,0,0
248101,1,0
248109,0,0
248110,0,0
250009,1,0
250016,0,0
250017,0,0
251916,1,0
251923,0,0
251924,0,0
253823,1,0
253831,0,0
253832,0,0
255731,1,0
255738,0,0
255739,0,0
257638,1,0
257645,0,0
257646,0,0
259545,1,0
259553,0,0
259554,0,0
261453,1,0
261460,0,0
261461,0,0
263360,1,0
263367,0,0
263368,0,0
265267,1,0
265275,0,0
265276,0,0
267175,1,0
267182,0,0
267183,0,0
269082,1,0
269090,0,0
269091,0,0
270989,1,0
270997,0,0
270998,0,0
272897,1,0
272904,0,0
272905,0,0
274804,1,0
274812,0,0
274813,0,0
276711,1,0
276719,0,0
276720,0,0
278619,1,0
278626,0,0
278627,0,0
280526,1,0
280534,0,0
280535,0,0
282434,1,0
282441,0,0
282442,0,0
284341,1,0
284348,0,0
284349,0,0
286248,1,0
286256,0,0
286257,0,0
288156,1,0
288163,0,0
288164,0,0
290063,1,0
290070,0,0
290071,0,0
291970,1,0
291978,0,0
291979,0,0
293878,1,0
293885,0,0
293886,0,0
295785,1,0
295792,0,0
295793,0,0
297692,1,0
297700,0,0
297701,0,0
299600,1,0
299607,0,0
299608,0,0
301507,1,0
301514,0,0
301515,0,0
303414,1,0
303422,0,0
303423,0,0
305322,1,0
305329,0,0
305330,0,0
307229,1,0
307236,0,0
307237,0,0
309136,1,0
309144,0,0
309145,0,0
311044,1,0
311051,0,0
311052,0,0
312951,1,0
312959,0,0
312960,0,0
314858,1,0
314866,0,0
314867,0,0
316766,1,0
316773,0,0
316774,0,0
318673,1,0
318681,0,0
318682,0,0
320580,1,0
320588,0,0
320589,0,0
322488,1,0
322495,0,0
322496,0,0
324395,1,0
324403,0,0
324404,0,0
326303,1,0
326310,0,0
326311,0,0
328210,1,0
328217,0,0
328218,0,0
330117,1,0
330125,0,0
330126,0,0
332025,1,0
332032,0,0
332033,0,0
333932,1,0
333939,0,0
333940,0,0
335839,1,0
335847,0,0
