Time,from_ingress_queue_size,to_ingress_queue_size
1526.88,2048,nan
3052.76,0,2048
3053.76,0,0
3527.88,2048,0
5053.76,2048,2048
5055.76,2048,0
6579.64,2048,2048
6580.64,2048,0
8105.52,0,2048
8107.52,0,0
8110.01,2048,0
9635.88,0,2048
9636.88,0,0
9638.88,2048,0
11164.8,0,2048
11166.3,2048,2048
11166.8,2048,0
12692.1,2048,2048
12693.1,2048,0
14218,2048,2048
14220,2048,0
15743.9,2048,2048
15744.9,2048,0
17269.8,2048,2048
17271.8,2048,0
18795.6,2048,2048
18796.6,2048,0
20321.5,2048,2048
20323.5,2048,0
21847.4,2048,2048
21848.4,2048,0
23373.3,2048,2048
23375.3,2048,0
24899.2,2048,2048
24900.2,2048,0
26425,2048,2048
26427,2048,0
27950.9,2048,2048
27951.9,2048,0
29476.8,2048,2048
29478.8,2048,0
31002.7,2048,2048
31003.7,2048,0
32528.6,2048,2048
32530.6,2048,0
34054.4,2048,2048
34055.4,2048,0
35580.3,2048,2048
35582.3,2048,0
37106.2,2048,2048
37107.2,2048,0
38632.1,2048,2048
38634.1,2048,0
40158,2048,2048
40159,2048,0
41683.8,2048,2048
41685.8,2048,0
43209.7,2048,2048
43210.7,2048,0
44735.6,2048,2048
44737.6,2048,0
46261.5,2048,2048
46262.5,2048,0
47787.3,2048,2048
47789.3,2048,0
49313.2,2048,2048
49314.2,2048,0
50839.1,2048,2048
50841.1,2048,0
52365,2048,2048
52366,2048,0
53890.9,2048,2048
53892.9,2048,0
55416.7,2048,2048
55417.7,2048,0
56942.6,2048,2048
56944.6,2048,0
58468.5,2048,2048
58469.5,2048,0
59994.4,2048,2048
59996.4,2048,0
61520.3,2048,2048
61521.3,2048,0
63046.1,2048,2048
63048.1,2048,0
64572,2048,2048
64573,2048,0
66097.9,2048,2048
66099.9,2048,0
67623.8,2048,2048
67624.8,2048,0
69149.7,2048,2048
69151.7,2048,0
70675.5,2048,2048
70676.5,2048,0
72201.4,2048,2048
72203.4,2048,0
73727.3,2048,2048
73728.3,2048,0
75253.2,2048,2048
75255.2,2048,0
76779,2048,2048
76780,2048,0
78304.9,2048,2048
78306.9,2048,0
79830.8,2048,2048
79831.8,2048,0
81356.7,2048,2048
81358.7,2048,0
82882.6,2048,2048
82883.6,2048,0
84408.4,2048,2048
84410.4,2048,0
85934.3,2048,2048
85935.3,2048,0
87460.2,2048,2048
87462.2,2048,0
88986.1,2048,2048
88987.1,2048,0
90512,2048,2048
90514,2048,0
92037.8,2048,2048
92038.8,2048,0
93563.7,2048,2048
93565.7,2048,0
95089.6,2048,2048
95091.6,2048,0
96615.5,2048,2048
96617.5,2048,0
98141.4,2048,2048
98143.4,2048,0
99667.2,2048,2048
99669.2,2048,0
101193,2048,2048
101195,2048,0
102719,2048,2048
102720,2048,0
104245,2048,2048
104247,2048,0
105771,0,2048
105773,0,0
109529,2048,0
111055,0,2048
111056,0,0
111507,2048,0
113033,2048,2048
113034,2048,0
114559,2048,2048
114561,2048,0
116085,0,2048
116086,0,0
116092,2048,0
117618,2048,2048
117620,2048,0
119144,2048,2048
119145,2048,0
120670,2048,2048
120672,2048,0
122196,2048,2048
122197,2048,0
123722,2048,2048
123724,2048,0
125247,2048,2048
125248,2048,0
126773,2048,2048
126775,2048,0
128299,2048,2048
128300,2048,0
129825,2048,2048
129827,2048,0
131351,2048,2048
131352,2048,0
132877,2048,2048
132879,2048,0
134403,2048,2048
134404,2048,0
135929,2048,2048
135931,2048,0
137454,2048,2048
137455,2048,0
138980,2048,2048
138982,2048,0
140506,2048,2048
140507,2048,0
142032,2048,2048
142034,2048,0
143558,2048,2048
143559,2048,0
145084,2048,2048
145086,2048,0
146610,2048,2048
146611,2048,0
148136,2048,2048
148138,2048,0
149661,2048,2048
149662,2048,0
151187,2048,2048
151189,2048,0
152713,2048,2048
152714,2048,0
154239,2048,2048
154241,2048,0
155765,2048,2048
155766,2048,0
157291,2048,2048
157293,2048,0
158817,2048,2048
158818,2048,0
160343,2048,2048
160345,2048,0
161868,2048,2048
161869,2048,0
163394,2048,2048
163396,2048,0
164920,2048,2048
164921,2048,0
166446,2048,2048
166448,2048,0
167972,2048,2048
167973,2048,0
169498,2048,2048
169500,2048,0
171024,2048,2048
171025,2048,0
172550,2048,2048
172552,2048,0
174076,2048,2048
174077,2048,0
175601,2048,2048
175603,2048,0
177127,2048,2048
177129,2048,0
178653,2048,2048
178655,2048,0
180179,2048,2048
180181,2048,0
181705,2048,2048
181707,2048,0
183231,2048,2048
183233,2048,0
184757,2048,2048
184758,2048,0
186283,2048,2048
186285,2048,0
187808,2048,2048
187810,2048,0
189334,2048,2048
189335,2048,0
190860,2048,2048
190862,2048,0
192386,2048,2048
192387,2048,0
193912,2048,2048
193914,2048,0
195438,0,2048
195439,0,0
198228,2048,0
199754,0,2048
199755,0,0
200654,2048,0
202180,2048,2048
202181,2048,0
203706,2048,2048
203708,2048,0
205232,0,2048
205233,0,0
205239,2048,0
206765,2048,2048
206767,2048,0
208291,2048,2048
208292,2048,0
209817,2048,2048
209819,2048,0
211343,2048,2048
211344,2048,0
212869,2048,2048
212871,2048,0
214395,2048,2048
214396,2048,0
215920,2048,2048
215922,2048,0
217446,2048,2048
217447,2048,0
218972,2048,2048
218974,2048,0
220498,2048,2048
220499,2048,0
222024,2048,2048
222026,2048,0
223550,2048,2048
223551,2048,0
225076,2048,2048
225078,2048,0
226602,2048,2048
226603,2048,0
228127,2048,2048
228129,2048,0
229653,2048,2048
229654,2048,0
231179,2048,2048
231181,2048,0
232705,2048,2048
232706,2048,0
234231,2048,2048
234233,2048,0
235757,2048,2048
235758,2048,0
237283,2048,2048
237285,2048,0
238809,2048,2048
238810,2048,0
240335,2048,2048
240337,2048,0
241860,2048,2048
241861,2048,0
243386,2048,2048
243388,2048,0
244912,2048,2048
244913,2048,0
246438,2048,2048
246440,2048,0
247964,2048,2048
247965,2048,0
249490,2048,2048
249492,2048,0
251016,2048,2048
251017,2048,0
252542,2048,2048
252544,2048,0
254067,2048,2048
254068,2048,0
255593,2048,2048
255595,2048,0
257119,2048,2048
257120,2048,0
258645,2048,2048
258647,2048,0
260171,2048,2048
260173,2048,0
261697,2048,2048
261699,2048,0
263223,2048,2048
263225,2048,0
264749,2048,2048
264751,2048,0
266274,2048,2048
266275,2048,0
267800,2048,2048
267802,2048,0
269326,2048,2048
269328,2048,0
270852,2048,2048
270853,2048,0
272378,2048,2048
272380,2048,0
273904,2048,2048
273905,2048,0
275430,2048,2048
275432,2048,0
276956,2048,2048
276957,2048,0
278481,2048,2048
278483,2048,0
280007,2048,2048
280008,2048,0
281533,2048,2048
281535,2048,0
283059,2048,2048
283060,2048,0
284585,0,2048
284587,0,0
287372,2048,0
288898,0,2048
288899,0,0
289799,2048,0
291325,2048,2048
291327,2048,0
292851,2048,2048
292852,2048,0
294377,0,2048
294379,0,0
294381,2048,0
295907,2048,2048
295908,2048,0
297433,2048,2048
297435,2048,0
298959,2048,2048
298960,2048,0
300485,2048,2048
300487,2048,0
302011,2048,2048
302012,2048,0
303536,2048,2048
303538,2048,0
305062,2048,2048
305063,2048,0
306588,2048,2048
306590,2048,0
308114,2048,2048
308115,2048,0
309640,2048,2048
309642,2048,0
311166,2048,2048
311167,2048,0
312692,2048,2048
312694,2048,0
314218,2048,2048
314219,2048,0
315743,2048,2048
315745,2048,0
317269,2048,2048
317270,2048,0
318795,2048,2048
318797,2048,0
320321,2048,2048
320322,2048,0
321847,2048,2048
321849,2048,0
323373,2048,2048
323374,2048,0
324899,2048,2048
324901,2048,0
326425,2048,2048
326426,2048,0
327951,2048,2048
327953,2048,0
329476,2048,2048
329477,2048,0
331002,2048,2048
331004,2048,0
332528,2048,2048
332529,2048,0
334054,2048,2048
334056,2048,0
335580,2048,2048
335581,2048,0
337106,2048,2048
337108,2048,0
338632,2048,2048
338633,2048,0
340158,2048,2048
340160,2048,0
341683,2048,2048
341685,2048,0
343209,2048,2048
343211,2048,0
344735,2048,2048
344737,2048,0
346261,2048,2048
346263,2048,0
347787,2048,2048
347788,2048,0
349313,2048,2048
349315,2048,0
350839,2048,2048
350841,2048,0
352365,2048,2048
352366,2048,0
353890,2048,2048
353892,2048,0
355416,2048,2048
355417,2048,0
356942,2048,2048
356944,2048,0
358468,2048,2048
358469,2048,0
359994,2048,2048
359996,2048,0
361520,2048,2048
361521,2048,0
363046,2048,2048
363048,2048,0
364572,2048,2048
364573,2048,0
366097,2048,2048
366099,2048,0
367623,2048,2048
367624,2048,0
369149,2048,2048
369151,2048,0
370675,2048,2048
370676,2048,0
372201,2048,2048
372203,2048,0
373727,0,2048
373728,0,0
376529,2048,0
378055,0,2048
378056,0,0
378937,2048,0
380462,2048,2048
380463,2048,0
381988,2048,2048
381990,2048,0
383514,0,2048
383515,0,0
383522,2048,0
385048,2048,2048
385050,2048,0
386573,2048,2048
386574,2048,0
388099,2048,2048
388101,2048,0
389625,2048,2048
389626,2048,0
391151,2048,2048
391153,2048,0
392677,2048,2048
392678,2048,0
394203,2048,2048
394205,2048,0
395729,2048,2048
395730,2048,0
397255,2048,2048
397257,2048,0
398781,2048,2048
398782,2048,0
400306,2048,2048
400308,2048,0
401832,2048,2048
401833,2048,0
403358,2048,2048
403360,2048,0
404884,2048,2048
404885,2048,0
406410,2048,2048
406412,2048,0
407936,2048,2048
407937,2048,0
409462,2048,2048
409464,2048,0
410988,2048,2048
410989,2048,0
412513,2048,2048
412515,2048,0
414039,2048,2048
414040,2048,0
415565,2048,2048
415567,2048,0
417091,2048,2048
417092,2048,0
418617,2048,2048
418619,2048,0
420143,2048,2048
420144,2048,0
421669,2048,2048
