Time,from_ingress_queue_size,to_ingress_queue_size
3052.76,2048,nan
4578.64,0,2048
4579.64,0,0
5055.76,2048,0
6581.64,0,2048
6584.64,0,0
7639.63,2048,0
9164.51,4096,0
9165.51,2048,2048
9166.51,2048,0
10691.4,0,2048
10694.4,0,0
12221.5,2048,0
13747.4,0,2048
13748.4,0,0
13753.4,2048,0
15279.3,0,2048
15280.3,0,0
16803.4,2048,0
18329.3,0,2048
18330.3,0,0
18331.3,2048,0
19857.1,0,2048
19858.1,2048,2048
19860.1,2048,0
21384,0,2048
21385,0,0
21388.2,2048,0
22914.1,0,2048
22917.1,0,0
22919.1,2048,0
24445,0,2048
24447,2048,2048
24448,2048,0
25972.9,2048,2048
25975.9,2048,0
27497.8,4096,0
27498.8,2048,2048
27499.8,2048,0
29024.6,2048,2048
29027.6,2048,0
30549.5,4096,0
30550.5,2048,2048
30551.5,2048,0
32076.4,2048,2048
32079.4,2048,0
33602.3,2048,2048
33605.3,2048,0
35128.2,2048,2048
35131.2,2048,0
36653,4096,0
36654,2048,2048
36655,2048,0
38179.9,2048,2048
38182.9,2048,0
39704.8,4096,0
39705.8,2048,2048
39706.8,2048,0
41231.7,2048,2048
41234.7,2048,0
42756.6,4096,0
42757.6,2048,2048
42758.6,2048,0
44283.4,2048,2048
44286.4,2048,0
45808.3,4096,0
45809.3,2048,2048
45810.3,2048,0
47335.2,2048,2048
47338.2,2048,0
48860.1,4096,0
48861.1,2048,2048
48862.1,2048,0
50386.9,2048,2048
50389.9,2048,0
51911.8,4096,0
51912.8,2048,2048
51913.8,2048,0
53438.7,2048,2048
53441.7,2048,0
54963.6,4096,0
54964.6,2048,2048
54965.6,2048,0
56490.5,2048,2048
56493.5,2048,0
58015.3,4096,0
58016.3,2048,2048
58017.3,2048,0
59542.2,2048,2048
59545.2,2048,0
61067.1,4096,0
61068.1,2048,2048
61069.1,2048,0
62594,2048,2048
62597,2048,0
64118.9,4096,0
64119.9,2048,2048
64120.9,2048,0
65645.7,2048,2048
65648.7,2048,0
67170.6,4096,0
67171.6,2048,2048
67172.6,2048,0
68697.5,2048,2048
68700.5,2048,0
70222.4,4096,0
70223.4,2048,2048
70224.4,2048,0
71749.2,2048,2048
71752.2,2048,0
73274.1,4096,0
73275.1,2048,2048
73276.1,2048,0
74801,2048,2048
74804,2048,0
76325.9,4096,0
76326.9,2048,2048
76327.9,2048,0
77852.8,2048,2048
77855.8,2048,0
79377.6,4096,0
79378.6,2048,2048
79379.6,2048,0
80904.5,2048,2048
80907.5,2048,0
82429.4,4096,0
82430.4,2048,2048
82431.4,2048,0
83956.3,2048,2048
83959.3,2048,0
85481.2,4096,0
85482.2,2048,2048
85483.2,2048,0
87008,2048,2048
87011,2048,0
88532.9,4096,0
88533.9,2048,2048
88534.9,2048,0
90059.8,2048,2048
90062.8,2048,0
91584.7,4096,0
91585.7,2048,2048
91586.7,2048,0
93111.6,2048,2048
93114.6,2048,0
94636.4,4096,0
94637.4,2048,2048
94638.4,2048,0
96163.3,2048,2048
96166.3,2048,0
97688.2,4096,0
97689.2,2048,2048
97690.2,2048,0
99215.1,2048,2048
99218.1,2048,0
100740,4096,0
100741,2048,2048
100742,2048,0
102267,2048,2048
102270,2048,0
103792,4096,0
103793,2048,2048
103794,2048,0
105319,2048,2048
105322,2048,0
106843,4096,0
106844,2048,2048
106845,2048,0
108370,2048,2048
108373,2048,0
109895,4096,0
109896,2048,2048
109897,2048,0
111422,2048,2048
111425,2048,0
112947,4096,0
112948,2048,2048
112949,2048,0
114474,2048,2048
114477,2048,0
115999,4096,0
116000,2048,2048
116001,2048,0
117526,2048,2048
117529,2048,0
119050,4096,0
119051,2048,2048
119052,2048,0
120577,2048,2048
120580,2048,0
122102,4096,0
122103,2048,2048
122104,2048,0
123629,2048,2048
123632,2048,0
125154,4096,0
125155,2048,2048
125156,2048,0
126681,2048,2048
126684,2048,0
128207,2048,2048
128210,2048,0
129733,0,2048
129736,0,0
133790,2048,0
135316,0,2048
135319,0,0
136242,2048,0
137768,0,2048
137771,0,0
138248,2048,0
139774,0,2048
139775,2048,0
141300,2048,2048
141303,2048,0
142826,0,2048
142827,0,0
144360,2048,0
145886,0,2048
145889,2048,0
147414,4096,0
147415,2048,2048
147416,2048,0
148941,2048,2048
148944,2048,0
150466,4096,0
150467,2048,2048
150468,2048,0
151993,2048,2048
151996,2048,0
153518,4096,0
153519,2048,2048
153520,2048,0
155045,2048,2048
155048,2048,0
156570,2048,2048
156573,2048,0
158096,2048,2048
158099,2048,0
159621,4096,0
159622,2048,2048
159623,2048,0
161148,2048,2048
161151,2048,0
162673,4096,0
162674,2048,2048
162675,2048,0
164200,2048,2048
164203,2048,0
165725,4096,0
165726,2048,2048
165727,2048,0
167252,2048,2048
167255,2048,0
168776,4096,0
168777,2048,2048
168778,2048,0
170303,2048,2048
170306,2048,0
171828,4096,0
171829,2048,2048
171830,2048,0
173355,2048,2048
173358,2048,0
174880,4096,0
174881,2048,2048
174882,2048,0
176407,2048,2048
176410,2048,0
177932,4096,0
177933,2048,2048
177934,2048,0
179459,2048,2048
179462,2048,0
180984,4096,0
180985,2048,2048
180986,2048,0
182510,2048,2048
182513,2048,0
184035,4096,0
184036,2048,2048
184037,2048,0
185562,2048,2048
185565,2048,0
187087,4096,0
187088,2048,2048
187089,2048,0
188614,2048,2048
188617,2048,0
190139,4096,0
190140,2048,2048
190141,2048,0
191666,2048,2048
191669,2048,0
193191,4096,0
193192,2048,2048
193193,2048,0
194717,2048,2048
194720,2048,0
196242,4096,0
196243,2048,2048
196244,2048,0
197769,2048,2048
197772,2048,0
199294,4096,0
199295,2048,2048
199296,2048,0
200821,2048,2048
200824,2048,0
202346,4096,0
202347,2048,2048
202348,2048,0
203873,2048,2048
203876,2048,0
205398,4096,0
205399,2048,2048
205400,2048,0
206924,2048,2048
206927,2048,0
208449,4096,0
208450,2048,2048
208451,2048,0
209976,2048,2048
209979,2048,0
211501,4096,0
211502,2048,2048
211503,2048,0
213028,2048,2048
213031,2048,0
214553,4096,0
214554,2048,2048
214555,2048,0
216080,2048,2048
216083,2048,0
217605,4096,0
217606,2048,2048
217607,2048,0
219131,2048,2048
219134,2048,0
220656,4096,0
220657,2048,2048
220658,2048,0
222183,2048,2048
222186,2048,0
223708,4096,0
223709,2048,2048
223710,2048,0
225235,2048,2048
225238,2048,0
226760,4096,0
226761,2048,2048
226762,2048,0
228287,2048,2048
228290,2048,0
229812,4096,0
229813,2048,2048
229814,2048,0
231339,2048,2048
231342,2048,0
232863,4096,0
232864,2048,2048
232865,2048,0
234390,2048,2048
234393,2048,0
235915,4096,0
235916,2048,2048
235917,2048,0
237442,2048,2048
237445,2048,0
238967,4096,0
238968,2048,2048
238969,2048,0
240494,2048,2048
240497,2048,0
242019,4096,0
242020,2048,2048
242021,2048,0
243546,0,2048
243549,0,0
248619,2048,0
250145,0,2048
250146,0,0
250616,2048,0
252142,0,2048
252145,0,0
252361,2048,0
253887,2048,2048
253890,2048,0
255413,2048,2048
255416,2048,0
256939,0,2048
256942,0,0
258475,2048,0
260001,0,2048
260002,2048,0
261528,2048,2048
261531,2048,0
263052,4096,0
263053,2048,2048
263054,2048,0
264579,2048,2048
264582,2048,0
266104,4096,0
266105,2048,2048
266106,2048,0
267631,2048,2048
267634,2048,0
269156,4096,0
269157,2048,2048
269158,2048,0
270683,2048,2048
270686,2048,0
272208,4096,0
272209,2048,2048
272210,2048,0
273735,2048,2048
273738,2048,0
275260,2048,2048
275263,2048,0
276786,2048,2048
276789,2048,0
278311,4096,0
278312,2048,2048
278313,2048,0
279838,2048,2048
279841,2048,0
281363,4096,0
281364,2048,2048
281365,2048,0
282890,2048,2048
282893,2048,0
284415,4096,0
284416,2048,2048
284417,2048,0
285942,2048,2048
285945,2048,0
287467,4096,0
287468,2048,2048
287469,2048,0
288993,2048,2048
288996,2048,0
290518,4096,0
290519,2048,2048
290520,2048,0
292045,2048,2048
292048,2048,0
293570,4096,0
293571,2048,2048
293572,2048,0
295097,2048,2048
295100,2048,0
296622,4096,0
296623,2048,2048
296624,2048,0
298149,2048,2048
298152,2048,0
299674,4096,0
299675,2048,2048
299676,2048,0
301200,2048,2048
301203,2048,0
302725,4096,0
302726,2048,2048
302727,2048,0
304252,2048,2048
304255,2048,0
305777,4096,0
305778,2048,2048
305779,2048,0
307304,2048,2048
307307,2048,0
308829,4096,0
308830,2048,2048
308831,2048,0
310356,2048,2048
310359,2048,0
311881,4096,0
311882,2048,2048
311883,2048,0
313407,2048,2048
313410,2048,0
314932,4096,0
314933,2048,2048
314934,2048,0
316459,2048,2048
316462,2048,0
317984,4096,0
317985,2048,2048
317986,2048,0
319511,2048,2048
319514,2048,0
321036,4096,0
321037,2048,2048
321038,2048,0
322563,2048,2048
322566,2048,0
324088,4096,0
324089,2048,2048
324090,2048,0
325614,2048,2048
325617,2048,0
327139,4096,0
327140,2048,2048
327141,2048,0
328666,2048,2048
328669,2048,0
330191,4096,0
330192,2048,2048
330193,2048,0
331718,2048,2048
331721,2048,0
333243,4096,0
333244,2048,2048
333245,2048,0
334770,2048,2048
334773,2048,0
336295,4096,0
336296,2048,2048
336297,2048,0
337822,2048,2048
337825,2048,0
339346,4096,0
339347,2048,2048
339348,2048,0
340873,2048,2048
340876,2048,0
342398,4096,0
342399,2048,2048
342400,2048,0
343925,2048,2048
343928,2048,0
345450,4096,0
345451,2048,2048
345452,2048,0
346977,2048,2048
346980,2048,0
348502,4096,0
348503,2048,2048
348504,2048,0
350029,2048,2048
350032,2048,0
351553,4096,0
351554,2048,2048
351555,2048,0
353080,2048,2048
353083,2048,0
354605,4096,0
354606,2048,2048
354607,2048,0
356132,2048,2048
356135,2048,0
357658,0,2048
357659,0,0
362727,2048,0
364253,0,2048
364254,0,0
364734,2048,0
366259,0,2048
366262,0,0
366468,2048,0
367994,0,2048
367996,2048,2048
367997,2048,0
369521,2048,2048
369524,2048,0
371047,0,2048
371050,0,0
372585,2048,0
374111,2048,2048
374114,2048,0
375637,2048,2048
375640,2048,0
377163,2048,2048
377166,2048,0
378688,4096,0
378689,2048,2048
378690,2048,0
380215,2048,2048
380218,2048,0
381740,4096,0
381741,2048,2048
381742,2048,0
383267,2048,2048
383270,2048,0
384792,2048,2048
384795,2048,0
386317,4096,0
386318,2048,2048
386319,2048,0
387844,2048,2048
387847,2048,0
389369,4096,0
389370,2048,2048
389371,2048,0
390896,2048,2048
390899,2048,0
392421,4096,0
392422,2048,2048
392423,2048,0
393948,2048,2048
393951,2048,0
395474,2048,2048
395477,2048,0
396999,2048,2048
397002,2048,0
398524,4096,0
398525,2048,2048
398526,2048,0
400051,2048,2048
400054,2048,0
401576,4096,0
401577,2048,2048
401578,2048,0
403103,2048,2048
403106,2048,0
404628,4096,0
404629,2048,2048
404630,2048,0
406155,2048,2048
406158,2048,0
407680,4096,0
407681,2048,2048
407682,2048,0
409206,2048,2048
409209,2048,0
410731,4096,0
410732,2048,2048
410733,2048,0
412258,2048,2048
412261,2048,0
413783,4096,0
413784,2048,2048
413785,2048,0
415310,2048,2048
415313,2048,0
416835,4096,0
416836,2048,2048
416837,2048,0
418362,2048,2048
418365,2048,0
419887,4096,0
419888,2048,2048
419889,2048,0
421414,2048,2048
421417,2048,0
422938,4096,0
422939,2048,2048
422940,2048,0
424465,2048,2048
424468,2048,0
425990,4096,0
425991,2048,2048
425992,2048,0
427517,2048,2048
427520,2048,0
429042,4096,0
429043,2048,2048
429044,2048,0
430569,2048,2048
430572,2048,0
432094,4096,0
432095,2048,2048
432096,2048,0
433621,2048,2048
433624,2048,0
435145,4096,0
435146,2048,2048
435147,2048,0
436672,2048,2048
436675,2048,0
438197,4096,0
438198,2048,2048
438199,2048,0
439724,2048,2048
439727,2048,0
441249,4096,0
441250,2048,2048
441251,2048,0
442776,2048,2048
442779,2048,0
444301,4096,0
444302,2048,2048
444303,2048,0
445828,2048,2048
445831,2048,0
447352,4096,0
447353,2048,2048
447354,2048,0
448879,2048,2048
448882,2048,0
450404,4096,0
450405,2048,2048
450406,2048,0
451931,2048,2048
451934,2048,0
453456,4096,0
453457,2048,2048
453458,2048,0
454983,2048,2048
454986,2048,0
456508,4096,0
456509,2048,2048
456510,2048,0
458035,2048,2048
458038,2048,0
459559,4096,0
459560,2048,2048
459561,2048,0
461086,2048,2048
461089,2048,0
462611,4096,0
462612,2048,2048
462613,2048,0
464138,2048,2048
464141,2048,0
465663,4096,0
465664,2048,2048
465665,2048,0
467190,2048,2048
467193,2048,0
468715,4096,0
468716,2048,2048
468717,2048,0
470242,2048,2048
470245,2048,0
471768,0,2048
471769,0,0
476837,2048,0
478363,0,2048
478364,0,0
478842,2048,0
480368,0,2048
480369,0,0
480578,2048,0
482104,0,2048
482105,2048,2048
482107,2048,0
483630,4096,0
483631,2048,2048
483632,2048,0
485157,0,2048
485160,0,0
486690,2048,0
488216,0,2048
488218,2048,2048
488219,2048,0
489744,2048,2048
489747,2048,0
491270,2048,2048
491273,2048,0
492795,2048,2048
492798,2048,0
494321,2048,2048
494324,2048,0
495847,2048,2048
495850,2048,0
497372,4096,0
497373,2048,2048
497374,2048,0
498899,2048,2048
498902,2048,0
500425,2048,2048
500428,2048,0
501950,4096,0
501951,2048,2048
501952,2048,0
503477,2048,2048
503480,2048,0
505002,4096,0
505003,2048,2048
505004,2048,0
506528,2048,2048
506531,2048,0
508053,4096,0
508054,2048,2048
508055,2048,0
509580,2048,2048
509583,2048,0
511105,4096,0
511106,2048,2048
511107,2048,0
512632,2048,2048
512635,2048,0
514158,2048,2048
514161,2048,0
515684,2048,2048
515687,2048,0
517209,4096,0
517210,2048,2048
517211,2048,0
518735,2048,2048
518738,2048,0
520260,4096,0
520261,2048,2048
520262,2048,0
521787,2048,2048
521790,2048,0
523312,4096,0
523313,2048,2048
523314,2048,0
524839,2048,2048
524842,2048,0
526364,4096,0
526365,2048,2048
526366,2048,0
527891,2048,2048
527894,2048,0
529416,4096,0
529417,2048,2048
529418,2048,0
530942,2048,2048
530945,2048,0
532467,4096,0
532468,2048,2048
532469,2048,0
533994,2048,2048
533997,2048,0
535519,4096,0
535520,2048,2048
535521,2048,0
537046,2048,2048
537049,2048,0
538571,4096,0
538572,2048,2048
538573,2048,0
540098,2048,2048
540101,2048,0
541623,4096,0
541624,2048,2048
541625,2048,0
543149,2048,2048
543152,2048,0
544674,4096,0
544675,2048,2048
544676,2048,0
546201,2048,2048
546204,2048,0
547726,4096,0
547727,2048,2048
547728,2048,0
549253,2048,2048
549256,2048,0
550778,4096,0
550779,2048,2048
550780,2048,0
552305,2048,2048
552308,2048,0
553830,4096,0
553831,2048,2048
553832,2048,0
555357,2048,2048
555360,2048,0
556881,4096,0
556882,2048,2048
556883,2048,0
558408,2048,2048
558411,2048,0
559933,4096,0
559934,2048,2048
559935,2048,0
561460,2048,2048
561463,2048,0
562985,4096,0
562986,2048,2048
562987,2048,0
564512,2048,2048
564515,2048,0
566037,4096,0
566038,2048,2048
566039,2048,0
567564,2048,2048
567567,2048,0
569088,4096,0
569089,2048,2048
569090,2048,0
570615,2048,2048
570618,2048,0
572140,4096,0
572141,2048,2048
572142,2048,0
573667,2048,2048
573670,2048,0
575192,4096,0
575193,2048,2048
575194,2048,0
576719,2048,2048
576722,2048,0
578244,4096,0
578245,2048,2048
578246,2048,0
579771,2048,2048
579774,2048,0
581295,4096,0
581296,2048,2048
581297,2048,0
582822,2048,2048
582825,2048,0
584347,4096,0
584348,2048,2048
584349,2048,0
585874,0,2048
585877,0,0
590948,2048,0
592474,0,2048
592475,0,0
592942,2048,0
594468,0,2048
594469,0,0
594688,2048,0
596214,0,2048
596215,2048,0
597741,0,2048
597742,2048,2048
597744,2048,0
599268,0,2048
599269,0,0
600802,2048,0
602328,0,2048
602329,0,0
602330,2048,0
603855,0,2048
603856,2048,2048
603858,2048,0
605382,2048,2048
605385,2048,0
606908,2048,2048
606911,2048,0
608434,2048,2048
608437,2048,0
609960,2048,2048
609963,2048,0
611486,2048,2048
611489,2048,0
613012,2048,2048
613015,2048,0
614538,2048,2048
614541,2048,0
616063,4096,0
616064,2048,2048
616065,2048,0
617589,2048,2048
617592,2048,0
619115,2048,2048
619118,2048,0
620640,4096,0
620641,2048,2048
620642,2048,0
622167,2048,2048
622170,2048,0
623692,4096,0
623693,2048,2048
623694,2048,0
625219,2048,2048
625222,2048,0
626744,4096,0
626745,2048,2048
626746,2048,0
628271,2048,2048
628274,2048,0
629795,4096,0
629796,2048,2048
629797,2048,0
631322,2048,2048
631325,2048,0
632848,2048,2048
632851,2048,0
634374,2048,2048
634377,2048,0
635899,4096,0
635900,2048,2048
635901,2048,0
637426,2048,2048
637429,2048,0
638951,4096,0
638952,2048,2048
638953,2048,0
640478,2048,2048
640481,2048,0
642002,4096,0
642003,2048,2048
642004,2048,0
643529,2048,2048
643532,2048,0
645054,4096,0
645055,2048,2048
645056,2048,0
646581,2048,2048
646584,2048,0
648106,4096,0
648107,2048,2048
648108,2048,0
649633,2048,2048
649636,2048,0
651158,4096,0
651159,2048,2048
651160,2048,0
652685,2048,2048
652688,2048,0
654209,4096,0
654210,2048,2048
654211,2048,0
655736,2048,2048
655739,2048,0
657261,4096,0
657262,2048,2048
657263,2048,0
658788,2048,2048
658791,2048,0
660313,4096,0
660314,2048,2048
660315,2048,0
661840,2048,2048
661843,2048,0
663365,4096,0
663366,2048,2048
663367,2048,0
664892,2048,2048
664895,2048,0
666417,4096,0
666418,2048,2048
666419,2048,0
667943,2048,2048
667946,2048,0
669468,4096,0
669469,2048,2048
669470,2048,0
670995,0,2048
670998,0,0
