Time,from_ingress_queue_size,to_ingress_queue_size
388,10000,nan
1133.0580596923828,0,10000
1136.0580596923828,0,0
2388,10000,0
2998.3812503814697,20000,0
2999.3812503814697,30000,0
3133.058059692383,20000,10000
3136.058059692383,20000,0
3878.1161193847656,10000,10000
3881.1161193847656,10000,0
4623.174179077148,0,10000
4624.174179077148,0,0
8219.14375114441,10000,0
8220.14375114441,20000,0
8964.201810836792,10000,10000
8966.201810836792,10000,0
9709.259870529175,0,10000
9711.259870529175,0,0
10449.961847305298,10000,0
11195.01990699768,0,10000
11199.945401191711,0,0
11942.077966690063,10000,0
12687.136026382446,0,10000
12690.061520576477,0,0
23113.948862075806,10000,0
23859.00692176819,0,10000
23860.93241596222,0,0
25354.123041152954,10000,0
25355.123041152954,20000,0
26099.181100845337,10000,10000
26101.181100845337,10000,0
26844.23916053772,0,10000
26846.23916053772,0,0
36524.993936538696,10000,0
37270.05199623108,0,10000
37271.97749042511,0,0
37275.05199623108,10000,0
38020.11005592346,0,10000
38023.03555011749,0,0
43975.574533462524,10000,0
44720.63259315491,0,10000
44720.63259315491,10000,10000
44721.63259315491,20000,10000
44723.55808734894,20000,0
45465.69065284729,10000,10000
45468.61614704132,10000,0
46210.74871253967,0,10000
46215.6742067337,0,0
52171.213190078735,10000,0
52916.27124977112,0,10000
52919.19674396515,0,0
53663.3293094635,10000,0
54408.387369155884,0,10000
54414.312863349915,0,0
55153.44542884827,10000,0
55154.44542884827,20000,0
55898.50348854065,10000,10000
55903.42898273468,10000,0
56643.56154823303,0,10000
56646.48704242706,0,0
63347.08408546448,10000,0
64092.14214515686,0,10000
64095.06763935089,0,0
64837.20020484924,10000,0
65582.25826454163,0,10000
65585.18375873566,0,0
66329.31632423401,10000,0
67074.37438392639,0,10000
67076.37438392639,10000,10000
67079.29987812042,10000,0
67821.43244361877,0,10000
67823.43244361877,0,0
77503.18721961975,10000,0
77504.18721961975,20000,0
78248.24527931213,10000,10000
78251.17077350616,10000,0
78993.30333900452,0,10000
78996.22883319855,0,0
92409.3484134674,10000,0
92410.3484134674,20000,0
93154.40647315979,10000,10000
93157.33196735382,10000,0
93896.46453285217,20000,0
93899.46453285217,10000,10000
93901.46453285217,10000,0
94644.52259254456,0,10000
94646.52259254456,0,0
104326.27736854553,10000,0
105071.33542823792,0,10000
105071.33542823792,10000,10000
105074.26092243195,10000,0
105816.3934879303,0,10000
105820.31898212433,0,0
106562.45154762268,10000,0
106563.45154762268,20000,0
107307.50960731506,10000,10000
107313.4351015091,10000,0
108052.56766700745,0,10000
108055.49316120148,0,0
116992.26438331604,10000,0
117737.32244300842,0,10000
117737.32244300842,10000,10000
117740.24793720245,10000,0
118482.3805027008,0,10000
118482.3805027008,10000,10000
118485.30599689484,10000,0
119227.43856239319,0,10000
119228.43856239319,10000,10000
119229.43856239319,20000,10000
119231.36405658722,20000,0
119973.49662208557,10000,10000
119976.4221162796,10000,0
120718.55468177795,0,10000
120721.48017597198,0,0
131893.4255771637,10000,0
132638.48363685608,0,10000
132639.4091310501,0,0
132642.48363685608,10000,0
133387.54169654846,0,10000
133387.54169654846,10000,10000
133390.4671907425,10000,0
134132.59975624084,0,10000
134134.59975624084,0,0
145308.4706516266,10000,0
146049.52871131897,20000,0
146050.52871131897,30000,0
146053.52871131897,20000,10000
146055.52871131897,20000,0
146795.58677101135,30000,0
146798.58677101135,20000,10000
146800.58677101135,20000,0
147543.64483070374,10000,10000
147545.64483070374,10000,0
148288.70289039612,0,10000
148294.62838459015,0,0
156480.34154701233,10000,0
157225.3996067047,0,10000
157225.3996067047,10000,10000
157228.32510089874,10000,0
157970.4576663971,0,10000
157971.4576663971,10000,10000
157972.4576663971,20000,10000
157974.38316059113,20000,0
158716.51572608948,10000,10000
158719.4412202835,10000,0
159461.57378578186,0,10000
159464.4992799759,0,0
169146.32856178284,10000,0
169891.38662147522,0,10000
169892.31211566925,0,0
169895.38662147522,10000,0
170640.4446811676,0,10000
170640.4446811676,10000,10000
170643.37017536163,10000,0
171385.50274085999,0,10000
171387.50274085999,0,0
180322.19945716858,10000,0
181067.25751686096,0,10000
181067.25751686096,10000,10000
181068.25751686096,20000,10000
181070.183011055,20000,0
181812.31557655334,10000,10000
181812.31557655334,20000,10000
181815.24107074738,20000,0
182557.37363624573,10000,10000
182561.29913043976,10000,0
183302.4316959381,0,10000
183306.35719013214,0,0
192988.1864719391,10000,0
193733.24453163147,0,10000
193736.1700258255,0,0
194479.30259132385,10000,0
195223.36065101624,20000,0
195224.36065101624,10000,10000
195224.36065101624,20000,10000
195226.28614521027,20000,0
195968.41871070862,30000,0
195969.41871070862,20000,10000
195971.41871070862,20000,0
196714.476770401,10000,10000
196717.40226459503,10000,0
197459.53483009338,0,10000
197462.4603242874,0,0
205658.1734867096,10000,0
206403.23154640198,0,10000
206406.157040596,0,0
207145.28960609436,10000,0
207890.34766578674,0,10000
207892.34766578674,0,0
