Time,from_ingress_queue_size,to_ingress_queue_size
3825.1478462219234,1,nan
3832.598426818847,0,nan
3833.598426818847,0,1
3833.598426818847,0,0
5825.147846221924,1,0
5832.598426818848,0,0
5833.598426818848,0,1
5833.598426818848,0,0
7734.496479034424,1,0
7741.947059631348,0,0
7742.947059631348,0,1
7742.947059631348,0,0
9643.845111846924,1,0
9651.295692443848,0,0
9652.295692443848,0,1
9652.295692443848,0,0
11568.094905853271,1,0
11575.545486450195,0,0
11576.545486450195,0,1
11576.545486450195,0,0
13481.443538665771,1,0
13488.894119262695,0,0
13489.894119262695,0,1
13489.894119262695,0,0
15401.69333267212,1,0
15409.143913269043,0,0
15410.143913269043,0,1
15410.143913269043,0,0
17311.04196548462,1,0
17318.492546081543,0,0
17319.492546081543,0,1
17319.492546081543,0,0
19218.39059829712,1,0
19225.841178894043,0,0
19226.841178894043,0,1
19226.841178894043,0,0
21125.73923110962,1,0
21133.189811706543,0,0
21134.189811706543,0,1
21134.189811706543,0,0
23033.08786392212,1,0
23040.538444519043,0,0
23041.538444519043,0,1
23041.538444519043,0,0
24940.43649673462,1,0
24947.887077331543,0,0
24948.887077331543,0,1
24948.887077331543,0,0
26847.78512954712,1,0
26855.235710144043,0,0
26856.235710144043,0,1
26856.235710144043,0,0
28755.13376235962,1,0
28762.584342956543,0,0
28763.584342956543,0,1
28763.584342956543,0,0
30662.48239517212,1,0
30669.932975769043,0,0
30670.932975769043,0,1
30670.932975769043,0,0
32569.83102798462,1,0
32577.281608581543,0,0
32578.281608581543,0,1
32578.281608581543,0,0
34477.17966079712,1,0
34484.63024139404,0,0
34485.63024139404,0,1
34485.63024139404,0,0
36384.52829360962,1,0
36391.97887420654,0,0
36392.97887420654,0,1
36392.97887420654,0,0
38291.87692642212,1,0
38299.32750701904,0,0
38300.32750701904,0,1
38300.32750701904,0,0
40199.22555923462,1,0
40206.67613983154,0,0
40207.67613983154,0,1
40207.67613983154,0,0
42106.57419204712,1,0
42114.02477264404,0,0
42115.02477264404,0,1
42115.02477264404,0,0
44013.92282485962,1,0
44021.37340545654,0,0
44022.37340545654,0,1
44022.37340545654,0,0
45921.27145767212,1,0
45928.72203826904,0,0
45929.72203826904,0,1
45929.72203826904,0,0
47828.62009048462,1,0
47836.07067108154,0,0
47837.07067108154,0,1
47837.07067108154,0,0
49735.96872329712,1,0
49743.41930389404,0,0
49744.41930389404,0,1
49744.41930389404,0,0
51643.31735610962,1,0
51650.76793670654,0,0
51651.76793670654,0,1
51651.76793670654,0,0
53550.66598892212,1,0
53558.11656951904,0,0
53559.11656951904,0,1
53559.11656951904,0,0
55458.01462173462,1,0
55465.46520233154,0,0
55466.46520233154,0,1
55466.46520233154,0,0
57365.36325454712,1,0
57372.81383514404,0,0
57373.81383514404,0,1
57373.81383514404,0,0
59272.71188735962,1,0
59280.16246795654,0,0
59281.16246795654,0,1
59281.16246795654,0,0
61180.06052017212,1,0
61187.51110076904,0,0
61188.51110076904,0,1
61188.51110076904,0,0
63087.40915298462,1,0
63094.85973358154,0,0
63095.85973358154,0,1
63095.85973358154,0,0
64994.75778579712,1,0
65002.20836639404,0,0
65003.20836639404,0,1
65003.20836639404,0,0
66902.10641860962,1,0
66909.55699920654,0,0
66910.55699920654,0,1
66910.55699920654,0,0
68809.45505142212,1,0
68816.90563201904,0,0
68817.90563201904,0,1
68817.90563201904,0,0
70716.80368423462,1,0
70724.25426483154,0,0
70725.25426483154,0,1
70725.25426483154,0,0
72624.15231704712,1,0
72631.60289764404,0,0
72632.60289764404,0,1
72632.60289764404,0,0
74531.50094985962,1,0
74538.95153045654,0,0
74539.95153045654,0,1
74539.95153045654,0,0
76438.84958267212,1,0
76446.30016326904,0,0
76447.30016326904,0,1
76447.30016326904,0,0
78346.19821548462,1,0
78353.64879608154,0,0
78354.64879608154,0,1
78354.64879608154,0,0
80253.54684829712,1,0
80260.99742889404,0,0
80261.99742889404,0,1
80261.99742889404,0,0
82160.89548110962,1,0
82168.34606170654,0,0
82169.34606170654,0,1
82169.34606170654,0,0
84068.24411392212,1,0
84075.69469451904,0,0
84076.69469451904,0,1
84076.69469451904,0,0
85975.59274673462,1,0
85983.04332733154,0,0
85984.04332733154,0,1
85984.04332733154,0,0
87882.94137954712,1,0
87890.39196014404,0,0
87891.39196014404,0,1
87891.39196014404,0,0
89790.29001235962,1,0
89797.74059295654,0,0
89798.74059295654,0,1
89798.74059295654,0,0
91697.63864517212,1,0
91705.08922576904,0,0
91706.08922576904,0,1
91706.08922576904,0,0
93604.98727798462,1,0
93612.43785858154,0,0
93613.43785858154,0,1
93613.43785858154,0,0
95512.33591079712,1,0
95519.78649139404,0,0
