Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 262144, 262144, 32.3257, 29.5937, 65998
conn_1--3, 262144, 262144, 39.4708, 28.9824, 67390
conn_1--4, 262144, 262144, 30.6569, 29.2507, 66772
conn_2--1, 262144, 262144, 33.6385, 29.846, 65440
conn_2--3, 262144, 262144, 30.5961, 29.8451, 65442
conn_2--4, 262144, 262144, 31.3288, 29.0561, 67219
conn_3--1, 262144, 262144, 38.1723, 28.0694, 69582
conn_3--2, 262144, 262144, 29.8521, 29.9004, 65321
conn_3--4, 262144, 262144, 31.6497, 28.255, 69125
conn_4--1, 262144, 262144, 28.9791, 28.3934, 68788
conn_4--2, 262144, 262144, 30.601, 29.0536, 67225
conn_4--3, 262144, 262144, 28.6787, 29.3002, 66659
